Year,Country,Region,Age,Sex,Method of suicide,GeoCode,Value
2000.0,,,,,,,11.9
2001.0,,,,,,,11.5
2002.0,,,,,,,11.2
2003.0,,,,,,,10.9
2004.0,,,,,,,11.1
2005.0,,,,,,,10.7
2006.0,,,,,,,10.4
2007.0,,,,,,,10
2008.0,,,,,,,10.5
2009.0,,,,,,,10.3
2010.0,,,,,,,10.2
2011.0,,,,,,,10.9
2012.0,,,,,,,10.7
2013.0,,,,,,,11.1
2014.0,,,,,,,10.8
2015.0,,,,,,,10.9
2016.0,,,,,,,8.63391929332741
2000.0,,,,Male,,,18.4
2000.0,,,,Female,,,5.9
2000.0,England and Wales,,,,,K04000001,11.1
2000.0,England and Wales,,,Male,,K04000001,17.2
2000.0,England and Wales,,,Female,,K04000001,5.6
2000.0,England,,,,,E92000001,11
2000.0,England,,,Male,,E92000001,16.9
2000.0,England,,,Female,,E92000001,5.6
2000.0,Wales,,,,,W92000004,12.6
2000.0,Wales,,,Male,,W92000004,20.6
2000.0,Wales,,,Female,,W92000004,5.2
2000.0,Scotland,,,,,S92000003,19.2
2000.0,Scotland,,,Male,,S92000003,31.2
2000.0,Scotland,,,Female,,S92000003,8.6
2000.0,Northern Ireland,,,,,N92000002,12.3
2000.0,Northern Ireland,,,Male,,N92000002,18.6
2000.0,Northern Ireland,,,Female,,N92000002,6.1
2000.0,England,North East,,,,E12000001,12.4
2000.0,England,North West,,,,E12000002,12.5
2000.0,England,Yorkshire and The Humber,,,,E12000003,10.6
2000.0,England,East Midlands,,,,E12000004,11
2000.0,England,West Midlands,,,,E12000005,11.9
2000.0,England,East of England,,,,E12000006,9.4
2000.0,England,London,,,,E12000007,10.1
2000.0,England,South East,,,,E12000008,10.6
2000.0,England,South West,,,,E12000009,11.8
2000.0,England,North East,,Male,,E12000001,20
2000.0,England,North West,,Male,,E12000002,19.7
2000.0,England,Yorkshire and The Humber,,Male,,E12000003,16.1
2000.0,England,East Midlands,,Male,,E12000004,17.6
2000.0,England,West Midlands,,Male,,E12000005,18.8
2000.0,England,East of England,,Male,,E12000006,14.5
2000.0,England,London,,Male,,E12000007,14.8
2000.0,England,South East,,Male,,E12000008,15.9
2000.0,England,South West,,Male,,E12000009,17.6
2000.0,England,North East,,Female,,E12000001,5.4
2000.0,England,North West,,Female,,E12000002,6
2000.0,England,Yorkshire and The Humber,,Female,,E12000003,5.6
2000.0,England,East Midlands,,Female,,E12000004,4.9
2000.0,England,West Midlands,,Female,,E12000005,5.9
2000.0,England,East of England,,Female,,E12000006,4.8
2000.0,England,London,,Female,,E12000007,5.8
2000.0,England,South East,,Female,,E12000008,5.8
2000.0,England,South West,,Female,,E12000009,6.3
2000.0,,,10 to 14,,,,0.2
2000.0,,,15 to 19,,,,6.7
2000.0,,,20 to 24,,,,14.2
2000.0,,,25 to 29,,,,16.5
2000.0,,,30 to 34,,,,15.3
2000.0,,,35 to 39,,,,16
2000.0,,,40 to 44,,,,14.6
2000.0,,,45 to 49,,,,15
2000.0,,,50 to 54,,,,12.9
2000.0,,,55 to 59,,,,11.9
2000.0,,,60 to 64,,,,9.2
2000.0,,,65 to 69,,,,9.3
2000.0,,,70 to 74,,,,9.7
2000.0,,,75 to 79,,,,9.7
2000.0,,,80 to 84,,,,10.5
