Year,Region,GeoCode,Value
2000,,,11.4
2000,England,E12000006,12.3
2000,Wales,W92000004,6.3
2000,Northern Ireland,N92000002,3.4
2000,Scotland,S92000003,8.0
2001,,,11.4
2001,England,E12000006,12.5
2001,Wales,W92000004,6.3
2001,Northern Ireland,N92000002,3.4
2001,Scotland,S92000003,6.9
2002,,,12.3
2002,England,E12000006,13.4
2002,Wales,W92000004,5.3
2002,Northern Ireland,N92000002,3.9
2002,Scotland,S92000003,7.8
2003,,,12.1
2003,England,E12000006,13.3
2003,Wales,W92000004,5.6
2003,Northern Ireland,N92000002,3.3
2003,Scotland,S92000003,7.2
2004,,,12.7
2004,England,E12000006,13.8
2004,Wales,W92000004,6.3
2004,Northern Ireland,N92000002,4.7
2004,Scotland,S92000003,7.7
2005,,,13.7
2005,England,E12000006,15.1
2005,Wales,W92000004,6.2
2005,Northern Ireland,N92000002,4.3
2005,Scotland,S92000003,7.1
2006,,,13.7
2006,England,E12000006,15.1
2006,Wales,W92000004,6.1
2006,Northern Ireland,N92000002,3.5
2006,Scotland,S92000003,7.4
2007,,,13.5
2007,England,E12000006,14.7
2007,Wales,W92000004,6.8
2007,Northern Ireland,N92000002,7.8
2007,Scotland,S92000003,7.9
2008,,,13.7
2008,England,E12000006,15.1
2008,Wales,W92000004,5.6
2008,Northern Ireland,N92000002,3.7
2008,Scotland,S92000003,8.6
2009,,,14.2
2009,England,E12000006,15.5
2009,Wales,W92000004,7.0
2009,Northern Ireland,N92000002,3.3
2009,Scotland,S92000003,9.3
2010,,,13.4
2010,England,E12000006,14.6
2010,Wales,W92000004,5.0
2010,Northern Ireland,N92000002,3.7
2010,Scotland,S92000003,9.6
2011,,,14.1
2011,England,E12000006,15.6
2011,Wales,W92000004,4.3
2011,Northern Ireland,N92000002,3.4
2011,Scotland,S92000003,8.4
2012,,,13.7
2012,England,E12000006,15.1
2012,Wales,W92000004,4.4
2012,Northern Ireland,N92000002,4.8
2012,Scotland,S92000003,7.6
2013,,,12.3
2013,England,E12000006,13.5
2013,Wales,W92000004,4.6
2013,Northern Ireland,N92000002,4.0
2013,Scotland,S92000003,7.3
2014,,,10.9
2014,England,E12000006,11.9
2014,Wales,W92000004,3.7
2014,Northern Ireland,N92000002,5.2
2014,Scotland,S92000003,6.4
2015,,,9.6
2015,England,E12000006,10.5
2015,Wales,W92000004,3.7
2015,Northern Ireland,N92000002,3.2
2015,Scotland,S92000003,5.7
