Year,Value
2000,0.013
2001,0.014
2002,0.015
2003,0.016
2004,0.019
2005,0.021
2006,0.023
2007,0.025
2008,0.03
2009,0.036
2010,0.038
2011,0.044
2012,0.048
2013,0.058
2014,0.072
2015,0.086
