Year,Value
2000,95.65
2001,95.65
2002,95.65
2003,95.65
2004,95.65
2005,95.65
2006,95.65
2007,95.65
2008,95.65
2009,95.65
2010,95.65
2011,95.65
2012,95.65
2013,95.65
2014,95.65
2015,95.65
