Year,Country,Region,Police force area,Monitored hate crime strand,GeoCode,Value
2016/17,England,North East,Cleveland,Race,E23000013,1.11819953925217
2016/17,England,North East,Durham,Race,E23000008,0.543176130833767
2016/17,England,North East,Northumbria,Race,E23000007,1.11368055156603
2016/17,England,North East,,Race,E12000001,0.978820167108608
2016/17,England,North West,Cheshire,Race,E23000006,0.803368422659569
2016/17,England,North West,Cumbria,Race,E23000002,0.397665422790647
2016/17,England,North West,Greater Manchester,Race,E23000005,1.57828089949431
2016/17,England,North West,Lancashire,Race,E23000003,0.550152790291453
2016/17,England,North West,Merseyside,Race,E23000004,1.53649586511258
2016/17,England,North West,,Race,E12000002,1.16474225870242
2016/17,England,Yorkshire and The Humber,North Yorkshire,Race,E23000009,0.788211988446115
2016/17,England,Yorkshire and The Humber,South Yorkshire,Race,E23000011,0.169678888119517
2016/17,England,Yorkshire and The Humber,West Yorkshire,Race,E23000010,0.56007962871243
2016/17,England,Yorkshire and The Humber,Humberside,Race,E23000012,4.43059665943142
2016/17,England,Yorkshire and The Humber,,Race,E12000003,1.15652405818855
2016/17,England,East Midlands,Derbyshire,Race,E23000018,0.450096833199296
2016/17,England,East Midlands,Leicestershire,Race,E23000021,0.8243714868409
2016/17,England,East Midlands,Lincolnshire,Race,E23000020,0.344357712334866
2016/17,England,East Midlands,Northamptonshire,Race,E23000022,0.579707772721816
2016/17,England,East Midlands,Nottinghamshire,Race,E23000019,0.862682131564306
2016/17,England,East Midlands,,Race,E12000004,0.637536282100914
2016/17,England,West Midlands,Staffordshire,Race,E23000015,0.978267466894215
2016/17,England,West Midlands,Warwickshire,Race,E23000017,0.804669959586888
2016/17,England,West Midlands,West Mercia,Race,E23000016,0.717400578846137
2016/17,England,West Midlands,West Midlands,Race,E12000005,1.34139637163276
2016/17,England,West Midlands,,Race,E12000005,2.19551995252929
2016/17,England,East of England,Bedfordshire,Race,E23000026,0.7765482430596
2016/17,England,East of England,Cambridgeshire,Race,E23000023,0.924579080956615
2016/17,England,East of England,Essex,Race,E23000028,0.799039377104414
2016/17,England,East of England,Hertfordshire,Race,E23000027,0.960296417159562
2016/17,England,East of England,Norfolk,Race,E23000024,0.579031661944068
2016/17,England,East of England,Suffolk,Race,E23000025,0.613197293881176
2016/17,England,East of England,,Race,E12000006,0.790305327000451
2016/17,England,London,"London, City of",Race,E23000034,9.89256462078502
2016/17,England,London,Metropolitan Police,Race,E23000001,1.81386527593409
2016/17,England,London,,Race,E12000007,1.82250760478167
2016/17,England,South East,Hampshire,Race,E23000030,0.835816833229152
2016/17,England,South East,Kent,Race,E23000032,0.805302029459991
2016/17,England,South East,Surrey,Race,E23000031,0.896690235595797
2016/17,England,South East,Sussex,Race,E23000033,0.85495460173216
2016/17,England,South East,Thames Valley,Race,E23000029,0.619538322059893
2016/17,England,South East,,Race,E12000008,0.784153235817522
2016/17,England,South West,Avon and Somerset,Race,E23000036,1.23221367096741
2016/17,England,South West,Dorset,Race,E23000039,0.958693275155334
2016/17,England,South West,Gloucestershire,Race,E23000037,0.513537325337129
2016/17,England,South West,Wiltshire,Race,E23000038,0.538483115585503
2016/17,England,South West,Devon & Cornwall,Race,E23000035,0.254338313788885
2016/17,England,South West,,Race,E12000009,0.695256105336648
2016/17,Wales,,Dyfed-Powys,Race,W15000004,0.207416597204722
2016/17,Wales,,Gwent,Race,W15000002,0.482766767157479
2016/17,Wales,,North Wales,Race,W15000001,0.482882116403333
2016/17,Wales,,South Wales,Race,W15000003,1.02859962423851
2016/17,Wales,,,Race,W92000004,0.668133562468882
2016/17,England,,,Race,E92000001,1.05560051521251
2016/17,,,,Race,,1.07371862426232
2016/17,England,North East,Cleveland,Religion,E23000013,0.0283537125642388
2016/17,England,North East,Durham,Religion,E23000008,0.0716801345675059
2016/17,England,North East,Northumbria,Religion,E23000007,0.111437270852785
2016/17,England,North East,,Religion,E12000001,0.0841914285540918
2016/17,England,North West,Cheshire,Religion,E23000006,0.0477059633408295
2016/17,England,North West,Cumbria,Religion,E23000002,0.0200841122621539
2016/17,England,North West,Greater Manchester,Religion,E23000005,0.27496809112119
2016/17,England,North West,Lancashire,Religion,E23000003,0.0457899507219324
2016/17,England,North West,Merseyside,Religion,E23000004,0.076078231174015
2016/17,England,North West,,Religion,E12000002,0.138511387644479
2016/17,England,Yorkshire and The Humber,North Yorkshire,Religion,E23000009,0.0368897966511442
2016/17,England,Yorkshire and The Humber,South Yorkshire,Religion,E23000011,0.0144407564357036
2016/17,England,Yorkshire and The Humber,West Yorkshire,Religion,E23000010,0.0169589328569757
2016/17,England,Yorkshire and The Humber,Humberside,Religion,E23000012,0.30176771214809
2016/17,England,Yorkshire and The Humber,,Religion,E12000003,0.0680091438201712
2016/17,England,East Midlands,Derbyshire,Religion,E23000018,0.0316699264298012
2016/17,England,East Midlands,Leicestershire,Religion,E23000021,0.119636678362398
2016/17,England,East Midlands,Lincolnshire,Religion,E23000020,0.0443898613556663
2016/17,England,East Midlands,Northamptonshire,Religion,E23000022,0.0518326949727741
2016/17,England,East Midlands,Nottinghamshire,Religion,E23000019,0.0598595764758906
2016/17,England,East Midlands,,Religion,E12000004,0.0634996296913261
2016/17,England,West Midlands,Staffordshire,Religion,E23000015,0.0267773941668124
2016/17,England,West Midlands,Warwickshire,Religion,E23000017,0.0269420745397395
2016/17,England,West Midlands,West Mercia,Religion,E23000016,0.0222449791890275
2016/17,England,West Midlands,West Midlands,Religion,E12000005,0.0844699250416677
2016/17,England,West Midlands,,Religion,E12000005,0.10995052226498
2016/17,England,East of England,Bedfordshire,Religion,E23000026,0.0421382767551721
2016/17,England,East of England,Cambridgeshire,Religion,E23000023,0.09893585070109
2016/17,England,East of England,Essex,Religion,E23000028,0.0699159454966362
2016/17,England,East of England,Hertfordshire,Religion,E23000027,0.0467400911006866
2016/17,England,East of England,Norfolk,Religion,E23000024,0.0526392419949152
2016/17,England,East of England,Suffolk,Religion,E23000025,0.0442790168448114
2016/17,England,East of England,,Religion,E12000006,0.0608429075275889
2016/17,England,London,Metropolitan Police,Religion,E23000001,0.241043705575365
2016/17,England,London,,Religion,E12000007,0.240785844887488
2016/17,England,South East,Hampshire,Religion,E23000030,0.0822614380213382
2016/17,England,South East,Kent,Religion,E23000032,0.0384523479278304
2016/17,England,South East,Surrey,Religion,E23000031,0.0764949016148073
2016/17,England,South East,Sussex,Religion,E23000033,0.0874588214715571
2016/17,England,South East,Thames Valley,Religion,E23000029,0.0340451859476603
