Year,Units,Age group,Sex,Service,Value
2005,Homicide per million population,Under 1 year,Male,,42.78728606356969
2005,Homicide per million population,Under 1 year,Female,,22.428708747196413
2005,Homicide per million population,Under 1 year,,,32.8484279680901
2005,Homicide per million population,1 to 4,Male,,4.018969536210916
2005,Homicide per million population,1 to 4,Female,,3.37894914681534
2005,Homicide per million population,1 to 4,,,3.706907203756333
2005,Homicide per million population,5 to 15,Male,,2.136638000106832
2005,Homicide per million population,5 to 15,Female,,2.5246149962130775
2005,Homicide per million population,5 to 15,,,2.3258677538958286
2005,Homicide per million population,16 to 24,Male,,34.37519893054937
2005,Homicide per million population,16 to 24,Female,,14.86364223859377
2005,Homicide per million population,16 to 24,,,24.692941666933905
2005,Homicide per million population,25 to 34,Male,,30.842562736576475
2005,Homicide per million population,25 to 34,Female,,13.07044133596596
2005,Homicide per million population,25 to 34,,,21.920026806656985
2005,Homicide per million population,35 to 44,Male,,24.773725134293215
2005,Homicide per million population,35 to 44,Female,,12.839458320211248
2005,Homicide per million population,35 to 44,,,18.769500780031205
2005,Homicide per million population,45 to 54,Male,,15.676762896355891
2005,Homicide per million population,45 to 54,Female,,7.876542489570874
2005,Homicide per million population,45 to 54,,,11.749673212213784
2005,Homicide per million population,55 to 64,Male,,11.701228629006046
2005,Homicide per million population,55 to 64,Female,,3.478700863350305
2005,Homicide per million population,55 to 64,,,7.533620786381778
2005,Homicide per million population,65 to 74,Male,,8.51385866994608
2005,Homicide per million population,65 to 74,Female,,7.2522503306172945
2005,Homicide per million population,65 to 74,,,7.850525985241013
2005,Homicide per million population,75 and over,Male,,8.962868117797695
2005,Homicide per million population,75 and over,Female,,7.121379965184365
2005,Homicide per million population,75 and over,,,7.824726134585291
2005,Homicide per million population,,Male,,17.80112295734973
2005,Homicide per million population,,Female,,8.814568543328543
2005,Homicide per million population,,,,13.215020326493132
2006,Homicide per million population,Under 1 year,Male,,29.797377830750893
2006,Homicide per million population,Under 1 year,Female,,18.71490954460387
2006,Homicide per million population,Under 1 year,,,24.3828101188662
2006,Homicide per million population,1 to 4,Male,,11.866149829918518
2006,Homicide per million population,1 to 4,Female,,6.646174295920911
2006,Homicide per million population,1 to 4,,,9.320042142799254
2006,Homicide per million population,5 to 15,Male,,4.314994606256742
2006,Homicide per million population,5 to 15,Female,,3.1111236813078027
2006,Homicide per million population,5 to 15,,,3.7273768930242825
2006,Homicide per million population,16 to 24,Male,,34.49249004421309
2006,Homicide per million population,16 to 24,Female,,8.920322405938386
2006,Homicide per million population,16 to 24,,,21.807838179519596
2006,Homicide per million population,25 to 34,Male,,30.57246234538468
2006,Homicide per million population,25 to 34,Female,,11.684192956100816
2006,Homicide per million population,25 to 34,,,21.089680023464012
2006,Homicide per million population,35 to 44,Male,,30.334165076569306
2006,Homicide per million population,35 to 44,Female,,11.093693476425901
2006,Homicide per million population,35 to 44,,,20.645349331455016
2006,Homicide per million population,45 to 54,Male,,20.93814522930177
2006,Homicide per million population,45 to 54,Female,,5.45303217288982
2006,Homicide per million population,45 to 54,,,13.144590495449949
2006,Homicide per million population,55 to 64,Male,,10.204081632653061
2006,Homicide per million population,55 to 64,Female,,5.273443558643794
2006,Homicide per million population,55 to 64,,,7.704765948079311
2006,Homicide per million population,65 to 74,Male,,6.630671592308421
2006,Homicide per million population,65 to 74,Female,,4.298117424568039
2006,Homicide per million population,65 to 74,,,5.407841369986481
2006,Homicide per million population,75 and over,Male,,7.511737089201878
2006,Homicide per million population,75 and over,Female,,3.539127015336217
2006,Homicide per million population,75 and over,,,5.07185122569738
2006,Homicide per million population,,Male,,19.445022414738872
2006,Homicide per million population,,Female,,7.1227141901910045
