Year,Units,Transboundary basin,Transboundary aquifers,Value
2016,Surface area of transboundary basin (km²),,,11072.92
2016,Surface area of transboundary basin (km²),Neagh Bann,,6177.18
2016,Surface area of transboundary basin (km²),North Western,,4895.74
2016,Surface area of transboundary aquifer (km²),,,2478.0
2016,Surface area of transboundary aquifer (km²),,Anierin-Cuilcagh East,772.0
2016,Surface area of transboundary aquifer (km²),,Aughnacloy,634.0
2016,Surface area of transboundary aquifer (km²),,Ballinamore-Swanlinbar,34.0
2016,Surface area of transboundary aquifer (km²),,Ballintempo,98.0
2016,Surface area of transboundary aquifer (km²),,Ballybofey,17.0
2016,Surface area of transboundary aquifer (km²),,Ballyshannon East,40.0
2016,Surface area of transboundary aquifer (km²),,Ballyshannon South,5.0
2016,Surface area of transboundary aquifer (km²),,Bundoran,3.0
2016,Surface area of transboundary aquifer (km²),,Castlecaldwell Forest,53.0
2016,Surface area of transboundary aquifer (km²),,Castlederg,30.0
2016,Surface area of transboundary aquifer (km²),,Claddagh-Swanlinbar,14.0
2016,Surface area of transboundary aquifer (km²),,Clones,21.0
2016,Surface area of transboundary aquifer (km²),,Cooneen Water,16.0
2016,Surface area of transboundary aquifer (km²),,Crilly,8.0
2016,Surface area of transboundary aquifer (km²),,Crom Castle,76.0
2016,Surface area of transboundary aquifer (km²),,Derrylin,44.0
2016,Surface area of transboundary aquifer (km²),,Donagh,40.0
2016,Surface area of transboundary aquifer (km²),,Keady,21.0
2016,Surface area of transboundary aquifer (km²),,Kilcoo,29.0
2016,Surface area of transboundary aquifer (km²),,Knockatallon,4.0
2016,Surface area of transboundary aquifer (km²),,Lough Swilly,13.0
2016,Surface area of transboundary aquifer (km²),,Louth,303.0
2016,Surface area of transboundary aquifer (km²),,Magheraveely,122.0
2016,Surface area of transboundary aquifer (km²),,Marble Arch,25.0
2016,Surface area of transboundary aquifer (km²),,Monaghan Town,6.0
2016,Surface area of transboundary aquifer (km²),,Newtown-Ballyconnell,47.0
2016,Surface area of transboundary aquifer (km²),,Pettigo,15.0
2016,Surface area of transboundary aquifer (km²),,River Foyle,35.0
2016,Surface area of transboundary aquifer (km²),,Rossinver,9.0
2016,Surface area of transboundary aquifer (km²),,Slieve Rushen,18.0
2016,Surface area of transboundary aquifer (km²),,Slieve Rushen South,3.0
2016,Surface area of transboundary aquifer (km²),,Tullaghan-Lough Melvin,23.0
