Year,Sex,Value
2000,,15.855529683445974
2005,,14.283261769540854
2015,,13.761219680246416
2000,Male,13.162022963992978
2000,Female,19.760532031820922
2005,Male,12.209438452130675
2005,Female,18.606194066194583
2015,Male,11.790056887791984
2015,Female,16.653733516551796
