Year,Geography,Energy group,Energy type,GeoCode,Value
2014,,,,,0.44390401442688
2015,,,,,0.286408324716464
2016,,,,,0.44865758513353
2014,,Low carbon electricity,,,0.331546229525252
2014,,Low carbon electricity,Offshore wind,,0.0786802525571082
2014,,Low carbon electricity,Onshore wind,,0.0706605022964663
2014,,Low carbon electricity,Solar photovoltaic,,0.0989192844648767
2014,,Low carbon electricity,Hydropower,,0.00596062519372032
2014,,Low carbon electricity,Nuclear,,0.0761605337252173
2014,,Low carbon heat,,,0.0238966882766424
2014,,Low carbon heat,Renewable heat,,0.00189656256163828
2014,,Low carbon heat,Renewable combined heat and power,,0.0220001257150041
2014,,Energy from waste & biomass,,,0.0550003142875102
2014,,Energy from waste & biomass,Bioenergy,,0.0545668142734215
2014,,Energy from waste & biomass,Alternative fuels,,0.00043350001408875
2014,,Energy efficient products,,,0.0254410320768335
2014,,Energy efficient products,Energy efficient lighting,,0.00138178129490789
2014,,Energy efficient products,Other energy efficient products,,0.0209163756797822
2014,,Energy efficient products,"Energy monitoring, saving or control systems",,0.00311578135126288
2014,,Low carbon services,,,0.000948281280819142
2014,,Low carbon services,Low carbon financial and advisory services,,0.000948281280819142
2014,,Low emission vehicles,,,0.00707146897982274
2014,,Low emission vehicles,Low emission vehicles and infrastructure,,0.00690890647453946
2014,,Low emission vehicles,Fuels cells and energy storage,,0.000162562505283281
2015,,Low carbon electricity,,,0.225971111912352
2015,,Low carbon electricity,Offshore wind,,0.0376442035074232
2015,,Low carbon electricity,Onshore wind,,0.0700997544920229
2015,,Low carbon electricity,Solar photovoltaic,,0.0850568395705702
2015,,Low carbon electricity,Hydropower,,0.00696232455868657
2015,,Low carbon heat,,,0.00243548995969264
2015,,Low carbon heat,Renewable heat,,0.000158836301719085
2015,,Low carbon heat,Renewable combined heat and power,,0.00227665365797356
2015,,Energy from waste & biomass,,,0.0300994791757667
2015,,Energy from waste & biomass,Bioenergy,,0.0285640615924822
2015,,Energy from waste & biomass,Alternative fuels,,0.00153541758328449
2015,,Energy efficient products,,,0.0245666813325519
2015,,Energy efficient products,Energy efficient lighting,,0.00410327112774304
2015,,Energy efficient products,Other energy efficient products,,0.0178161385094907
2015,,Energy efficient products,"Energy monitoring, saving or control systems",,0.00262079897836491
2015,,Low carbon services,,,0.000344145320391351
2015,,Low carbon services,Low carbon financial and advisory services,,0.000344145320391351
2015,,Low emission vehicles,,,0.00299141701570944
2015,,Low emission vehicles,Low emission vehicles and infrastructure,,0.00267374441227127
2015,,Low emission vehicles,Fuels cells and energy storage,,0.00029119988648499
2016,,Low carbon electricity,,,0.375837727023178
2016,,Low carbon electricity,Offshore wind,,0.137225438750033
2016,,Low carbon electricity,Onshore wind,,0.13127831053774
2016,,Low carbon electricity,Solar photovoltaic,,0.0782475864787755
2016,,Low carbon electricity,Hydropower,,0.00509011846991038
2016,,Low carbon electricity,Carbon capture and storage,,0.0
2016,,Low carbon heat,,,0.00646652805616167
2016,,Low carbon heat,Renewable heat,,0.00124655962528418
