Year,Country,Region,GeoCode,Value
2008,,,,4.27828958737749
2009,,,,3.75358457690163
2010,,,,3.0353991596103
2011,,,,3.09709332261149
2012,,,,2.82866203814675
2013,,,,2.76106690994838
2014,,,,2.87011334563694
2015,,,,2.77069429882343
2016,,,,2.83329038207286
2008,England,,E92000001,4.09720168072886
2008,England,North East,E12000001,2.95799031024647
2008,England,North West,E12000002,3.86574955949855
2008,England,Yorkshire and The Humber,E12000003,4.30879022058505
2008,England,East Midlands,E12000004,5.51662022573109
2008,England,West Midlands,E12000005,4.09370769835378
2008,England,East of England,E12000006,4.60728581814359
2008,England,London,E12000007,2.62411386554885
2008,England,South East,E12000008,4.20108281129341
2008,England,South West,E12000009,5.03357896686368
2008,Wales,,W92000004,4.72591822442956
2008,Scotland,,S92000003,5.22785369697668
2008,Northern Ireland,,N92000002,6.01410109984981
2008,Great Britain,,K03000001,4.22685662762125
2009,England,,E92000001,3.60178227682106
2009,England,North East,E12000001,2.83446601960596
2009,England,North West,E12000002,3.36379548352484
2009,England,Yorkshire and The Humber,E12000003,3.92468885832524
2009,England,East Midlands,E12000004,5.07642252205168
2009,England,West Midlands,E12000005,4.05209327701647
2009,England,East of England,E12000006,4.08593113067451
2009,England,London,E12000007,2.32921385632955
2009,England,South East,E12000008,3.4625215023763
2009,England,South West,E12000009,3.86468180180649
2009,Wales,,W92000004,4.14627532847714
2009,Scotland,,S92000003,4.12851927598004
2009,Northern Ireland,,N92000002,6.41264059714509
2009,Great Britain,,K03000001,3.6747223736497
2010,England,,E92000001,2.95009054669414
2010,England,North East,E12000001,1.97149603304072
2010,England,North West,E12000002,2.76356386346797
2010,England,Yorkshire and The Humber,E12000003,3.23514478605036
2010,England,East Midlands,E12000004,4.0602866029845
2010,England,West Midlands,E12000005,2.80279834261191
2010,England,East of England,E12000006,3.39222254632966
2010,England,London,E12000007,1.56298552563761
2010,England,South East,E12000008,3.31088344512811
2010,England,South West,E12000009,3.64930900714086
2010,Wales,,W92000004,2.91806053237883
2010,Scotland,,S92000003,3.95271939492987
2010,Northern Ireland,,N92000002,3.04737335808908
2010,Great Britain,,K03000001,3.03504461015204
2011,England,,E92000001,3.00147801137733
2011,England,North East,E12000001,2.23382699626142
2011,England,North West,E12000002,2.97620692631379
2011,England,Yorkshire and The Humber,E12000003,3.27142709104703
2011,England,East Midlands,E12000004,4.12125935107135
2011,England,West Midlands,E12000005,3.38761420494388
2011,England,East of England,E12000006,3.39450376960496
2011,England,London,E12000007,1.93798284263567
2011,England,South East,E12000008,2.98169930047947
2011,England,South West,E12000009,3.01839466302547
2011,Wales,,W92000004,3.94939809214696
2011,Scotland,,S92000003,3.50950017924866
2011,Northern Ireland,,N92000002,3.25191063529105
2011,Great Britain,,K03000001,3.09252387315368
2012,England,,E92000001,2.78724259436092
2012,England,North East,E12000001,2.95890958417713
2012,England,North West,E12000002,2.32908174752273
2012,England,Yorkshire and The Humber,E12000003,2.70845155379539
2012,England,East Midlands,E12000004,3.72176032257591
2012,England,West Midlands,E12000005,3.11914661566389
2012,England,East of England,E12000006,3.16554907549038
2012,England,London,E12000007,1.624867648512
2012,England,South East,E12000008,2.67056760564817
2012,England,South West,E12000009,3.82048442618852
2012,Wales,,W92000004,3.02530816667301
2012,Scotland,,S92000003,3.19933754893104
2012,Northern Ireland,,N92000002,2.63210710043791
2012,Great Britain,,K03000001,2.834454478047
2013,England,,E92000001,2.65474484495426
2013,England,North East,E12000001,2.91134086017098
2013,England,North West,E12000002,2.09762811756459
2013,England,Yorkshire and The Humber,E12000003,3.09121269398062
2013,England,East Midlands,E12000004,3.21848908899579
2013,England,West Midlands,E12000005,2.74903818907461
2013,England,East of England,E12000006,2.98942817277416
2013,England,London,E12000007,1.58022123810215
2013,England,South East,E12000008,2.67265158654284
2013,England,South West,E12000009,3.53317727847164
2013,Wales,,W92000004,3.60107604045143
2013,Scotland,,S92000003,3.22841000807102
2013,Northern Ireland,,N92000002,3.11522223284919
2013,Great Britain,,K03000001,2.75066149555151
2014,England,,E92000001,2.71003618082407
2014,England,North East,E12000001,2.17664422559199
2014,England,North West,E12000002,2.56554368286739
2014,England,Yorkshire and The Humber,E12000003,2.94774634530758
2014,England,East Midlands,E12000004,3.64427321871051
2014,England,West Midlands,E12000005,2.73047865290785
2014,England,East of England,E12000006,3.1237626452155
2014,England,London,E12000007,1.51077056442739
2014,England,South East,E12000008,2.78346930261585
2014,England,South West,E12000009,3.41120531159701
2014,Wales,,W92000004,3.33113844728845
2014,Scotland,,S92000003,3.73999551200538
2014,Northern Ireland,,N92000002,4.29231653606795
2014,Great Britain,,K03000001,2.82840336518492
2015,England,,E92000001,2.67037430707848
2015,England,North East,E12000001,2.36224582520676
2015,England,North West,E12000002,2.46729956850136
2015,England,Yorkshire and The Humber,E12000003,2.76408309612924
2015,England,East Midlands,E12000004,3.72030332017828
2015,England,West Midlands,E12000005,2.83428968874978
2015,England,East of England,E12000006,3.19265307989811
2015,England,London,E12000007,1.56795596072869
2015,England,South East,E12000008,2.62631073860463
2015,England,South West,E12000009,3.16202354885052
2015,Wales,,W92000004,3.3880957159627
2015,Scotland,,S92000003,3.01507537688442
2015,Northern Ireland,,N92000002,3.99649820346604
2015,Great Britain,,K03000001,2.73481410290833
2016,England,,E92000001,2.71042589566231
2016,England,North East,E12000001,2.12374774731042
2016,England,North West,E12000002,2.57631181018731
2016,England,Yorkshire and The Humber,E12000003,2.54343139490071
2016,England,East Midlands,E12000004,4.04280975701443
2016,England,West Midlands,E12000005,2.67207563732451
2016,England,East of England,E12000006,3.47440731994006
2016,England,London,E12000007,1.31999801545125
2016,England,South East,E12000008,3.10204727364942
2016,England,South West,E12000009,2.9550650630997
2016,Wales,,W92000004,3.30854600645648
2016,Scotland,,S92000003,3.53396118193424
2016,Northern Ireland,,N92000002,3.65171842888036
2016,Great Britain,,K03000001,2.80939756655062
