Year,Country,Sex,Cause of death,GeoCode,Value
2013,England,,,E92000001,1.68938308315271
2013,England,,Exposure to excessive natural heat,E92000001,0.0185646492654144
2013,England,,Exposure to excessive natural cold,E92000001,1.55943053829481
2013,England,,Exposure to sunlight,E92000001,0.0
2013,England,,Victim of lightning,E92000001,0.0185646492654144
2013,England,,Victim of earthquake,E92000001,0.0
2013,England,,Victim of volcanic eruption,E92000001,0.0
2013,England,,"Victim of avalanche, landslide and other earth movements",E92000001,0.0
2013,England,,Victim of cataclysmic storm,E92000001,0.0
2013,England,,Victim of flood,E92000001,0.0
2013,England,,Exposure to other and unspecified forces of nature,E92000001,0.0928232463270723
2013,England,Male,,E92000001,1.99743958395368
2013,England,Male,Exposure to excessive natural heat,E92000001,0.0376875393198808
2013,England,Male,Exposure to excessive natural cold,E92000001,1.7713143480344
2013,England,Male,Exposure to sunlight,E92000001,0.0
2013,England,Male,Victim of lightning,E92000001,0.0
2013,England,Male,Victim of earthquake,E92000001,0.0
2013,England,Male,Victim of volcanic eruption,E92000001,0.0
2013,England,Male,"Victim of avalanche, landslide and other earth movements",E92000001,0.0
2013,England,Male,Victim of cataclysmic storm,E92000001,0.0
2013,England,Male,Victim of flood,E92000001,0.0
2013,England,Male,Exposure to other and unspecified forces of nature,E92000001,0.188437696599404
2013,England,Female,,E92000001,1.39031945443279
2013,England,Female,Exposure to excessive natural heat,E92000001,0.0
2013,England,Female,Exposure to excessive natural cold,E92000001,1.35373210036877
2013,England,Female,Exposure to sunlight,E92000001,0.0
2013,England,Female,Victim of lightning,E92000001,0.0365873540640208
2013,England,Female,Victim of earthquake,E92000001,0.0
2013,England,Female,Victim of volcanic eruption,E92000001,0.0
2013,England,Female,"Victim of avalanche, landslide and other earth movements",E92000001,0.0
2013,England,Female,Victim of cataclysmic storm,E92000001,0.0
2013,England,Female,Victim of flood,E92000001,0.0
2013,England,Female,Exposure to other and unspecified forces of nature,E92000001,0.0
2013,Wales,,,W92000004,1.94652758943321
2013,Wales,,Exposure to excessive natural heat,W92000004,0.0
2013,Wales,,Exposure to excessive natural cold,W92000004,1.94652758943321
2013,Wales,,Exposure to sunlight,W92000004,0.0
2013,Wales,,Victim of lightning,W92000004,0.0
2013,Wales,,Victim of earthquake,W92000004,0.0
2013,Wales,,Victim of volcanic eruption,W92000004,0.0
2013,Wales,,"Victim of avalanche, landslide and other earth movements",W92000004,0.0
2013,Wales,,Victim of cataclysmic storm,W92000004,0.0
2013,Wales,,Victim of flood,W92000004,0.0
2013,Wales,,Exposure to other and unspecified forces of nature,W92000004,0.0
2013,Wales,Male,,W92000004,1.97990136131417
2013,Wales,Male,Exposure to excessive natural heat,W92000004,0.0
2013,Wales,Male,Exposure to excessive natural cold,W92000004,1.97990136131417
2013,Wales,Male,Exposure to sunlight,W92000004,0.0
2013,Wales,Male,Victim of lightning,W92000004,0.0
2013,Wales,Male,Victim of earthquake,W92000004,0.0
2013,Wales,Male,Victim of volcanic eruption,W92000004,0.0
2013,Wales,Male,"Victim of avalanche, landslide and other earth movements",W92000004,0.0
2013,Wales,Male,Victim of cataclysmic storm,W92000004,0.0
