Year,Units,Crop category,Crop,Livestock,Country,Timber category,Ownership,GeoCode,Value
2011,Land use (000s hectares),Other land on agricultural holdings,,,,,,,1099.8291
2011,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,,785.9276
2011,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,,8.652
2011,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,,305.2495
2012,Land use (000s hectares),,,,,,,,18195.26587
2012,Land use (000s hectares),Arable crops,,,,,,,4575.7021
2012,Land use (000s hectares),Arable crops,Wheat,,,,,,1991.8748
2012,Land use (000s hectares),Arable crops,Barley,,,,,,1002.1832
2012,Land use (000s hectares),Arable crops,Oats,,,,,,121.9233
2012,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,,25.99
2012,Land use (000s hectares),Arable crops,Oilseed rape,,,,,,755.6849
2012,Land use (000s hectares),Arable crops,Linseed,,,,,,29.2814
2012,Land use (000s hectares),Arable crops,Potatoes,,,,,,148.771
2012,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,,120.081
2012,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,,120.066
2012,Land use (000s hectares),Arable crops,Maize,,,,,,157.7177
2012,Land use (000s hectares),Horticultural crops,,,,,,,171.87277
2012,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,,123.4599
2012,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,,24.185
2012,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,,9.3337
2012,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,,12.3082
2012,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,,2.58597
2012,Land use (000s hectares),Temporary grass under 5 years old,,,,,,,1356.614
2012,Land use (000s hectares),Permanent grassland,,,,,,,9724.8824
2012,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,,5799.2152
2012,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,,3925.6672
2012,Land use (000s hectares),Common rough grazing,,,,,,,1199.78261
2012,Land use (000s hectares),Other land on agricultural holdings,,,,,,,1166.412
2012,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,,827.4594
2012,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,,7.268
2012,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,,331.6846
2013,Land use (000s hectares),,,,,,,,18193.24133
2013,Land use (000s hectares),Arable crops,,,,,,,4501.77632
2013,Land use (000s hectares),Arable crops,Wheat,,,,,,1614.5114
2013,Land use (000s hectares),Arable crops,Barley,,,,,,1212.9967
2013,Land use (000s hectares),Arable crops,Oats,,,,,,176.5406
2013,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,,24.214
2013,Land use (000s hectares),Arable crops,Oilseed rape,,,,,,715.2185
2013,Land use (000s hectares),Arable crops,Linseed,,,,,,34.498
2013,Land use (000s hectares),Arable crops,Potatoes,,,,,,139.2928
2013,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,,116.973
2013,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,,147.2992
2013,Land use (000s hectares),Arable crops,Maize,,,,,,194.4767
2013,Land use (000s hectares),Horticultural crops,,,,,,,163.35465
2013,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,,115.92998
2013,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,,23.39799
2013,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,,9.57998
2013,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,,11.8912
2013,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,,2.5555
2013,Land use (000s hectares),Temporary grass under 5 years old,,,,,,,1389.66513
2013,Land use (000s hectares),Permanent grassland,,,,,,,9741.60175
2013,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,,5801.74702
2013,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,,3939.85472999999
2013,Land use (000s hectares),Common rough grazing,,,,,,,1198.3878
2013,Land use (000s hectares),Other land on agricultural holdings,,,,,,,1198.45568
2013,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,,865.397359999999
2013,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,,8.941
2013,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,,324.11732
2014,Land use (000s hectares),,,,,,,,18295.98476
2014,Land use (000s hectares),Arable crops,,,,,,,4558.70001
2014,Land use (000s hectares),Arable crops,Wheat,,,,,,1935.73671999999
2014,Land use (000s hectares),Arable crops,Barley,,,,,,1079.82551999999
2014,Land use (000s hectares),Arable crops,Oats,,,,,,137.2332
2014,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,,26.22682
2014,Land use (000s hectares),Arable crops,Oilseed rape,,,,,,674.64732
2014,Land use (000s hectares),Arable crops,Linseed,,,,,,14.538
2014,Land use (000s hectares),Arable crops,Potatoes,,,,,,140.52922
2014,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,,116.292999999999
2014,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,,138.68198
2014,Land use (000s hectares),Arable crops,Maize,,,,,,183.45301
2014,Land use (000s hectares),Horticultural crops,,,,,,,163.51469
2014,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,,116.11241
2014,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,,23.43704
2014,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,,9.37553999999999
2014,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,,11.9955
2014,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,,2.5942
2014,Land use (000s hectares),Temporary grass under 5 years old,,,,,,,1395.89344
2014,Land use (000s hectares),Permanent grassland,,,,,,,9754.55511
2014,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,,5824.28724
2014,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,,3930.26787
2014,Land use (000s hectares),Common rough grazing,,,,,,,1199.14485
2014,Land use (000s hectares),Other land on agricultural holdings,,,,,,,1224.17665999999
2014,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,,897.469019999999
2014,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,,8.304
2014,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,,318.40364
2015,Land use (000s hectares),,,,,,,,18213.72701
2015,Land use (000s hectares),Arable crops,,,,,,,4504.67199
2015,Land use (000s hectares),Arable crops,Wheat,,,,,,1832.3118
2015,Land use (000s hectares),Arable crops,Barley,,,,,,1100.9197
2015,Land use (000s hectares),Arable crops,Oats,,,,,,131.127
2015,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,,35.2166
2015,Land use (000s hectares),Arable crops,Oilseed rape,,,,,,652.3151
2015,Land use (000s hectares),Arable crops,Linseed,,,,,,15.023
2015,Land use (000s hectares),Arable crops,Potatoes,,,,,,128.5222
2015,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,,90.317
2015,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,,213.26281
2015,Land use (000s hectares),Arable crops,Maize,,,,,,186.8796
2015,Land use (000s hectares),Horticultural crops,,,,,,,174.120019999999
2015,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,,122.8854
2015,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,,25.8872
2015,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,,9.9514
2015,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,,12.7295
2015,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,,2.66652
2015,Land use (000s hectares),Temporary grass under 5 years old,,,,,,,1166.7413
2015,Land use (000s hectares),Permanent grassland,,,,,,,9879.7012
2015,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,,6078.4219
2015,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,,3801.2793
2015,Land use (000s hectares),Common rough grazing,,,,,,,1198.985
2015,Land use (000s hectares),Other land on agricultural holdings,,,,,,,1289.5075
2015,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,,960.6074
2015,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,,9.156
2015,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,,319.7441
2016,Land use (000s hectares),,,,,,,,18400.15619
2016,Land use (000s hectares),Arable crops,,,,,,,4505.45803
2016,Land use (000s hectares),Arable crops,Wheat,,,,,,1823.33613
2016,Land use (000s hectares),Arable crops,Barley,,,,,,1122.40863
2016,Land use (000s hectares),Arable crops,Oats,,,,,,140.89659
2016,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,,45.29833
2016,Land use (000s hectares),Arable crops,Oilseed rape,,,,,,579.16981
2016,Land use (000s hectares),Arable crops,Linseed,,,,,,27.281
2016,Land use (000s hectares),Arable crops,Potatoes,,,,,,138.50241
2016,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,,85.947
2016,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,,227.92042
2016,Land use (000s hectares),Arable crops,Maize,,,,,,193.79422
2016,Land use (000s hectares),Horticultural crops,,,,,,,161.94503
2016,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,,112.55423
2016,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,,25.1436
2016,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,,9.99073
2016,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,,11.50798
2016,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,,2.74849
2016,Land use (000s hectares),Temporary grass under 5 years old,,,,,,,1143.50957
2016,Land use (000s hectares),Permanent grassland,,,,,,,10078.52721
2016,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,,6117.74417
2016,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,,3960.78304
2016,Land use (000s hectares),Common rough grazing,,,,,,,1198.8018
2016,Land use (000s hectares),Other land on agricultural holdings,,,,,,,1311.91456
2016,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,,978.1988
2016,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,,10.3009999999999
2016,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,,323.41476
2009,Livestock (000s),,,Pigs,,,,,4540.4384
2009,Livestock (000s),,,Sheep and lambs,,,,,31445.39813
2009,Livestock (000s),,,Poultry,,,,,152752.5335
2009,Livestock (000s),,,Goats,,,,,81.85407
2009,Livestock (000s),,,Farmed deer,,,,,31.49289
2009,Livestock (000s),,,Horses,,,,,298.07479
2010,Livestock (000s),,,Cattle and calves,,,,,10169.828
2010,Livestock (000s),,,Pigs,,,,,4460.317
2010,Livestock (000s),,,Sheep and lambs,,,,,31084.338
2010,Livestock (000s),,,Poultry,,,,,163867.173
2010,Livestock (000s),,,Goats,,,,,92.951
2010,Livestock (000s),,,Farmed deer,,,,,30.913
2010,Livestock (000s),,,Horses,,,,,311.314
2011,Livestock (000s),,,Cattle and calves,,,,,9988.302
2011,Livestock (000s),,,Pigs,,,,,4440.63099999999
2011,Livestock (000s),,,Sheep and lambs,,,,,31633.9679999999
2011,Livestock (000s),,,Poultry,,,,,162551.155
2011,Livestock (000s),,,Goats,,,,,94.245
2011,Livestock (000s),,,Farmed deer,,,,,32.618
2011,Livestock (000s),,,Horses,,,,,312.915
2012,Livestock (000s),,,Cattle and calves,,,,,9951.824
2012,Livestock (000s),,,Pigs,,,,,4480.904
2012,Livestock (000s),,,Sheep and lambs,,,,,32214.916
2012,Livestock (000s),,,Poultry,,,,,160061.2
2012,Livestock (000s),,,Goats,,,,,97.801
2012,Livestock (000s),,,Farmed deer,,,,,31.1519999999999
2012,Livestock (000s),,,Horses,,,,,315.092
2013,Livestock (000s),,,Cattle and calves,,,,,9843.542
2013,Livestock (000s),,,Pigs,,,,,4884.971
2013,Livestock (000s),,,Sheep and lambs,,,,,32856.476
2013,Livestock (000s),,,Poultry,,,,,162608.881999999
2013,Livestock (000s),,,Goats,,,,,97.6429999999999
2013,Livestock (000s),,,Farmed deer,,,,,31.803
2013,Livestock (000s),,,Horses,,,,,293.379
2014,Livestock (000s),,,Cattle and calves,,,,,9837.142
2014,Livestock (000s),,,Pigs,,,,,4815.397
2014,Livestock (000s),,,Sheep and lambs,,,,,33743.346
2014,Livestock (000s),,,Poultry,,,,,169684.401
2014,Livestock (000s),,,Goats,,,,,100.081
2014,Livestock (000s),,,Farmed deer,,,,,31.96
2014,Livestock (000s),,,Horses,,,,,303.316
2015,Livestock (000s),,,Cattle and calves,,,,,9918.569
2015,Livestock (000s),,,Pigs,,,,,4739.123
2015,Livestock (000s),,,Sheep and lambs,,,,,33336.5895
2015,Livestock (000s),,,Poultry,,,,,167578.935
2015,Livestock (000s),,,Goats,,,,,100.7
2015,Livestock (000s),,,Farmed deer,,,,,30.6869999999999
2015,Livestock (000s),,,Horses,,,,,282.786
2016,Livestock (000s),,,Cattle and calves,,,,,10032.569
2016,Livestock (000s),,,Pigs,,,,,4865.593
2016,Livestock (000s),,,Sheep and lambs,,,,,33942.509
2016,Livestock (000s),,,Poultry,,,,,172606.695
2016,Livestock (000s),,,Goats,,,,,103.617
2016,Livestock (000s),,,Farmed deer,,,,,30.9809999999999
2016,Livestock (000s),,,Horses,,,,,268.069
2000,Timber (000s green tonnes),,,,,,,,8076.0
2001,Timber (000s green tonnes),,,,,,,,8126.0
2002,Timber (000s green tonnes),,,,,,,,8063.0
2003,Timber (000s green tonnes),,,,,,,,8469.0
2004,Timber (000s green tonnes),,,,,,,,8654.0
2005,Timber (000s green tonnes),,,,,,,,8670.0
2006,Timber (000s green tonnes),,,,,,,,8681.0
2007,Timber (000s green tonnes),,,,,,,,9176.0
2008,Timber (000s green tonnes),,,,,,,,8669.0
2009,Timber (000s green tonnes),,,,,,,,8928.0
2010,Timber (000s green tonnes),,,,,,,,9793.0
2011,Timber (000s green tonnes),,,,,,,,10597.0
2012,Timber (000s green tonnes),,,,,,,,10652.0
2013,Timber (000s green tonnes),,,,,,,,11497.0
2014,Timber (000s green tonnes),,,,,,,,12065.0
2015,Timber (000s green tonnes),,,,,,,,11255.0
2016,Timber (000s green tonnes),,,,,,,,11346.0
2000,Timber (000s green tonnes),,,,,,Forestry Commission,,4980.0
2001,Timber (000s green tonnes),,,,,,Forestry Commission,,4749.0
2002,Timber (000s green tonnes),,,,,,Forestry Commission,,4768.0
2003,Timber (000s green tonnes),,,,,,Forestry Commission,,4934.0
2004,Timber (000s green tonnes),,,,,,Forestry Commission,,5007.0
2005,Timber (000s green tonnes),,,,,,Forestry Commission,,4680.0
2006,Timber (000s green tonnes),,,,,,Forestry Commission,,4627.0
2007,Timber (000s green tonnes),,,,,,Forestry Commission,,4693.0
2008,Timber (000s green tonnes),,,,,,Forestry Commission,,4458.0
2009,Timber (000s green tonnes),,,,,,Forestry Commission,,5213.0
2010,Timber (000s green tonnes),,,,,,Forestry Commission,,4695.0
2011,Timber (000s green tonnes),,,,,,Forestry Commission,,4945.0
2012,Timber (000s green tonnes),,,,,,Forestry Commission,,4891.0
2013,Timber (000s green tonnes),,,,,,Forestry Commission,,5162.0
2014,Timber (000s green tonnes),,,,,,Forestry Commission,,4971.0
2015,Timber (000s green tonnes),,,,,,Forestry Commission,,4764.0
2016,Timber (000s green tonnes),,,,,,Forestry Commission,,5079.0
2000,Timber (000s green tonnes),,,,,,Private,,3096.0
2001,Timber (000s green tonnes),,,,,,Private,,3377.0
2002,Timber (000s green tonnes),,,,,,Private,,3295.0
2003,Timber (000s green tonnes),,,,,,Private,,3536.0
2004,Timber (000s green tonnes),,,,,,Private,,3645.0
2005,Timber (000s green tonnes),,,,,,Private,,3991.0
2006,Timber (000s green tonnes),,,,,,Private,,4053.0
2007,Timber (000s green tonnes),,,,,,Private,,4483.0
2008,Timber (000s green tonnes),,,,,,Private,,4211.0
2009,Timber (000s green tonnes),,,,,,Private,,3715.0
2010,Timber (000s green tonnes),,,,,,Private,,5098.0
2011,Timber (000s green tonnes),,,,,,Private,,5651.0
2012,Timber (000s green tonnes),,,,,,Private,,5761.0
2013,Timber (000s green tonnes),,,,,,Private,,6335.0
2014,Timber (000s green tonnes),,,,,,Private,,7094.0
2015,Timber (000s green tonnes),,,,,,Private,,6458.0
2016,Timber (000s green tonnes),,,,,,Private,,6245.0
2000,Timber (000s green tonnes),,,,,Softwood,,,7422.0
2001,Timber (000s green tonnes),,,,,Softwood,,,7494.0
2002,Timber (000s green tonnes),,,,,Softwood,,,7443.0
2003,Timber (000s green tonnes),,,,,Softwood,,,7907.0
2004,Timber (000s green tonnes),,,,,Softwood,,,8141.0
2005,Timber (000s green tonnes),,,,,Softwood,,,8077.0
2006,Timber (000s green tonnes),,,,,Softwood,,,8243.0
2007,Timber (000s green tonnes),,,,,Softwood,,,8736.0
2008,Timber (000s green tonnes),,,,,Softwood,,,8238.0
2009,Timber (000s green tonnes),,,,,Softwood,,,8392.0
2010,Timber (000s green tonnes),,,,,Softwood,,,9258.0
2011,Timber (000s green tonnes),,,,,Softwood,,,10056.0
2012,Timber (000s green tonnes),,,,,Softwood,,,10118.0
2013,Timber (000s green tonnes),,,,,Softwood,,,10965.0
2014,Timber (000s green tonnes),,,,,Softwood,,,11528.0
2015,Timber (000s green tonnes),,,,,Softwood,,,10691.0
2015,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4724.0
2000,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4850.0
2001,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4604.0
2002,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4650.0
2003,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4817.0
2004,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4894.0
2005,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4579.0
2006,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4582.0
2007,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4653.0
2008,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4415.0
2009,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,5126.0
2010,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4625.0
2011,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4870.0
2012,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4836.0
2013,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,5084.0
2014,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,4900.0
2015,Timber (000s green tonnes),,,,,Softwood,Private,,5968.0
2015,Timber (000s green tonnes),,,,England,Softwood,,E92000001,2074.0
2000,Timber (000s green tonnes),,,,,Softwood,Private,,2572.0
2001,Timber (000s green tonnes),,,,,Softwood,Private,,2891.0
2002,Timber (000s green tonnes),,,,,Softwood,Private,,2793.0
2003,Timber (000s green tonnes),,,,,Softwood,Private,,3091.0
2004,Timber (000s green tonnes),,,,,Softwood,Private,,3246.0
2005,Timber (000s green tonnes),,,,,Softwood,Private,,3499.0
2006,Timber (000s green tonnes),,,,,Softwood,Private,,3661.0
2007,Timber (000s green tonnes),,,,,Softwood,Private,,4083.0
2008,Timber (000s green tonnes),,,,,Softwood,Private,,3823.0
2009,Timber (000s green tonnes),,,,,Softwood,Private,,3266.0
2010,Timber (000s green tonnes),,,,,Softwood,Private,,4633.0
2011,Timber (000s green tonnes),,,,,Softwood,Private,,5186.0
2012,Timber (000s green tonnes),,,,,Softwood,Private,,5282.0
2013,Timber (000s green tonnes),,,,,Softwood,Private,,5881.0
2014,Timber (000s green tonnes),,,,,Softwood,Private,,6628.0
2015,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1023.0
2015,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,1052.0
2000,Timber (000s green tonnes),,,,,Hardwood,,,654.0
2001,Timber (000s green tonnes),,,,,Hardwood,,,632.0
2002,Timber (000s green tonnes),,,,,Hardwood,,,620.0
2003,Timber (000s green tonnes),,,,,Hardwood,,,562.0
2004,Timber (000s green tonnes),,,,,Hardwood,,,513.0
2005,Timber (000s green tonnes),,,,,Hardwood,,,593.0
2006,Timber (000s green tonnes),,,,,Hardwood,,,438.0
2007,Timber (000s green tonnes),,,,,Hardwood,,,440.0
2008,Timber (000s green tonnes),,,,,Hardwood,,,431.0
2009,Timber (000s green tonnes),,,,,Hardwood,,,536.0
2010,Timber (000s green tonnes),,,,,Hardwood,,,535.0
2011,Timber (000s green tonnes),,,,,Hardwood,,,541.0
2012,Timber (000s green tonnes),,,,,Hardwood,,,534.0
2013,Timber (000s green tonnes),,,,,Hardwood,,,532.0
2014,Timber (000s green tonnes),,,,,Hardwood,,,537.0
2015,Timber (000s green tonnes),,,,,Hardwood,,,564.0
2016,Timber (000s green tonnes),,,,,Hardwood,,,597.0
2000,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,130.0
2001,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,145.0
2002,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,118.0
2003,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,117.0
2004,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,113.0
2005,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,101.0
2006,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,45.0
2007,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,40.0
2008,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,43.0
2009,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,87.0
