Year,Age,Region,GeoCode,Value
2013,3.0,North West,E12000002,95
2013,3.0,Yorkshire and the Humber,E12000003,95
2013,3.0,East Midlands,E12000004,95
2013,3.0,West Midlands,E12000005,92
2013,3.0,East of England,E12000006,95
2013,3.0,London,E12000007,87
2013,3.0,South East,E12000008,94
2013,3.0,South West,E12000009,96
2013,4.0,,,98
2013,4.0,North East,E12000001,100
2013,4.0,North West,E12000002,100
2013,4.0,Yorkshire and the Humber,E12000003,99
2013,4.0,East Midlands,E12000004,99
2013,4.0,West Midlands,E12000005,98
2013,4.0,East of England,E12000006,98
2013,4.0,London,E12000007,94
2013,4.0,South East,E12000008,97
2013,4.0,South West,E12000009,99
2013,,,,95
2013,,North East,E12000001,98
2013,,North West,E12000002,97
2013,,Yorkshire and the Humber,E12000003,97
2013,,East Midlands,E12000004,97
2013,,West Midlands,E12000005,95
2013,,East of England,E12000006,96
2013,,London,E12000007,90
2013,,South East,E12000008,95
2013,,South West,E12000009,98
2014,3.0,,,93
2014,3.0,North East,E12000001,95
2014,3.0,North West,E12000002,95
2014,3.0,Yorkshire and the Humber,E12000003,96
2014,3.0,East Midlands,E12000004,96
2014,3.0,West Midlands,E12000005,92
2014,3.0,East of England,E12000006,95
2014,3.0,London,E12000007,86
2014,3.0,South East,E12000008,94
2014,3.0,South West,E12000009,96
2014,4.0,,,98
2014,4.0,North East,E12000001,99
2014,4.0,North West,E12000002,100
2014,4.0,Yorkshire and the Humber,E12000003,99
2014,4.0,East Midlands,E12000004,99
2014,4.0,West Midlands,E12000005,99
2014,4.0,East of England,E12000006,97
2014,4.0,London,E12000007,94
2014,4.0,South East,E12000008,96
2014,4.0,South West,E12000009,99
2014,,,,95
2014,,North East,E12000001,97
2014,,North West,E12000002,97
2014,,Yorkshire and the Humber,E12000003,98
2014,,East Midlands,E12000004,97
2014,,West Midlands,E12000005,96
2014,,East of England,E12000006,96
2014,,London,E12000007,90
2014,,South East,E12000008,95
2014,,South West,E12000009,97
2015,3.0,,,93
2015,3.0,North East,E12000001,96
2015,3.0,North West,E12000002,95
2015,3.0,Yorkshire and the Humber,E12000003,95
2015,3.0,East Midlands,E12000004,95
2015,3.0,West Midlands,E12000005,94
2015,3.0,East of England,E12000006,94
2015,3.0,London,E12000007,83
2015,3.0,South East,E12000008,93
2015,3.0,South West,E12000009,96
2015,4.0,,,97
2015,4.0,North East,E12000001,99
2015,4.0,North West,E12000002,100
2015,4.0,Yorkshire and the Humber,E12000003,99
2015,4.0,East Midlands,E12000004,99
2015,4.0,West Midlands,E12000005,99
2015,4.0,East of England,E12000006,97
2015,4.0,London,E12000007,93
2015,4.0,South East,E12000008,96
2015,4.0,South West,E12000009,98
2015,,,,95
2015,,North East,E12000001,97
2015,,North West,E12000002,97
2015,,Yorkshire and the Humber,E12000003,97
2015,,East Midlands,E12000004,97
2015,,West Midlands,E12000005,96
2015,,East of England,E12000006,96
2015,,London,E12000007,88
2015,,South East,E12000008,94
2015,,South West,E12000009,97
2016,3.0,,,93
2016,3.0,North East,E12000001,97
2016,3.0,North West,E12000002,95
2016,3.0,Yorkshire and the Humber,E12000003,96
2016,3.0,East Midlands,E12000004,95
2016,3.0,West Midlands,E12000005,94
2016,3.0,East of England,E12000006,95
2016,3.0,London,E12000007,82
2016,3.0,South East,E12000008,95
2016,3.0,South West,E12000009,96
2016,4.0,,,97
2016,4.0,North East,E12000001,99
2016,4.0,North West,E12000002,99
2016,4.0,Yorkshire and the Humber,E12000003,99
2016,4.0,East Midlands,E12000004,98
2016,4.0,West Midlands,E12000005,100
2016,4.0,East of England,E12000006,97
2016,4.0,London,E12000007,90
2016,4.0,South East,E12000008,97
2016,4.0,South West,E12000009,99
2016,,,,95
2016,,North East,E12000001,98
2016,,North West,E12000002,97
2016,,Yorkshire and the Humber,E12000003,97
2016,,East Midlands,E12000004,97
2016,,West Midlands,E12000005,97
2016,,East of England,E12000006,96
2016,,London,E12000007,86
2016,,South East,E12000008,96
2016,,South West,E12000009,97
2017,3.0,,,93
2017,3.0,North East,E12000001,98
2017,3.0,North West,E12000002,97
2017,3.0,Yorkshire and the Humber,E12000003,96
2017,3.0,East Midlands,E12000004,97
2017,3.0,West Midlands,E12000005,96
2017,3.0,East of England,E12000006,94
2017,3.0,London,E12000007,82
2017,3.0,South East,E12000008,94
2017,3.0,South West,E12000009,97
2017,4.0,,,96
2017,4.0,North East,E12000001,99
2017,4.0,North West,E12000002,99
2017,4.0,Yorkshire and the Humber,E12000003,98
2017,4.0,East Midlands,E12000004,99
2017,4.0,West Midlands,E12000005,99
2017,4.0,East of England,E12000006,97
2017,4.0,London,E12000007,87
2017,4.0,South East,E12000008,97
2017,4.0,South West,E12000009,98
2017,,,,95
2017,,North East,E12000001,98
2017,,North West,E12000002,98
2017,,Yorkshire and the Humber,E12000003,97
2017,,East Midlands,E12000004,98
2017,,West Midlands,E12000005,97
2017,,East of England,E12000006,96
2017,,London,E12000007,84
2017,,South East,E12000008,96
2017,,South West,E12000009,97
