Year,Age,Region,GeoCode,Value
2011,3.0,,,92
2011,3.0,North East,E12000001,96
2011,3.0,North West,E12000002,93
2011,3.0,Yorkshire and the Humber,E12000003,94
2011,3.0,East Midlands,E12000004,95
2011,3.0,West Midlands,E12000005,91
2011,3.0,East of England,E12000006,95
2011,3.0,London,E12000007,85
2011,3.0,South East,E12000008,93
2011,3.0,South West,E12000009,95
2011,4.0,,,96
2011,4.0,North East,E12000001,99
2011,4.0,North West,E12000002,99
2011,4.0,Yorkshire and the Humber,E12000003,98
2011,4.0,East Midlands,E12000004,97
2011,4.0,West Midlands,E12000005,97
2011,4.0,East of England,E12000006,97
2011,4.0,London,E12000007,92
2011,4.0,South East,E12000008,96
2011,4.0,South West,E12000009,98
2011,,,,94
2011,,North East,E12000001,98
2011,,North West,E12000002,96
2011,,Yorkshire and the Humber,E12000003,96
2011,,East Midlands,E12000004,96
2011,,West Midlands,E12000005,94
2011,,East of England,E12000006,96
2011,,London,E12000007,88
2011,,South East,E12000008,95
2011,,South West,E12000009,97
2012,3.0,,,93
2012,3.0,North East,E12000001,97
2012,3.0,North West,E12000002,94
2012,3.0,Yorkshire and the Humber,E12000003,96
2012,3.0,East Midlands,E12000004,96
2012,3.0,West Midlands,E12000005,92
2012,3.0,East of England,E12000006,95
2012,3.0,London,E12000007,86
2012,3.0,South East,E12000008,94
2012,3.0,South West,E12000009,97
2012,4.0,,,97
2012,4.0,North East,E12000001,99
2012,4.0,North West,E12000002,98
2012,4.0,Yorkshire and the Humber,E12000003,98
2012,4.0,East Midlands,E12000004,98
2012,4.0,West Midlands,E12000005,98
2012,4.0,East of England,E12000006,97
2012,4.0,London,E12000007,93
2012,4.0,South East,E12000008,96
2012,4.0,South West,E12000009,98
2012,,,,95
2012,,North East,E12000001,98
2012,,North West,E12000002,96
2012,,Yorkshire and the Humber,E12000003,97
2012,,East Midlands,E12000004,97
2012,,West Midlands,E12000005,95
2012,,East of England,E12000006,96
2012,,London,E12000007,89
2012,,South East,E12000008,95
2012,,South West,E12000009,98
2013,3.0,,,93
2013,3.0,North East,E12000001,96
