Year,Region,Sex,Age group,GeoCode,Value
2008,,,,,1.00285048929075
2009,,,,,0.957268467194425
2010,,,,,0.81581331743857
2011,,,,,0.93070814643784
2012,,,,,0.869633057232686
2013,,,,,0.645808870462502
2014,,,,,0.755455939951903
2015,,,,,0.70188874421414
2016,,,,,0.690043302730649
2008,,,,,1.00285048929075
2009,,,,,0.957268467194425
2010,,,,,0.81581331743857
2011,,,,,0.93070814643784
2012,,,,,0.869633057232686
2013,,,,,0.645808870462502
2014,,,,,0.755455939951903
2015,,,,,0.70188874421414
2016,,,,,0.690043302730649
2008,,Male,,,1.37290906526905
2008,,Female,,,0.599559390465717
2008,London,,,E12000007,1.76647665095483
2008,East Midlands,,,E12000004,1.28345858312927
2008,East of England,,,E12000006,0.963500836493908
2008,North West,,,E12000002,1.76761039337666
2008,South East,,,E12000008,0.984999642195913
2008,South West,,,E12000009,0.845333872297717
2008,West Midlands,,,E12000005,0.745964513922245
2008,Yorkshire and The Humber,,,E12000003,1.17337590828432
2008,North East,,,E12000001,0.700576652426797
2008,London,Male,,E12000007,2.44307060707965
2008,London,Female,,E12000007,1.05939043683207
2008,East Midlands,Male,,E12000004,1.64478042638191
2008,East Midlands,Female,,E12000004,0.754756184893954
2008,East of England,Female,,E12000006,0.688519352901971
2008,East of England,Male,,E12000006,1.21274120174092
2008,North West,Female,,E12000002,1.04244791563948
2008,North West,Male,,E12000002,2.49324696725838
2008,South East,Female,,E12000008,0.558678464714333
2008,South East,Male,,E12000008,1.33154277145375
2008,South West,Female,,E12000009,0.601863519923563
2008,South West,Male,,E12000009,1.02095550440306
2008,West Midlands,Female,,E12000005,0.501561288639923
2008,West Midlands,Male,,E12000005,0.961198629478631
2008,Yorkshire and The Humber,Female,,E12000003,0.491032611364307
2008,Yorkshire and The Humber,Male,,E12000003,1.88147270708252
2008,North East,Female,,E12000001,0.455632759995443
2008,North East,Male,,E12000001,0.958112900830524
2008,,,0 to 20,,0.330032291120976
2008,,Male,0 to 20,,0.298241085915676
2008,,Female,0 to 20,,0.350246657965847
2008,London,,0 to 20,E12000007,0.643705844254875
2008,East Midlands,,0 to 20,E12000004,0.354695143957457
2008,East of England,,0 to 20,E12000006,0.277126338433612
2008,North West,,0 to 20,E12000002,0.722818949421578
2008,South East,,0 to 20,E12000008,0.420183760364532
2008,West Midlands,,0 to 20,E12000005,0.206550686161379
2008,North East,,0 to 20,E12000001,0.467041649217471
2008,London,Male,0 to 20,E12000007,0.390353582274824
2008,London,Female,0 to 20,E12000007,0.904664449903703
2008,East Midlands,Male,0 to 20,E12000004,0.519991056153834
2008,North West,Female,0 to 20,E12000002,0.568352969928444
2008,North West,Male,0 to 20,E12000002,0.870720815342971
2008,South East,Female,0 to 20,E12000008,0.382908496356625
2008,South East,Male,0 to 20,E12000008,0.45567054654948
2008,,,21 to 40,,1.85463841809416
2008,,Female,21 to 40,,1.21601833802877
2008,,Male,21 to 40,,2.40294882266213
2008,London,,21 to 40,E12000007,2.58900135479248
2008,East Midlands,,21 to 40,E12000004,2.25126547095607
2008,East of England,,21 to 40,E12000006,1.42421546074048
2008,North West,,21 to 40,E12000002,3.69456589122437
2008,South East,,21 to 40,E12000008,1.86718826494946
2008,South West,,21 to 40,E12000009,1.8861370498616
2008,West Midlands,,21 to 40,E12000005,1.10279192453043
2008,Yorkshire and The Humber,,21 to 40,E12000003,2.65353382574315
2008,North East,,21 to 40,E12000001,1.06916096829326
2008,London,Male,21 to 40,E12000007,3.46965784217022
