Year,Units,Domestic consumption category,Value
2000,Tonnes per capita (GBP £m),,14.4
2001,Tonnes per capita (GBP £m),,15.1
2002,Tonnes per capita (GBP £m),,13.9
2003,Tonnes per capita (GBP £m),,13.6
2004,Tonnes per capita (GBP £m),,13.7
2005,Tonnes per capita (GBP £m),,13.7
2006,Tonnes per capita (GBP £m),,13.1
2007,Tonnes per capita (GBP £m),,13
2008,Tonnes per capita (GBP £m),,12
2009,Tonnes per capita (GBP £m),,10.5
2010,Tonnes per capita (GBP £m),,10.4
2011,Tonnes per capita (GBP £m),,10.1
2012,Tonnes per capita (GBP £m),,10.1
2013,Tonnes per capita (GBP £m),,10.3
2000,Tonnes per capita (GBP £m),Biomass,3.196000414
2001,Tonnes per capita (GBP £m),Biomass,2.980731819
2002,Tonnes per capita (GBP £m),Biomass,3.124699953
2003,Tonnes per capita (GBP £m),Biomass,3.031690218
2004,Tonnes per capita (GBP £m),Biomass,3.057527556
2005,Tonnes per capita (GBP £m),Biomass,3.022513255
2006,Tonnes per capita (GBP £m),Biomass,2.916463221
2007,Tonnes per capita (GBP £m),Biomass,2.894693497
2008,Tonnes per capita (GBP £m),Biomass,2.948702603
2009,Tonnes per capita (GBP £m),Biomass,2.865380137
2010,Tonnes per capita (GBP £m),Biomass,2.715126794
2011,Tonnes per capita (GBP £m),Biomass,2.7415616
2012,Tonnes per capita (GBP £m),Biomass,2.663841143
2013,Tonnes per capita (GBP £m),Biomass,2.690868363
2000,Tonnes per capita (GBP £m),Metal ores,1.239681351
2001,Tonnes per capita (GBP £m),Metal ores,1.695058617
2002,Tonnes per capita (GBP £m),Metal ores,0.975310659
2003,Tonnes per capita (GBP £m),Metal ores,0.821641707
2004,Tonnes per capita (GBP £m),Metal ores,0.68389869
2005,Tonnes per capita (GBP £m),Metal ores,0.930258734
2006,Tonnes per capita (GBP £m),Metal ores,0.481693193
2007,Tonnes per capita (GBP £m),Metal ores,0.50392129
2008,Tonnes per capita (GBP £m),Metal ores,0.194100007
2009,Tonnes per capita (GBP £m),Metal ores,0.266621694
2010,Tonnes per capita (GBP £m),Metal ores,0.433400521
2011,Tonnes per capita (GBP £m),Metal ores,0.347633171
2012,Tonnes per capita (GBP £m),Metal ores,0.510164037
2013,Tonnes per capita (GBP £m),Metal ores,0.396220617
2000,Tonnes per capita (GBP £m),Non-metal minerals,5.459692525
2001,Tonnes per capita (GBP £m),Non-metal minerals,5.589295079
2002,Tonnes per capita (GBP £m),Non-metal minerals,5.326307952
2003,Tonnes per capita (GBP £m),Non-metal minerals,5.240061908
2004,Tonnes per capita (GBP £m),Non-metal minerals,5.382783101
2005,Tonnes per capita (GBP £m),Non-metal minerals,5.169391508
2006,Tonnes per capita (GBP £m),Non-metal minerals,5.124360688
2007,Tonnes per capita (GBP £m),Non-metal minerals,5.259372691
2008,Tonnes per capita (GBP £m),Non-metal minerals,4.55973266
2009,Tonnes per capita (GBP £m),Non-metal minerals,3.626697505
2010,Tonnes per capita (GBP £m),Non-metal minerals,3.55006015
2011,Tonnes per capita (GBP £m),Non-metal minerals,3.520575933
2012,Tonnes per capita (GBP £m),Non-metal minerals,3.26818931
2013,Tonnes per capita (GBP £m),Non-metal minerals,3.313277914
2000,Tonnes per capita (GBP £m),Fossil energy materials,4.537573383
2001,Tonnes per capita (GBP £m),Fossil energy materials,4.787441003
2002,Tonnes per capita (GBP £m),Fossil energy materials,4.452065755
2003,Tonnes per capita (GBP £m),Fossil energy materials,4.480462534
2004,Tonnes per capita (GBP £m),Fossil energy materials,4.602137767
2005,Tonnes per capita (GBP £m),Fossil energy materials,4.56521991
2006,Tonnes per capita (GBP £m),Fossil energy materials,4.578551336
2007,Tonnes per capita (GBP £m),Fossil energy materials,4.324916706
2008,Tonnes per capita (GBP £m),Fossil energy materials,4.252407649
2009,Tonnes per capita (GBP £m),Fossil energy materials,3.753583733
2010,Tonnes per capita (GBP £m),Fossil energy materials,3.671157355
2011,Tonnes per capita (GBP £m),Fossil energy materials,3.53321714
2012,Tonnes per capita (GBP £m),Fossil energy materials,3.651204772
2013,Tonnes per capita (GBP £m),Fossil energy materials,3.881090137
2000,Tonnes per gross domestic product (GBP £m),,599.2204071
2001,Tonnes per gross domestic product (GBP £m),,610.8439036
2002,Tonnes per gross domestic product (GBP £m),,552.3002679
2003,Tonnes per gross domestic product (GBP £m),,524.4682753
2004,Tonnes per gross domestic product (GBP £m),,520.0677921
2005,Tonnes per gross domestic product (GBP £m),,507.4503581
2006,Tonnes per gross domestic product (GBP £m),,477.0982084
2007,Tonnes per gross domestic product (GBP £m),,464.741307
2008,Tonnes per gross domestic product (GBP £m),,434.1895325
2009,Tonnes per gross domestic product (GBP £m),,401.8831094
2010,Tonnes per gross domestic product (GBP £m),,392.162297
2011,Tonnes per gross domestic product (GBP £m),,381.0496077
2012,Tonnes per gross domestic product (GBP £m),,376.6970407
2013,Tonnes per gross domestic product (GBP £m),,378.888261
2000,Tonnes per gross domestic product (GBP £m),Biomass,132.7056726
2001,Tonnes per gross domestic product (GBP £m),Biomass,120.9469556
2002,Tonnes per gross domestic product (GBP £m),Biomass,124.349678
2003,Tonnes per gross domestic product (GBP £m),Biomass,117.1388069
2004,Tonnes per gross domestic product (GBP £m),Biomass,115.8304086
2005,Tonnes per gross domestic product (GBP £m),Biomass,112.0576072
2006,Tonnes per gross domestic product (GBP £m),Biomass,106.208084
2007,Tonnes per gross domestic product (GBP £m),Biomass,103.6196232
2008,Tonnes per gross domestic product (GBP £m),Biomass,107.0934268
2009,Tonnes per gross domestic product (GBP £m),Biomass,109.5430813
2010,Tonnes per gross domestic product (GBP £m),Biomass,102.6647033
2011,Tonnes per gross domestic product (GBP £m),Biomass,102.9783597
2012,Tonnes per gross domestic product (GBP £m),Biomass,99.4175549
2013,Tonnes per gross domestic product (GBP £m),Biomass,99.16283572
2000,Tonnes per gross domestic product (GBP £m),Metal ores,51.47457015
2001,Tonnes per gross domestic product (GBP £m),Metal ores,68.77914276
2002,Tonnes per gross domestic product (GBP £m),Metal ores,38.8131879
2003,Tonnes per gross domestic product (GBP £m),Metal ores,31.74668992
2004,Tonnes per gross domestic product (GBP £m),Metal ores,25.90860204
2005,Tonnes per gross domestic product (GBP £m),Metal ores,34.48870495
2006,Tonnes per gross domestic product (GBP £m),Metal ores,17.54169595
2007,Tonnes per gross domestic product (GBP £m),Metal ores,18.03857102
2008,Tonnes per gross domestic product (GBP £m),Metal ores,7.049485035
2009,Tonnes per gross domestic product (GBP £m),Metal ores,10.19291003
2010,Tonnes per gross domestic product (GBP £m),Metal ores,16.38779302
2011,Tonnes per gross domestic product (GBP £m),Metal ores,13.05777472
2012,Tonnes per gross domestic product (GBP £m),Metal ores,19.03989708
2013,Tonnes per gross domestic product (GBP £m),Metal ores,14.60136827
2000,Tonnes per gross domestic product (GBP £m),Non-metal minerals,226.699648
2001,Tonnes per gross domestic product (GBP £m),Non-metal minerals,226.7927023
2002,Tonnes per gross domestic product (GBP £m),Non-metal minerals,211.964249
2003,Tonnes per gross domestic product (GBP £m),Non-metal minerals,202.4661347
2004,Tonnes per gross domestic product (GBP £m),Non-metal minerals,203.9196555
2005,Tonnes per gross domestic product (GBP £m),Non-metal minerals,191.6516469
2006,Tonnes per gross domestic product (GBP £m),Non-metal minerals,186.6125129
2007,Tonnes per gross domestic product (GBP £m),Non-metal minerals,188.2666393
2008,Tonnes per gross domestic product (GBP £m),Non-metal minerals,165.6041526
2009,Tonnes per gross domestic product (GBP £m),Non-metal minerals,138.6481377
2010,Tonnes per gross domestic product (GBP £m),Non-metal minerals,134.2353046
2011,Tonnes per gross domestic product (GBP £m),Non-metal minerals,132.2396458
2012,Tonnes per gross domestic product (GBP £m),Non-metal minerals,121.9725099
2013,Tonnes per gross domestic product (GBP £m),Non-metal minerals,122.0996308
2000,Tonnes per gross domestic product (GBP £m),Fossil energy materials,188.4110294
2001,Tonnes per gross domestic product (GBP £m),Fossil energy materials,194.2564611
2002,Tonnes per gross domestic product (GBP £m),Fossil energy materials,177.1731531
2003,Tonnes per gross domestic product (GBP £m),Fossil energy materials,173.1166438
2004,Tonnes per gross domestic product (GBP £m),Fossil energy materials,174.3459342
2005,Tonnes per gross domestic product (GBP £m),Fossil energy materials,169.252399
2006,Tonnes per gross domestic product (GBP £m),Fossil energy materials,166.7359155
2007,Tonnes per gross domestic product (GBP £m),Fossil energy materials,154.8164736
2008,Tonnes per gross domestic product (GBP £m),Fossil energy materials,154.442468
2009,Tonnes per gross domestic product (GBP £m),Fossil energy materials,143.4989804
2010,Tonnes per gross domestic product (GBP £m),Fossil energy materials,138.8142468
2011,Tonnes per gross domestic product (GBP £m),Fossil energy materials,132.7144739
2012,Tonnes per gross domestic product (GBP £m),Fossil energy materials,136.2670788
2013,Tonnes per gross domestic product (GBP £m),Fossil energy materials,143.0244262
