Year,Flow of Official Development Assistance,Aid Description (CRS Code),Value
2009,Bilateral,,18777.05
2009,Bilateral,Construction policy and administrative management (32310),354.69
2009,Bilateral,Urban development and management (43030),18422.36
2010,,,57244.59
2010,,Construction policy and administrative management (32310),999.93
2010,,Urban development and management (43030),56244.66
2010,Bilateral,,35421.80
2010,Bilateral,Construction policy and administrative management (32310),486.27
2010,Bilateral,Urban development and management (43030),34935.52
2010,Multilateral,,21822.80
2010,Multilateral,Construction policy and administrative management (32310),513.66
2010,Multilateral,Urban development and management (43030),21309.14
2011,,,84691.78
2011,,Construction policy and administrative management (32310),21258.97
2011,,Urban development and management (43030),63432.82
2011,Bilateral,,59306.37
2011,Bilateral,Construction policy and administrative management (32310),20856.15
2011,Bilateral,Urban development and management (43030),38450.22
2011,Multilateral,,25385.42
2011,Multilateral,Construction policy and administrative management (32310),402.82
2011,Multilateral,Urban development and management (43030),24982.60
2012,,,25349.17
2012,,Construction policy and administrative management (32310),-29869.89
2012,,Urban development and management (43030),55219.06
2012,Bilateral,,-3888.56
2012,Bilateral,Construction policy and administrative management (32310),-30549.29
2012,Bilateral,Urban development and management (43030),26660.73
2012,Multilateral,,29237.74
2012,Multilateral,Construction policy and administrative management (32310),679.41
2012,Multilateral,Urban development and management (43030),28558.33
2013,,,82200.63
2013,,Construction policy and administrative management (32310),-7605.01
2013,,Urban development and management (43030),89805.64
2013,Bilateral,,34630.34
2013,Bilateral,Construction policy and administrative management (32310),-9333.15
2013,Bilateral,Urban development and management (43030),43963.49
2013,Multilateral,,47570.29
2013,Multilateral,Construction policy and administrative management (32310),1728.14
2013,Multilateral,Urban development and management (43030),45842.15
2014,,,88748.13
2014,,Construction policy and administrative management (32310),9425.63
2014,,Urban development and management (43030),79322.50
2014,Bilateral,,32762.27
2014,Bilateral,Construction policy and administrative management (32310),7830.03
2014,Bilateral,Urban development and management (43030),24932.24
2014,Multilateral,,55985.86
2014,Multilateral,Construction policy and administrative management (32310),1595.60
2014,Multilateral,Urban development and management (43030),54390.26
2015,,,111499.75
2015,,Construction policy and administrative management (32310),2562.86
2015,,Urban development and management (43030),108936.90
2015,Bilateral,,61567.21
2015,Bilateral,Construction policy and administrative management (32310),1061.27
2015,Bilateral,Urban development and management (43030),60505.95
2015,Multilateral,,49932.54
2015,Multilateral,Construction policy and administrative management (32310),1501.59
2015,Multilateral,Urban development and management (43030),48430.95
