year,disaster_losses,dsast_loss_pct_global_gdp,dsast_loss_pct_us_gdp
2007,0,0.00,0.00
2008,19.1,0.03,0.13
2009,0,0.00,0.00
2010,0,0.00,0.00
2011,0,0.00,0.00
2012,45.9,0.06,0.28
2013,0,0.00,0.00
2014,0,0.00,0.00
2015,0,0.00,0.00
