Year,Geography,Sustainably managed status,Value
2004,,,12.41435526
2004,,Certified,4.782388694
2004,England,,9.759385685
2004,England,Certified,2.288869595
2004,Wales,,14.52970096
2004,Wales,Certified,6.107879048
2004,Scotland,,17.35578249
2004,Scotland,Certified,8.598386479
2004,Northern Ireland,,6.314395054
2004,Northern Ireland,Certified,4.792463939
2004,England,Uncertified,7.47051609
2004,Wales,Uncertified,8.421821916
2004,Scotland,Uncertified,8.757396009
2004,Northern Ireland,Uncertified,1.521931116
2004,,Uncertified,7.631966569
2005,,,12.45683781
2005,,Certified,5.182918915
2005,England,,9.797370129
2005,England,Certified,2.637558383
2005,Wales,,14.55459799
2005,Wales,Certified,6.329118439
2005,Scotland,,17.42737588
2005,Scotland,Certified,9.224618287
2005,Northern Ireland,,6.259935237
2005,Northern Ireland,Certified,4.669634972
2005,England,Uncertified,7.159811746
2005,Wales,Uncertified,8.225479549
2005,Scotland,Uncertified,8.202757593
2005,Northern Ireland,Uncertified,1.590300265
2005,,Uncertified,7.273918899
2006,,,12.49128449
2006,,Certified,5.246490738
2006,England,,9.823354516
2006,England,Certified,2.713356504
2006,Wales,,14.57736845
2006,Wales,Certified,6.323867668
2006,Scotland,,17.47764701
2006,Scotland,Certified,9.297402037
2006,Northern Ireland,,6.302619959
2006,Northern Ireland,Certified,4.668163085
2006,England,Uncertified,7.109998012
2006,Wales,Uncertified,8.253500779
2006,Scotland,Uncertified,8.180244975
2006,Northern Ireland,Uncertified,1.634456874
2006,,Uncertified,7.244793747
2007,,,12.53705249
2007,,Certified,5.462575444
2007,England,,9.845908566
2007,England,Certified,2.792283549
2007,Wales,,14.60121175
2007,Wales,Certified,6.394089797
2007,Scotland,,17.56065671
2007,Scotland,Certified,9.810086142
2007,Northern Ireland,,6.390933176
2007,Northern Ireland,Certified,4.721550213
2007,England,Uncertified,7.053625016
2007,Wales,Uncertified,8.207121955
2007,Scotland,Uncertified,7.750570567
2007,Northern Ireland,Uncertified,1.669382964
2007,,Uncertified,7.074477049
2008,,,12.5666255
2008,,Certified,5.39973874
2008,England,,9.864280485
2008,England,Certified,2.64957469
2008,Wales,,14.60894962
2008,Wales,Certified,6.26748512
2008,Scotland,,17.61332307
2008,Scotland,Certified,9.883226879
2008,Northern Ireland,,6.428834266
2008,Northern Ireland,Certified,4.742338394
2008,England,Uncertified,7.214705795
2008,Wales,Uncertified,8.341464496
2008,Scotland,Uncertified,7.73009619
2008,Northern Ireland,Uncertified,1.686495871
2008,,Uncertified,7.166886764
2009,,,12.59207691
2009,,Certified,5.491969421
2009,England,,9.882111726
2009,England,Certified,2.705073063
2009,Wales,,14.61651023
2009,Wales,Certified,6.449551022
2009,Scotland,,17.65658712
2009,Scotland,Certified,10.02110437
2009,Northern Ireland,,6.452531646
2009,Northern Ireland,Certified,4.788011481
2009,England,Uncertified,7.177038662
2009,Wales,Uncertified,8.166959208
2009,Scotland,Uncertified,7.635482755
2009,Northern Ireland,Uncertified,1.664520165
2009,,Uncertified,7.10010749
2010,,,12.61307502
2010,,Certified,5.554672865
2010,England,,9.898342414
2010,England,Certified,2.740923413
2010,Wales,,14.62525463
2010,Wales,Certified,6.436805556
2010,Scotland,,17.6907497
2010,Scotland,Certified,10.17141739
2010,Northern Ireland,,6.462466883
2010,Northern Ireland,Certified,4.721040624
2010,England,Uncertified,7.157419001
2010,Wales,Uncertified,8.188449074
2010,Scotland,Uncertified,7.519332315
2010,Northern Ireland,Uncertified,1.741426258
2010,,Uncertified,7.058402152
2011,,,12.64637078
2011,,Certified,5.458999897
2011,England,,9.917773003
2011,England,Certified,2.572470493
2011,Wales,,14.63956404
2011,Wales,Certified,6.443094136
2011,Scotland,,17.75623468
2011,Scotland,Certified,10.16255728
2011,Northern Ireland,,6.473138063
2011,Northern Ireland,Certified,4.669966147
2011,England,Uncertified,7.345302509
2011,Wales,Uncertified,8.196469907
2011,Scotland,Uncertified,7.593677401
2011,Northern Ireland,Uncertified,1.803171916
2011,,Uncertified,7.18737088
2012,,,12.82439415
2012,,Certified,5.630130038
2012,England,,9.958440028
2012,England,Certified,2.724071138
