year,Moderate,Severe,All
2007,3.78186,1.75856,5.54042
2008,,,
2009,3.71077,1.82668,5.53745
2010,,,
2011,3.83114,2.00207,5.8332
2012,,,
2013,3.69158,1.85935,5.55093
2014,,,
2015,,,
2016,,,
2017,,,
