Year,Units,Domestic consumption category,Value
2008,Tonnes per capita,Fossil energy materials,3.70569263
2009,Tonnes per capita,Fossil energy materials,3.414685073
2010,Tonnes per capita,Fossil energy materials,3.161274389
2011,Tonnes per capita,Fossil energy materials,3.109736731
2012,Tonnes per capita,Fossil energy materials,3.114355231
2013,Tonnes per capita,Fossil energy materials,2.917057298
2000,Tonnes per gross domestic product (£m),,520.8803421
2001,Tonnes per gross domestic product (£m),,510.2835801
2002,Tonnes per gross domestic product (£m),,484.0587735
2003,Tonnes per gross domestic product (£m),,468.4256493
2004,Tonnes per gross domestic product (£m),,475.1384846
2005,Tonnes per gross domestic product (£m),,449.5805204
2006,Tonnes per gross domestic product (£m),,433.4535109
2007,Tonnes per gross domestic product (£m),,419.6740681
2008,Tonnes per gross domestic product (£m),,396.5922789
2009,Tonnes per gross domestic product (£m),,364.0588168
2010,Tonnes per gross domestic product (£m),,347.6381093
2011,Tonnes per gross domestic product (£m),,345.5562018
2012,Tonnes per gross domestic product (£m),,330.0053546
2013,Tonnes per gross domestic product (£m),,327.6685007
2000,Tonnes per gross domestic product (£m),Biomass,124.9492306
2001,Tonnes per gross domestic product (£m),Biomass,117.1716534
2002,Tonnes per gross domestic product (£m),Biomass,118.5846794
2003,Tonnes per gross domestic product (£m),Biomass,111.631728
2004,Tonnes per gross domestic product (£m),Biomass,111.2806053
2005,Tonnes per gross domestic product (£m),Biomass,106.841344
2006,Tonnes per gross domestic product (£m),Biomass,101.5981503
2007,Tonnes per gross domestic product (£m),Biomass,95.56356232
2008,Tonnes per gross domestic product (£m),Biomass,100.5139075
2009,Tonnes per gross domestic product (£m),Biomass,101.683488
2010,Tonnes per gross domestic product (£m),Biomass,98.02551194
2011,Tonnes per gross domestic product (£m),Biomass,99.06102729
2012,Tonnes per gross domestic product (£m),Biomass,94.32072091
2013,Tonnes per gross domestic product (£m),Biomass,98.93289292
2000,Tonnes per gross domestic product (£m),Metal ores,12.12825489
2001,Tonnes per gross domestic product (£m),Metal ores,14.0715811
2002,Tonnes per gross domestic product (£m),Metal ores,12.80365957
2003,Tonnes per gross domestic product (£m),Metal ores,11.40289271
2004,Tonnes per gross domestic product (£m),Metal ores,12.32238389
2005,Tonnes per gross domestic product (£m),Metal ores,10.67799762
2006,Tonnes per gross domestic product (£m),Metal ores,10.95607631
2007,Tonnes per gross domestic product (£m),Metal ores,12.08409126
2008,Tonnes per gross domestic product (£m),Metal ores,9.164330546
2009,Tonnes per gross domestic product (£m),Metal ores,3.868393567
2010,Tonnes per gross domestic product (£m),Metal ores,5.783926949
2011,Tonnes per gross domestic product (£m),Metal ores,5.401170451
2012,Tonnes per gross domestic product (£m),Metal ores,5.85842987
2013,Tonnes per gross domestic product (£m),Metal ores,7.358169839
2000,Tonnes per gross domestic product (£m),Non-metal minerals,212.4559998
2001,Tonnes per gross domestic product (£m),Non-metal minerals,210.867791
2002,Tonnes per gross domestic product (£m),Non-metal minerals,196.0099507
2003,Tonnes per gross domestic product (£m),Non-metal minerals,185.6209523
2004,Tonnes per gross domestic product (£m),Non-metal minerals,188.880028
2005,Tonnes per gross domestic product (£m),Non-metal minerals,176.5551675
2006,Tonnes per gross domestic product (£m),Non-metal minerals,172.184019
2007,Tonnes per gross domestic product (£m),Non-metal minerals,170.8118408
2008,Tonnes per gross domestic product (£m),Non-metal minerals,152.3276225
2009,Tonnes per gross domestic product (£m),Non-metal minerals,127.9640031
2010,Tonnes per gross domestic product (£m),Non-metal minerals,124.2941802
2011,Tonnes per gross domestic product (£m),Non-metal minerals,124.2862739
2012,Tonnes per gross domestic product (£m),Non-metal minerals,113.5949552
2013,Tonnes per gross domestic product (£m),Non-metal minerals,113.8791754
2000,Tonnes per gross domestic product (£m),Fossil energy materials,171.3468568
2001,Tonnes per gross domestic product (£m),Fossil energy materials,168.1725547
2002,Tonnes per gross domestic product (£m),Fossil energy materials,156.6604838
2003,Tonnes per gross domestic product (£m),Fossil energy materials,159.7700762
2004,Tonnes per gross domestic product (£m),Fossil energy materials,162.6554674
2005,Tonnes per gross domestic product (£m),Fossil energy materials,155.5060113
2006,Tonnes per gross domestic product (£m),Fossil energy materials,148.7152653
2007,Tonnes per gross domestic product (£m),Fossil energy materials,141.2145738
2008,Tonnes per gross domestic product (£m),Fossil energy materials,134.5864185
2009,Tonnes per gross domestic product (£m),Fossil energy materials,130.5429321
2010,Tonnes per gross domestic product (£m),Fossil energy materials,119.5344903
2011,Tonnes per gross domestic product (£m),Fossil energy materials,116.8077302
2012,Tonnes per gross domestic product (£m),Fossil energy materials,116.2312486
2013,Tonnes per gross domestic product (£m),Fossil energy materials,107.4982625
