Year,Units,Domestic consumption category,Value
2000,Tonnes per capita,,12.54455636
2001,Tonnes per capita,,12.57591393
2002,Tonnes per capita,,12.16358941
2003,Tonnes per capita,,12.12340723
2004,Tonnes per capita,,12.54203475
2005,Tonnes per capita,,12.12646884
2006,Tonnes per capita,,11.90258947
2007,Tonnes per capita,,11.72391637
2008,Tonnes per capita,,10.91974288
2009,Tonnes per capita,,9.522891721
2010,Tonnes per capita,,9.193827229
2011,Tonnes per capita,,9.199637829
2012,Tonnes per capita,,8.842320069
2013,Tonnes per capita,,8.891565025
2000,Tonnes per capita,Biomass,3.009199115
2001,Tonnes per capita,Biomass,2.887689679
2002,Tonnes per capita,Biomass,2.979835157
2003,Tonnes per capita,Biomass,2.889160534
2004,Tonnes per capita,Biomass,2.937428274
2005,Tonnes per capita,Biomass,2.881815759
2006,Tonnes per capita,Biomass,2.789874908
2007,Tonnes per capita,Biomass,2.66964127
2008,Tonnes per capita,Biomass,2.767542597
2009,Tonnes per capita,Biomass,2.659792324
2010,Tonnes per capita,Biomass,2.592436205
2011,Tonnes per capita,Biomass,2.637271648
2012,Tonnes per capita,Biomass,2.527274154
2013,Tonnes per capita,Biomass,2.684628668
2000,Tonnes per capita,Metal ores,0.292089305
2001,Tonnes per capita,Metal ores,0.34679343
2002,Tonnes per capita,Metal ores,0.321734604
2003,Tonnes per capita,Metal ores,0.295120287
2004,Tonnes per capita,Metal ores,0.325268889
2005,Tonnes per capita,Metal ores,0.288016049
2006,Tonnes per capita,Metal ores,0.300852745
2007,Tonnes per capita,Metal ores,0.33757834
2008,Tonnes per capita,Metal ores,0.252330009
2009,Tonnes per capita,Metal ores,0.101187751
2010,Tonnes per capita,Metal ores,0.15296489
2011,Tonnes per capita,Metal ores,0.143793721
2012,Tonnes per capita,Metal ores,0.15697355
2013,Tonnes per capita,Metal ores,0.199670232
2000,Tonnes per capita,Non-metal minerals,5.116657412
2001,Tonnes per capita,Non-metal minerals,5.196826417
2002,Tonnes per capita,Non-metal minerals,4.925403053
2003,Tonnes per capita,Non-metal minerals,4.804088757
2004,Tonnes per capita,Non-metal minerals,4.985788252
2005,Tonnes per capita,Non-metal minerals,4.762196404
2006,Tonnes per capita,Non-metal minerals,4.728155707
2007,Tonnes per capita,Non-metal minerals,4.771759533
2008,Tonnes per capita,Non-metal minerals,4.194177647
2009,Tonnes per capita,Non-metal minerals,3.347226572
2010,Tonnes per capita,Non-metal minerals,3.287151746
2011,Tonnes per capita,Non-metal minerals,3.308835729
2012,Tonnes per capita,Non-metal minerals,3.043717134
2013,Tonnes per capita,Non-metal minerals,3.090208827
2000,Tonnes per capita,Fossil energy materials,4.126610524
2001,Tonnes per capita,Fossil energy materials,4.144604402
2002,Tonnes per capita,Fossil energy materials,3.936616598
2003,Tonnes per capita,Fossil energy materials,4.135037653
2004,Tonnes per capita,Fossil energy materials,4.293549334
2005,Tonnes per capita,Fossil energy materials,4.194440628
2006,Tonnes per capita,Fossil energy materials,4.083706111
2007,Tonnes per capita,Fossil energy materials,3.944937222
