Year,Value
2000,23.07692308
2001,15.38461538
2002,15.38461538
2003,15.38461538
2004,15.38461538
2005,30.76923077
2006,30.76923077
2007,23.07692308
2008,23.07692308
2009,15.38461538
2010,38.46153846
2011,38.46153846
2012,30.76923077
2013,30.76923077
