Year,Country,Region,Age,Sex,Method of suicide,Value
2007,Wales,,55 to 59,,,12.5
2008,Wales,,55 to 59,,,8.8
2009,Wales,,55 to 59,,,4.2
2010,Wales,,55 to 59,,,14.9
2011,Wales,,55 to 59,,,14.4
2012,Wales,,55 to 59,,,13.3
2013,Wales,,55 to 59,,,20
2014,Wales,,55 to 59,,,13.5
2015,Wales,,55 to 59,,,16.7
2016,Wales,,55 to 59,,,17.8
2000,Wales,,60 to 64,,,10.5
2001,Wales,,60 to 64,,,11.1
2002,Wales,,60 to 64,,,10.2
2003,Wales,,60 to 64,,,11.8
2004,Wales,,60 to 64,,,9.6
2005,Wales,,60 to 64,,,8.2
2006,Wales,,60 to 64,,,11.9
2007,Wales,,60 to 64,,,8.5
2008,Wales,,60 to 64,,,8.1
2009,Wales,,60 to 64,,,7
2010,Wales,,60 to 64,,,8.4
2011,Wales,,60 to 64,,,13.2
2012,Wales,,60 to 64,,,14.3
2013,Wales,,60 to 64,,,13.7
2014,Wales,,60 to 64,,,7.5
2015,Wales,,60 to 64,,,12.4
2016,Wales,,60 to 64,,,10.8
2000,Wales,,65 to 69,,,7.2
2001,Wales,,65 to 69,,,11.5
2002,Wales,,65 to 69,,,7.8
2003,Wales,,65 to 69,,,4.9
2004,Wales,,65 to 69,,,12.4
2005,Wales,,65 to 69,,,6.8
2006,Wales,,65 to 69,,,11.5
2007,Wales,,65 to 69,,,10
2008,Wales,,65 to 69,,,5.9
2009,Wales,,65 to 69,,,8.8
2010,Wales,,65 to 69,,,6.1
2011,Wales,,65 to 69,,,5.9
2012,Wales,,65 to 69,,,9.9
2013,Wales,,65 to 69,,,9.5
2014,Wales,,65 to 69,,,6.7
2015,Wales,,65 to 69,,,8.7
2016,Wales,,65 to 69,,,11.6
2000,Wales,,70 to 74,,,11.8
2001,Wales,,70 to 74,,,8
2002,Wales,,70 to 74,,,4.8
2003,Wales,,70 to 74,,,10.4
2004,Wales,,70 to 74,,,11.2
2005,Wales,,70 to 74,,,5.6
2006,Wales,,70 to 74,,,9.5
2007,Wales,,70 to 74,,,10.2
2008,Wales,,70 to 74,,,6.1
2009,Wales,,70 to 74,,,9.1
2010,Wales,,70 to 74,,,7.5
2011,Wales,,70 to 74,,,8.9
2012,Wales,,70 to 74,,,7.3
2013,Wales,,70 to 74,,,12.8
2014,Wales,,70 to 74,,,10.3
2015,Wales,,70 to 74,,,9.3
2016,Wales,,70 to 74,,,8.4
2000,Wales,,75 to 79,,,9
2001,Wales,,75 to 79,,,10
2002,Wales,,75 to 79,,,7.4
2003,Wales,,75 to 79,,,5.7
2004,Wales,,75 to 79,,,15.2
2005,Wales,,75 to 79,,,7.6
2006,Wales,,75 to 79,,,8.6
2007,Wales,,75 to 79,,,11.5
2008,Wales,,75 to 79,,,7.6
2009,Wales,,75 to 79,,,7.5
2010,Wales,,75 to 79,,,8.4
2011,Wales,,75 to 79,,,3.7
2012,Wales,,75 to 79,,,12.7
2013,Wales,,75 to 79,,,7.1
2014,Wales,,75 to 79,,,3.5
2015,Wales,,75 to 79,,,9.5
2016,Wales,,75 to 79,,,2.6
2000,Wales,,80 to 84,,,7.3
2001,Wales,,80 to 84,,,4.1
2002,Wales,,80 to 84,,,12.9
2003,Wales,,80 to 84,,,8.7
2004,Wales,,80 to 84,,,7.3
2005,Wales,,80 to 84,,,8.7
2006,Wales,,80 to 84,,,6.2
2007,Wales,,80 to 84,,,10.1
2008,Wales,,80 to 84,,,8.9
2009,Wales,,80 to 84,,,7.7
2010,Wales,,80 to 84,,,16.5
2011,Wales,,80 to 84,,,17.6
2012,Wales,,80 to 84,,,8.7
2013,Wales,,80 to 84,,,14.7
2014,Wales,,80 to 84,,,7.2
2015,Wales,,80 to 84,,,10.7
2016,Wales,,80 to 84,,,9.4
2000,Wales,,85 to 89,,,7.7
2001,Wales,,85 to 89,,,15.4
2002,Wales,,85 to 89,,,18
2004,Wales,,85 to 89,,,10.4
2005,Wales,,85 to 89,,,9.7
2006,Wales,,85 to 89,,,6.8
2007,Wales,,85 to 89,,,10.6
2009,Wales,,85 to 89,,,12.1
2010,Wales,,85 to 89,,,18.2
2012,Wales,,85 to 89,,,14.1
2013,Wales,,85 to 89,,,6.1
2014,Wales,,85 to 89,,,14
2015,Wales,,85 to 89,,,8
2000,Wales,,90 and over,,,15.8
2005,Wales,,90 and over,,,14.2
2007,Wales,,90 and over,,,18.5
2012,Wales,,90 and over,,,14.6
2013,Wales,,90 and over,,,18
2015,Wales,,90 and over,,,17.2
2016,Wales,,90 and over,,,10.1
2000,Wales,,15 to 19,Male,,18.3
2001,Wales,,15 to 19,Male,,12.8
2002,Wales,,15 to 19,Male,,5.2
2003,Wales,,15 to 19,Male,,13.1
2004,Wales,,15 to 19,Male,,13
2005,Wales,,15 to 19,Male,,7.9
2006,Wales,,15 to 19,Male,,4.9
2007,Wales,,15 to 19,Male,,9.7
2008,Wales,,15 to 19,Male,,6.8
2009,Wales,,15 to 19,Male,,8.8
2010,Wales,,15 to 19,Male,,2.9
2011,Wales,,15 to 19,Male,,13
2012,Wales,,15 to 19,Male,,6
2013,Wales,,15 to 19,Male,,11.1
2014,Wales,,15 to 19,Male,,11.3
2015,Wales,,15 to 19,Male,,7.3
2016,Wales,,15 to 19,Male,,13.8
2000,Wales,,20 to 24,Male,,26.1
2001,Wales,,20 to 24,Male,,22.4
2002,Wales,,20 to 24,Male,,26.5
2003,Wales,,20 to 24,Male,,34.3
2004,Wales,,20 to 24,Male,,18.1
2005,Wales,,20 to 24,Male,,17.7
2006,Wales,,20 to 24,Male,,18.5
2007,Wales,,20 to 24,Male,,8.9
2008,Wales,,20 to 24,Male,,15.6
2009,Wales,,20 to 24,Male,,16.4
2010,Wales,,20 to 24,Male,,17
2011,Wales,,20 to 24,Male,,18.3
2012,Wales,,20 to 24,Male,,13.6
2013,Wales,,20 to 24,Male,,18.8
2014,Wales,,20 to 24,Male,,6.2
2015,Wales,,20 to 24,Male,,12.7
2016,Wales,,20 to 24,Male,,15.5
2000,Wales,,25 to 29,Male,,36.9
2001,Wales,,25 to 29,Male,,31.9
2002,Wales,,25 to 29,Male,,29.3
2003,Wales,,25 to 29,Male,,43.9
2004,Wales,,25 to 29,Male,,30.3
2005,Wales,,25 to 29,Male,,13.4
2006,Wales,,25 to 29,Male,,14.1
2007,Wales,,25 to 29,Male,,28.3
2008,Wales,,25 to 29,Male,,28.3
2009,Wales,,25 to 29,Male,,20.4
2010,Wales,,25 to 29,Male,,11.8
2011,Wales,,25 to 29,Male,,21.3
2012,Wales,,25 to 29,Male,,20.2
2013,Wales,,25 to 29,Male,,14.6
2014,Wales,,25 to 29,Male,,12.3
2015,Wales,,25 to 29,Male,,25.2
2016,Wales,,25 to 29,Male,,24.3
2000,Wales,,30 to 34,Male,,28.4
2001,Wales,,30 to 34,Male,,31.1
2002,Wales,,30 to 34,Male,,32.6
2003,Wales,,30 to 34,Male,,34.2
2004,Wales,,30 to 34,Male,,29.5
2005,Wales,,30 to 34,Male,,26.9
2006,Wales,,30 to 34,Male,,29.1
2007,Wales,,30 to 34,Male,,31.2
2008,Wales,,30 to 34,Male,,19.5
2009,Wales,,30 to 34,Male,,13.2
2010,Wales,,30 to 34,Male,,27
2011,Wales,,30 to 34,Male,,18.2
2012,Wales,,30 to 34,Male,,38.4
2013,Wales,,30 to 34,Male,,30.9
2014,Wales,,30 to 34,Male,,17.6
2015,Wales,,30 to 34,Male,,38.6
2016,Wales,,30 to 34,Male,,28.5
2000,Wales,,35 to 39,Male,,36.7
2001,Wales,,35 to 39,Male,,35.5
2002,Wales,,35 to 39,Male,,25
2003,Wales,,35 to 39,Male,,27
2004,Wales,,35 to 39,Male,,29
2005,Wales,,35 to 39,Male,,21.5
2006,Wales,,35 to 39,Male,,28.6
2007,Wales,,35 to 39,Male,,23.8
2008,Wales,,35 to 39,Male,,15.1
2009,Wales,,35 to 39,Male,,23.9
2010,Wales,,35 to 39,Male,,24.6
2011,Wales,,35 to 39,Male,,23.5
2012,Wales,,35 to 39,Male,,31.6
2013,Wales,,35 to 39,Male,,36.1
2014,Wales,,35 to 39,Male,,24
2015,Wales,,35 to 39,Male,,22.4
2016,Wales,,35 to 39,Male,,27.6
2000,Wales,,40 to 44,Male,,18
2001,Wales,,40 to 44,Male,,23.9
2002,Wales,,40 to 44,Male,,32.3
2003,Wales,,40 to 44,Male,,23.7
2004,Wales,,40 to 44,Male,,21.2
2005,Wales,,40 to 44,Male,,24.4
2006,Wales,,40 to 44,Male,,18.6
2007,Wales,,40 to 44,Male,,26
2008,Wales,,40 to 44,Male,,30.8
2009,Wales,,40 to 44,Male,,27.1
2010,Wales,,40 to 44,Male,,24.8
2011,Wales,,40 to 44,Male,,45.1
2012,Wales,,40 to 44,Male,,29.3
2013,Wales,,40 to 44,Male,,38
2014,Wales,,40 to 44,Male,,29.1
2015,Wales,,40 to 44,Male,,30.1
2016,Wales,,40 to 44,Male,,29.3
2000,Wales,,45 to 49,Male,,17.4
2001,Wales,,45 to 49,Male,,30.7
2002,Wales,,45 to 49,Male,,17.4
2003,Wales,,45 to 49,Male,,17.2
2004,Wales,,45 to 49,Male,,26.5
2005,Wales,,45 to 49,Male,,26
2006,Wales,,45 to 49,Male,,25.3
2007,Wales,,45 to 49,Male,,20.8
2008,Wales,,45 to 49,Male,,14.5
2009,Wales,,45 to 49,Male,,23.6
2010,Wales,,45 to 49,Male,,31.5
2011,Wales,,45 to 49,Male,,30.4
2012,Wales,,45 to 49,Male,,26.8
2013,Wales,,45 to 49,Male,,46.5
2014,Wales,,45 to 49,Male,,21.6
2015,Wales,,45 to 49,Male,,25.8
2016,Wales,,45 to 49,Male,,23.1
2000,Wales,,50 to 54,Male,,16.6
2001,Wales,,50 to 54,Male,,18.5
2002,Wales,,50 to 54,Male,,20.2
2003,Wales,,50 to 54,Male,,19.9
2004,Wales,,50 to 54,Male,,25.5
2005,Wales,,50 to 54,Male,,25.9
2006,Wales,,50 to 54,Male,,19.5
2007,Wales,,50 to 54,Male,,21.5
2008,Wales,,50 to 54,Male,,21.3
2009,Wales,,50 to 54,Male,,24.2
2010,Wales,,50 to 54,Male,,20.6
2011,Wales,,50 to 54,Male,,29.2
2012,Wales,,50 to 54,Male,,17.7
2013,Wales,,50 to 54,Male,,25.1
2014,Wales,,50 to 54,Male,,15.1
2015,Wales,,50 to 54,Male,,26.9
2016,Wales,,50 to 54,Male,,19.4
2000,Wales,,55 to 59,Male,,22.2
2001,Wales,,55 to 59,Male,,14.7
2002,Wales,,55 to 59,Male,,19
2003,Wales,,55 to 59,Male,,20.2
2004,Wales,,55 to 59,Male,,21.7
2005,Wales,,55 to 59,Male,,18.5
2006,Wales,,55 to 59,Male,,21.4
2007,Wales,,55 to 59,Male,,19.3
2008,Wales,,55 to 59,Male,,10.5
2009,Wales,,55 to 59,Male,,6.4
2010,Wales,,55 to 59,Male,,22.8
2011,Wales,,55 to 59,Male,,21.8
2012,Wales,,55 to 59,Male,,18.4
2013,Wales,,55 to 59,Male,,33.3
2014,Wales,,55 to 59,Male,,22.3
2015,Wales,,55 to 59,Male,,28
2016,Wales,,55 to 59,Male,,25.2
2000,Wales,,60 to 64,Male,,20
2001,Wales,,60 to 64,Male,,15.9
2002,Wales,,60 to 64,Male,,18.2
2003,Wales,,60 to 64,Male,,16.4
2004,Wales,,60 to 64,Male,,15.9
2005,Wales,,60 to 64,Male,,13.1
2006,Wales,,60 to 64,Male,,14.9
2007,Wales,,60 to 64,Male,,12.9
2008,Wales,,60 to 64,Male,,14.4
2009,Wales,,60 to 64,Male,,8.1
2010,Wales,,60 to 64,Male,,13
2011,Wales,,60 to 64,Male,,19.9
2012,Wales,,60 to 64,Male,,19.8
2013,Wales,,60 to 64,Male,,24.7
2014,Wales,,60 to 64,Male,,12
2015,Wales,,60 to 64,Male,,16.6
2016,Wales,,60 to 64,Male,,18.9
2000,Wales,,65 to 69,Male,,10.6
2001,Wales,,65 to 69,Male,,18
2002,Wales,,65 to 69,Male,,8.9
2003,Wales,,65 to 69,Male,,10.1
2004,Wales,,65 to 69,Male,,18.5
2005,Wales,,65 to 69,Male,,9.8
2006,Wales,,65 to 69,Male,,18.2
2007,Wales,,65 to 69,Male,,13.7
2008,Wales,,65 to 69,Male,,6.7
2009,Wales,,65 to 69,Male,,14.2
2010,Wales,,65 to 69,Male,,7.5
2011,Wales,,65 to 69,Male,,9.7
2012,Wales,,65 to 69,Male,,14.7
2013,Wales,,65 to 69,Male,,8.6
2014,Wales,,65 to 69,Male,,7.4
2015,Wales,,65 to 69,Male,,15.7
2016,Wales,,65 to 69,Male,,19.7
2000,Wales,,70 to 74,Male,,15.7
2001,Wales,,70 to 74,Male,,12.2
2002,Wales,,70 to 74,Male,,8.7
2003,Wales,,70 to 74,Male,,15.6
2004,Wales,,70 to 74,Male,,15.5
2005,Wales,,70 to 74,Male,,8.5
2006,Wales,,70 to 74,Male,,13.5
2007,Wales,,70 to 74,Male,,14.9
2008,Wales,,70 to 74,Male,,11.3
2009,Wales,,70 to 74,Male,,9.5
2010,Wales,,70 to 74,Male,,7.8
2011,Wales,,70 to 74,Male,,15.5
2012,Wales,,70 to 74,Male,,12.2
2013,Wales,,70 to 74,Male,,22.2
2014,Wales,,70 to 74,Male,,18.6
2015,Wales,,70 to 74,Male,,12.4
2016,Wales,,70 to 74,Male,,16.1
2000,Wales,,75 to 79,Male,,17.4
2001,Wales,,75 to 79,Male,,15.2
2002,Wales,,75 to 79,Male,,8.8
2003,Wales,,75 to 79,Male,,8.9
2004,Wales,,75 to 79,Male,,22.2
2005,Wales,,75 to 79,Male,,11
2006,Wales,,75 to 79,Male,,17.5
2007,Wales,,75 to 79,Male,,17.3
2008,Wales,,75 to 79,Male,,8.5
2009,Wales,,75 to 79,Male,,10.5
2010,Wales,,75 to 79,Male,,12.3
2011,Wales,,75 to 79,Male,,8.1
2012,Wales,,75 to 79,Male,,17.8
2013,Wales,,75 to 79,Male,,13.5
2014,Wales,,75 to 79,Male,,7.5
2015,Wales,,75 to 79,Male,,14.9
2016,Wales,,75 to 79,Male,,5.6
2000,Wales,,80 to 84,Male,,16.3
2002,Wales,,80 to 84,Male,,17.6
2003,Wales,,80 to 84,Male,,13.3
2004,Wales,,80 to 84,Male,,16.3
2005,Wales,,80 to 84,Male,,16.3
2006,Wales,,80 to 84,Male,,12.8
2007,Wales,,80 to 84,Male,,16
2008,Wales,,80 to 84,Male,,15.9
2009,Wales,,80 to 84,Male,,9.5
2010,Wales,,80 to 84,Male,,27.7
2011,Wales,,80 to 84,Male,,21.2
2012,Wales,,80 to 84,Male,,14.8
2013,Wales,,80 to 84,Male,,32
2014,Wales,,80 to 84,Male,,17
2015,Wales,,80 to 84,Male,,22.1
2016,Wales,,80 to 84,Male,,21.5
2001,Wales,,85 to 89,Male,,43
2004,Wales,,85 to 89,Male,,25
2007,Wales,,85 to 89,Male,,19.4
2009,Wales,,85 to 89,Male,,36
2010,Wales,,85 to 89,Male,,29.5
2012,Wales,,85 to 89,Male,,27.9
2014,Wales,,85 to 89,Male,,21.4
2015,Wales,,85 to 89,Male,,15.7
2007,Wales,,90 and over,Male,,56.3
2012,Wales,,90 and over,Male,,41.8
2013,Wales,,90 and over,Male,,40.1
2015,Wales,,90 and over,Male,,60.4
2016,Wales,,90 and over,Male,,34.3
2000,Wales,,15 to 19,Female,,6.5
2003,Wales,,15 to 19,Female,,3.2
2004,Wales,,15 to 19,Female,,3.1
2008,Wales,,15 to 19,Female,,6.1
2011,Wales,,15 to 19,Female,,3.1
2015,Wales,,15 to 19,Female,,3.3
2016,Wales,,15 to 19,Female,,3.4
2000,Wales,,20 to 24,Female,,6
2001,Wales,,20 to 24,Female,,7
2002,Wales,,20 to 24,Female,,9
2003,Wales,,20 to 24,Female,,13.3
2006,Wales,,20 to 24,Female,,4.2
2008,Wales,,20 to 24,Female,,6
2009,Wales,,20 to 24,Female,,3
2011,Wales,,20 to 24,Female,,5.8
2012,Wales,,20 to 24,Female,,4.7
2013,Wales,,20 to 24,Female,,4.7
2015,Wales,,20 to 24,Female,,6.8
2016,Wales,,20 to 24,Female,,12.8
2001,Wales,,25 to 29,Female,,8.3
2002,Wales,,25 to 29,Female,,8.6
2003,Wales,,25 to 29,Female,,6.4
2004,Wales,,25 to 29,Female,,5
2006,Wales,,25 to 29,Female,,4.7
2008,Wales,,25 to 29,Female,,6.6
2010,Wales,,25 to 29,Female,,3.3
2011,Wales,,25 to 29,Female,,6.5
2013,Wales,,25 to 29,Female,,5.4
2014,Wales,,25 to 29,Female,,5.3
2015,Wales,,25 to 29,Female,,6.3
2000,Wales,,30 to 34,Female,,8.7
2001,Wales,,30 to 34,Female,,2.9
2003,Wales,,30 to 34,Female,,7
2004,Wales,,30 to 34,Female,,5.2
2005,Wales,,30 to 34,Female,,10.8
2006,Wales,,30 to 34,Female,,5.6
2007,Wales,,30 to 34,Female,,11.7
2008,Wales,,30 to 34,Female,,4.8
2009,Wales,,30 to 34,Female,,4.8
2011,Wales,,30 to 34,Female,,6.9
2012,Wales,,30 to 34,Female,,10.1
2013,Wales,,30 to 34,Female,,8.8
2014,Wales,,30 to 34,Female,,6.6
2015,Wales,,30 to 34,Female,,4.4
2016,Wales,,30 to 34,Female,,4.4
2000,Wales,,35 to 39,Female,,5.6
2002,Wales,,35 to 39,Female,,8.2
2003,Wales,,35 to 39,Female,,4.6
2004,Wales,,35 to 39,Female,,6.4
2005,Wales,,35 to 39,Female,,2.8
2006,Wales,,35 to 39,Female,,8.4
2007,Wales,,35 to 39,Female,,2.8
2008,Wales,,35 to 39,Female,,7.7
2009,Wales,,35 to 39,Female,,7
2010,Wales,,35 to 39,Female,,4.2
2011,Wales,,35 to 39,Female,,8.8
2012,Wales,,35 to 39,Female,,4.6
2013,Wales,,35 to 39,Female,,5.9
2015,Wales,,35 to 39,Female,,7
2016,Wales,,35 to 39,Female,,3.4
2000,Wales,,40 to 44,Female,,4.1
2001,Wales,,40 to 44,Female,,7
2002,Wales,,40 to 44,Female,,6.8
2003,Wales,,40 to 44,Female,,4.7
2004,Wales,,40 to 44,Female,,8.3
2005,Wales,,40 to 44,Female,,4.5
2006,Wales,,40 to 44,Female,,9
2007,Wales,,40 to 44,Female,,2.7
2009,Wales,,40 to 44,Female,,8.1
2010,Wales,,40 to 44,Female,,5.5
2011,Wales,,40 to 44,Female,,5.5
2012,Wales,,40 to 44,Female,,4.7
2013,Wales,,40 to 44,Female,,7.7
2014,Wales,,40 to 44,Female,,5
2015,Wales,,40 to 44,Female,,7.2
2016,Wales,,40 to 44,Female,,3.3
2000,Wales,,45 to 49,Female,,11.7
2002,Wales,,45 to 49,Female,,9.5
2003,Wales,,45 to 49,Female,,11.4
2004,Wales,,45 to 49,Female,,8.2
2005,Wales,,45 to 49,Female,,4
2006,Wales,,45 to 49,Female,,6.8
2007,Wales,,45 to 49,Female,,4.8
2008,Wales,,45 to 49,Female,,7.5
2009,Wales,,45 to 49,Female,,5.5
2010,Wales,,45 to 49,Female,,5.4
2011,Wales,,45 to 49,Female,,4.5
2012,Wales,,45 to 49,Female,,8
2013,Wales,,45 to 49,Female,,7.1
2015,Wales,,45 to 49,Female,,5.5
2000,Wales,,50 to 54,Female,,5.8
2001,Wales,,50 to 54,Female,,6.7
2002,Wales,,50 to 54,Female,,4.9
2003,Wales,,50 to 54,Female,,7.1
2004,Wales,,50 to 54,Female,,10.3
2005,Wales,,50 to 54,Female,,8.4
2006,Wales,,50 to 54,Female,,8.4
2007,Wales,,50 to 54,Female,,3.1
2008,Wales,,50 to 54,Female,,9.3
2009,Wales,,50 to 54,Female,,3.1
2010,Wales,,50 to 54,Female,,8
2011,Wales,,50 to 54,Female,,5.8
2012,Wales,,50 to 54,Female,,6.6
2013,Wales,,50 to 54,Female,,7.5
2014,Wales,,50 to 54,Female,,6.4
2015,Wales,,50 to 54,Female,,8.9
2016,Wales,,50 to 54,Female,,8.8
2000,Wales,,55 to 59,Female,,3.4
2001,Wales,,55 to 59,Female,,7.7
2002,Wales,,55 to 59,Female,,3.1
2003,Wales,,55 to 59,Female,,6.9
2005,Wales,,55 to 59,Female,,5.7
2006,Wales,,55 to 59,Female,,7.6
2007,Wales,,55 to 59,Female,,5.9
2008,Wales,,55 to 59,Female,,7.1
2010,Wales,,55 to 59,Female,,7.3
2011,Wales,,55 to 59,Female,,7.3
2012,Wales,,55 to 59,Female,,8.3
2013,Wales,,55 to 59,Female,,7.2
2014,Wales,,55 to 59,Female,,5.1
2015,Wales,,55 to 59,Female,,6
2016,Wales,,55 to 59,Female,,10.6
2001,Wales,,60 to 64,Female,,6.4
2003,Wales,,60 to 64,Female,,7.3
2004,Wales,,60 to 64,Female,,3.5
2005,Wales,,60 to 64,Female,,3.4
2006,Wales,,60 to 64,Female,,8.9
2007,Wales,,60 to 64,Female,,4.2
2009,Wales,,60 to 64,Female,,5.9
2010,Wales,,60 to 64,Female,,3.9
2011,Wales,,60 to 64,Female,,6.7
2012,Wales,,60 to 64,Female,,9.1
2013,Wales,,60 to 64,Female,,3.1
2014,Wales,,60 to 64,Female,,3.1
2015,Wales,,60 to 64,Female,,8.5
2016,Wales,,60 to 64,Female,,3.2
2000,Wales,,65 to 69,Female,,4.1
2001,Wales,,65 to 69,Female,,5.5
2002,Wales,,65 to 69,Female,,6.9
2004,Wales,,65 to 69,Female,,6.7
2005,Wales,,65 to 69,Female,,4
2006,Wales,,65 to 69,Female,,5.3
2007,Wales,,65 to 69,Female,,6.5
2008,Wales,,65 to 69,Female,,5.1
2009,Wales,,65 to 69,Female,,3.7
2010,Wales,,65 to 69,Female,,4.8
2012,Wales,,65 to 69,Female,,5.4
2013,Wales,,65 to 69,Female,,10.4
2014,Wales,,65 to 69,Female,,6.1
2016,Wales,,65 to 69,Female,,4
2000,Wales,,70 to 74,Female,,8.6
2001,Wales,,70 to 74,Female,,4.4
2003,Wales,,70 to 74,Female,,5.9
2004,Wales,,70 to 74,Female,,7.4
2006,Wales,,70 to 74,Female,,5.9
2007,Wales,,70 to 74,Female,,5.9
2009,Wales,,70 to 74,Female,,8.7
2010,Wales,,70 to 74,Female,,7.2
2013,Wales,,70 to 74,Female,,4.1
2015,Wales,,70 to 74,Female,,6.4
2001,Wales,,75 to 79,Female,,6.3
2002,Wales,,75 to 79,Female,,6.4
2004,Wales,,75 to 79,Female,,10
2005,Wales,,75 to 79,Female,,5.1
2007,Wales,,75 to 79,Female,,6.9
2008,Wales,,75 to 79,Female,,6.8
2009,Wales,,75 to 79,Female,,5.1
2010,Wales,,75 to 79,Female,,5.1
2012,Wales,,75 to 79,Female,,8.4
2015,Wales,,75 to 79,Female,,4.9
2002,Wales,,80 to 84,Female,,10.2
2003,Wales,,80 to 84,Female,,5.9
2007,Wales,,80 to 84,Female,,6.3
2009,Wales,,80 to 84,Female,,6.4
2010,Wales,,80 to 84,Female,,8.6
2011,Wales,,80 to 84,Female,,15.1
2002,Wales,,85 to 89,Female,,22.1
2010,Wales,,85 to 89,Female,,12.3
2014,Wales,,85 to 89,Female,,9.6
2015,,,,Male,Drowning,3.9
2016,,,,Male,Drowning,4.2
2015,,,,Male,Fall and fracture,4
2016,,,,Male,Fall and fracture,4.1
2015,,,,Male,Poisoning,18.1
2016,,,,Male,Poisoning,17.2
2015,,,,Male,Hanging,57.7
2016,,,,Male,Hanging,59.3
2015,,,,Male,Other,16.4
2016,,,,Male,Other,15.2
2015,,,,Female,Drowning,5.7
2016,,,,Female,Drowning,5
2015,,,,Female,Fall and fracture,4
2016,,,,Female,Fall and fracture,5.5
2015,,,,Female,Poisoning,34.7
2016,,,,Female,Poisoning,35.4
2015,,,,Female,Hanging,43.4
2016,,,,Female,Hanging,43.2
2015,,,,Female,Other,12.2
2016,,,,Female,Other,10.9
