Year,Sex,Value
2000,Male,288.7
2001,Male,300
2002,Male,335.9
2003,Male,342.5
2004,Male,350.4
2005,Male,356.6
2006,Male,370.8
2007,Male,410.7
2008,Male,438
2009,Male,459.8
2010,Male,409.5
2011,Male,411.8
2012,Male,403
2013,Male,443.1
2014,Male,424.2
2015,Male,432.2
2016,Male,446.7
2000,Female,178.2
2001,Female,179.9
2002,Female,195.6
2003,Female,203.1
2004,Female,217.2
2005,Female,218.3
2006,Female,222.3
2007,Female,223.6
2008,Female,229.5
2009,Female,272.5
2010,Female,255.5
2011,Female,231.6
2012,Female,256.6
2013,Female,264.8
2014,Female,270.6
2015,Female,280.1
2016,Female,290.1
2000,,259.6
2001,,269.6
2002,,297.7
2003,,306.2
2004,,316.4
2005,,318.5
2006,,325.6
2007,,362.1
2008,,373.5
2009,,406.8
2010,,361.8
2011,,359.9
2012,,355.5
2013,,384.8
2014,,373.2
2015,,380.2
2016,,391.6
