year,national_climate_curricula
2007,not_applicable
2008,not_applicable
2009,not_applicable
2010,not_applicable
2011,not_applicable
2012,not_applicable
2013,not_applicable
2014,not_applicable
2015,not_applicable
2016,not_applicable
2017,not_applicable
