Year,Size of particulate matter,City,GeoCode,Value
2008,PM 10,Aberdeen,UK016C1,16.8705
2008,PM 10,Belfast,UK012C2,18.325
2008,PM 10,Birmingham,UK002C1,15.627
2008,PM 10,Blackpool,UK553C1,17.247
2008,PM 10,Bournemouth,UK539C1,20.675
2008,PM 10,Bristol,UK011C1,20.503
2008,PM 10,Cardiff,UK009C1,19.962
2008,PM 10,Coventry,UK025C1,17.77180874
2008,PM 10,Derry,UK586C1,23.248
2008,PM 10,Edinburgh,UK007C1,15.269
2008,PM 10,Glasgow,UK004C1,24.453
2008,PM 10,Kingston upon Hull,UK026C1,17.349
2008,PM 10,Leeds,UK003C1,22.603
2008,PM 10,Leicester,UK014C1,16.992
2008,PM 10,Liverpool,UK006C1,15.852
2008,PM 10,London,UK101C1,28.66916667
2008,PM 10,Manchester,UK008C1,19.861
2008,PM 10,Newcastle upon Tyne,UK013C1,17.264
2008,PM 10,Nottingham,UK029C1,17.94
2008,PM 10,Portsmouth,UK023C1,23.99396615
2008,PM 10,Preston,UK562C1,18.729
2008,PM 10,Sheffield,UK010C1,22.353
2008,PM 10,Southampton,UK520C1,20.548
2008,PM 10,Southend on Sea,UK541C1,19.9
2008,PM 10,Stoke-On-Trent,UK027C1,18.828
2008,PM 10,Swansea,UK517C1,17.489
2008,PM 10,Wirral,UK030C1,13.908
2008,PM 10,York,UK533C1,21.1325
2008,PM 10,,,23.42292083
2011,PM 10,Aberdeen,UK016C1,13.748
2011,PM 10,Birmingham,UK002C1,23.02
2011,PM 10,Bristol,UK011C1,20.426
2011,PM 10,Chesterfield,UK047C1,21.8469999999999
2011,PM 10,Derry,UK586C1,18.511
2011,PM 10,Edinburgh,UK007C1,15.378
2011,PM 10,Glasgow,UK004C1,16.526
2011,PM 10,Kingston upon Hull,UK026C1,17.342
2011,PM 10,Leeds,UK003C1,20.678
2011,PM 10,Leicester,UK014C1,17.455
2011,PM 10,Liverpool,UK006C1,16.23
2011,PM 10,London,UK101C1,21.80933333
2011,PM 10,Newcastle upon Tyne,UK013C1,19.616
2011,PM 10,Newport,UK558C1,17.676
2011,PM 2.5,Newport,UK558C1,12.48936068
2011,PM 2.5,Northampton,UK528C1,9.966
2011,PM 10,Norwich,UK566C1,19.834
2011,PM 2.5,Norwich,UK566C1,14.1409999999999
2011,PM 10,Nottingham,UK029C1,24.765
2011,PM 2.5,Nottingham,UK029C1,13.196
2011,PM 2.5,Nottingham,UK029C1,13.196
2011,PM 10,Oxford,UK560C1,17.167
2011,PM 2.5,Oxford,UK560C1,11.674
2011,PM 10,Plymouth,UK516C1,20.319
2011,PM 2.5,Plymouth,UK516C1,10.579
2011,PM 2.5,Plymouth,UK516C1,10.579
2011,PM 2.5,Portsmouth,UK023C1,15.857
2011,PM 2.5,Preston,UK562C1,11.387
2011,PM 10,Reading,UK552C1,19.153
2011,PM 2.5,Reading,UK552C1,13.749
2011,PM 10,Sheffield,UK010C1,22.698
2011,PM 2.5,Sheffield,UK010C1,17.3529999999999
2011,PM 10,Southampton,UK520C1,20.969
2011,PM 2.5,Southampton,UK520C1,15.934
2011,PM 2.5,Southampton,UK520C1,15.934
2011,PM 10,Stoke-On-Trent,UK027C1,22.2269999999999
2011,PM 2.5,Stoke-On-Trent,UK027C1,16.302
2011,PM 2.5,Sunderland,UK510C1,14.947
2011,PM 10,Thurrock,UK032C1,24.8519999999999
2011,PM 2.5,Thurrock,UK032C1,17.55971892
2011,PM 10,Warrington,UK531C1,18.588
2011,PM 2.5,Warrington,UK531C1,12.772
2011,PM 10,Warwick,UK564C1,20.389
2011,PM 2.5,Warwick,UK564C1,14.40628959
2011,PM 2.5,Warwick,UK564C1,14.40628959
2011,PM 2.5,Wirral,UK030C1,10.093
2011,PM 10,York,UK533C1,18.046
2011,PM 2.5,York,UK533C1,12.75079219
2011,PM 10,,,20.76593781
2013,PM 10,Aberdeen,UK016C1,13.48377509
2013,PM 2.5,Aberdeen,UK016C1,8.59032169
2013,PM 10,Armagh,,19.0223524
2013,PM 2.5,Armagh,,13.5264163999999
2013,PM 10,Belfast,UK012C2,17.65008496
2013,PM 2.5,Belfast,UK012C2,11.5633860999999
2013,PM 2.5,Belfast,UK012C2,11.5633860999999
2013,PM10,Biandrate,,18.0
2013,PM2.5,Biandrate,,13.0
2013,PM 10,Birkenhead,,15.12115842
2013,PM 2.5,Birkenhead,,10.75235496
2013,PM 10,Birmingham,UK002C1,18.54028182
2013,PM 2.5,Birmingham,UK002C1,14.26939717
2013,PM 10,Bournemouth,UK539C1,12.92186779
2013,PM 2.5,Bournemouth,UK539C1,9.18848314
2013,PM 10,Brighton,UK515C1,15.72547551
2013,PM 2.5,Brighton,UK515C1,11.18207282
2013,PM 2.5,Brighton,UK515C1,11.18207282
2013,PM 10,Bristol,UK011C1,17.70076199
2013,PM 2.5,Bristol,UK011C1,12.80943467
2013,PM10,Bristol,UK011C1,19.0
2013,PM2.5,Bristol,UK011C1,13.0
2013,PM 10,Cardiff,UK009C1,18.94905122
2013,PM 2.5,Cardiff,UK009C1,13.51017808
2013,PM 10,Carlisle,UK575C1,16.44821375
2013,PM 2.5,Carlisle,UK575C1,11.69599761
2013,PM 2.5,Carlisle,UK575C1,11.69599761
2013,PM 10,Chepstow,,19.3924669
2013,PM 2.5,Chepstow,,14.14664472
2013,PM 2.5,Chepstow,,14.14664472
2013,PM 10,Chesterfield,UK047C1,16.61655092
2013,PM 2.5,Chesterfield,UK047C1,10.21236298
2013,PM 2.5,Chesterfield,UK047C1,10.21236298
2013,PM 10,Eastbourne,UK055C1,21.4814948
2013,PM 2.5,Eastbourne,UK055C1,15.27506364
2013,PM 2.5,Eastbourne,UK055C1,15.27506364
2013,PM 10,Edinburgh,UK007C1,13.53648125
2013,PM 2.5,Edinburgh,UK007C1,7.51643883
2013,PM 2.5,Edinburgh,UK007C1,7.51643883
2013,PM 10,Gibraltar,,31.13807947
2013,PM 2.5,Gibraltar,,14.22181818
2013,PM 2.5,Gibraltar,,14.22181818
2013,PM 10,Glasgow,UK004C1,22.93713748
2013,PM 2.5,Glasgow,UK004C1,16.03820498
2013,PM 2.5,Glasgow,UK004C1,16.03820498
2013,PM 2.5,Grangemouth,,9.16582496
2013,PM 2.5,Grangemouth,,9.16582496
2013,PM 2.5,Inverness,,6.06134453
2013,PM 2.5,Inverness,,6.06134453
2013,PM 2.5,Kingston upon Hull,UK026C1,12.35895879
2013,PM 2.5,Kingston upon Hull,UK026C1,12.35895879
2013,PM 2.5,Leamington Spa,,12.98562446
2013,PM 2.5,Leamington Spa,,12.98562446
2013,PM10,Leamington Spa,,18.0
2013,PM2.5,Leamington Spa,,13.0
2013,PM 2.5,Leeds,UK003C1,15.30161227
2013,PM 2.5,Leeds,UK003C1,15.30161227
2013,PM 2.5,Liverpool,UK006C1,11.62283464
2013,PM 2.5,Liverpool,UK006C1,11.62283464
2013,PM10,Liverpool,UK006C1,14.0
2013,PM2.5,Liverpool,UK006C1,12.0
2013,PM 2.5,London,UK101C1,15.02996603
2013,PM 2.5,London,UK101C1,15.02996603
2013,PM 2.5,Londonderry,,11.48932256
2013,PM 2.5,Londonderry,,11.48932256
2013,PM 2.5,Manchester,UK008C1,12.50100951
2013,PM 2.5,Manchester,UK008C1,12.50100951
2013,PM 2.5,Middlesbrough,UK559C1,10.95825117
2013,PM 2.5,Middlesbrough,UK559C1,10.95825117
2013,PM 2.5,Newcastle upon Tyne,UK013C1,10.38335285
2013,PM 2.5,Newcastle upon Tyne,UK013C1,10.38335285
2013,PM10,Newcastle Upon Tyne,UK013C1,15.0
2013,PM2.5,Newcastle Upon Tyne,UK013C1,10.0
2013,PM 2.5,Newport,UK558C1,12.95290288
2013,PM 2.5,Newport,UK558C1,12.95290288
2013,PM 2.5,Norwich,UK566C1,13.23369116
2013,PM 2.5,Norwich,UK566C1,13.23369116
2013,PM 2.5,Nottingham,UK029C1,12.23489619
2013,PM 2.5,Nottingham,UK029C1,12.23489619
2013,PM 10,Oxford,UK560C1,20.72740633
2013,PM 2.5,Oxford,UK560C1,13.74342057
2013,PM 2.5,Oxford,UK560C1,13.74342057
2013,PM 2.5,Plymouth,UK516C1,12.00674284
2013,PM 2.5,Plymouth,UK516C1,12.00674284
2013,PM10,Plymouth,UK516C1,17.0
2013,PM2.5,Plymouth,UK516C1,12.0
2013,PM 2.5,Port Talbot,,14.33547224
2013,PM 2.5,Port Talbot,,14.33547224
2013,PM 2.5,Portsmouth,UK023C1,13.93646073
2013,PM 2.5,Portsmouth,UK023C1,13.93646073
2013,PM 2.5,Prestonpans,,11.62583712
2013,PM 2.5,Prestonpans,,11.62583712
2013,PM 10,Reading,UK552C1,15.51868567
2013,PM 2.5,Reading,UK552C1,9.91568677
2013,PM 2.5,Reading,UK552C1,9.91568677
2013,PM 2.5,Salford,UK522C1,15.03087209
2013,PM 2.5,Salford,UK522C1,15.03087209
2013,PM10,Salford,UK522C1,19.0
2013,PM2.5,Salford,UK522C1,15.0
2013,PM 2.5,Saltash,,10.70521349
2013,PM 2.5,Saltash,,10.70521349
2013,PM 2.5,Scunthorpe,,15.79164875
2013,PM 2.5,Scunthorpe,,15.79164875
2013,PM 2.5,Southampton,UK520C1,15.01057159
2013,PM 2.5,Southampton,UK520C1,15.01057159
2013,PM10,Southend - On - Sea,,15.0
2013,PM2.5,Southend - On - Sea,,11.0
2013,PM 10,Southend on Sea,UK541C1,14.95855102
2013,PM 2.5,Southend on Sea,UK541C1,10.63672807
2013,PM 2.5,Southend on Sea,UK541C1,10.63672807
2013,PM 2.5,Stanford-le-Hope,,14.23764412
2013,PM 2.5,Stanford-le-Hope,,14.23764412
2013,PM 2.5,Stockton-On-Tees,UK536C1,10.04857825
2013,PM 2.5,Stockton-On-Tees,UK536C1,10.04857825
2013,PM10,Stoke-On-Trent,UK027C1,20.0
2013,PM2.5,Stoke-On-Trent,UK027C1,14.0
2013,PM 2.5,Stoke-On-Trent,UK027C1,13.78392794
2013,PM 2.5,Stoke-On-Trent,UK027C1,13.78392794
2013,PM 10,Sunderland,UK510C1,12.76410878
2013,PM 2.5,Sunderland,UK510C1,9.07630385
2013,PM 2.5,Sunderland,UK510C1,9.07630385
2013,PM 2.5,Swansea,UK517C1,11.92969335
2013,PM 2.5,Swansea,UK517C1,11.92969335
2013,PM 2.5,Thurrock,UK032C1,13.62201607
2013,PM 2.5,Thurrock,UK032C1,13.62201607
2013,PM 10,Warrington,UK531C1,17.5294803999999
2013,PM 2.5,Warrington,UK531C1,13.60900228
2013,PM 2.5,Warrington,UK531C1,13.60900228
