Year,Type of death,Service,Sex,Age,Value
2012,Homicide,,Female,5 to 15,2.592613931
2012,Homicide,,,5 to 15,3.233243365
2012,Homicide,,Male,16 to 24,20.11536755
2012,Homicide,,Female,16 to 24,5.834484876
2012,Homicide,,,16 to 24,13.10833208
2012,Homicide,,Male,25 to 34,18.12831696
2012,Homicide,,Female,25 to 34,7.321409894
2012,Homicide,,,25 to 34,12.71197547
2012,Homicide,,Male,35 to 44,20.01896534
2012,Homicide,,Female,35 to 44,5.971854391
2012,Homicide,,,35 to 44,12.94489919
2012,Homicide,,Male,45 to 54,16.93306309
2012,Homicide,,Female,45 to 54,5.534451963
2012,Homicide,,,45 to 54,11.17772584
2012,Homicide,,Male,55 to 64,8.190266184
2012,Homicide,,Female,55 to 64,5.189413596
2012,Homicide,,,55 to 64,6.666253256
2012,Homicide,,Male,65 to 74,8.449004225
2012,Homicide,,Female,65 to 74,3.735245779
2012,Homicide,,,65 to 74,6.004609991
2012,Homicide,,Male,75 and over,6.006333952
2012,Homicide,,Female,75 and over,7.551729346
2012,Homicide,,,75 and over,6.919951784
2012,Homicide,,Male,,13.46813439
2012,Homicide,,Female,,5.848665773
2012,Homicide,,,,9.59906661
2013,Homicide,,Male,Under 1,21.92033056
2013,Homicide,,Female,Under 1,23.12345904
2013,Homicide,,,Under 1,22.5058269
2013,Homicide,,Male,1 to 4,4.066272103
2013,Homicide,,Female,1 to 4,7.821237789
2013,Homicide,,,1 to 4,5.898722406
2013,Homicide,,Male,5 to 15,1.633970464
2013,Homicide,,Female,5 to 15,1.428792279
2013,Homicide,,,5 to 15,1.53385012
2013,Homicide,,Male,16 to 24,21.67102611
2013,Homicide,,Female,16 to 24,7.424267828
2013,Homicide,,,16 to 24,14.69430914
2013,Homicide,,Male,25 to 34,17.10428143
2013,Homicide,,Female,25 to 34,7.218336637
2013,Homicide,,,25 to 34,12.1483238
2013,Homicide,,Male,35 to 44,18.17175084
2013,Homicide,,Female,35 to 44,6.070164771
2013,Homicide,,,35 to 44,12.08323463
2013,Homicide,,Male,45 to 54,14.45357499
2013,Homicide,,Female,45 to 54,5.955100035
2013,Homicide,,,45 to 54,10.15824285
2013,Homicide,,Male,55 to 64,9.475825747
2013,Homicide,,Female,55 to 64,5.507514391
2013,Homicide,,,55 to 64,7.460119831
2013,Homicide,,Male,65 to 74,4.653731362
2013,Homicide,,Female,65 to 74,6.127252216
2013,Homicide,,,65 to 74,5.41745609
2013,Homicide,,Male,75 and over,6.918014083
2013,Homicide,,Female,75 and over,8.602662112
2013,Homicide,,,75 and over,7.907320927
2013,Homicide,,Male,,12.08590792
2013,Homicide,,Female,,6.263185346
2013,Homicide,,,,9.13110046
2014,Homicide,,Male,Under 1,44.73722473
2014,Homicide,,Female,Under 1,29.39715259
2014,Homicide,,,Under 1,38.69231442
2014,Homicide,,Male,1 to 4,4.694284708
2014,Homicide,,Female,1 to 4,4.226411692
2014,Homicide,,,1 to 4,4.466096999
2014,Homicide,,Male,5 to 15,2.424810663
2014,Homicide,,Female,5 to 15,1.978443445
2014,Homicide,,,5 to 15,2.206968088
2014,Homicide,,Male,16 to 24,20.50220295
2014,Homicide,,Female,16 to 24,5.909845616
2014,Homicide,,,16 to 24,13.3729131
2014,Homicide,,Male,25 to 34,13.8677591
2014,Homicide,,Female,25 to 34,5.632591197
2014,Homicide,,,25 to 34,9.743884559
2014,Homicide,,Male,35 to 44,15.35266278
2014,Homicide,,Female,35 to 44,8.78828229
2014,Homicide,,,35 to 44,12.05188578
2014,Homicide,,Male,45 to 54,13.29145938
2014,Homicide,,Female,45 to 54,8.085066661
2014,Homicide,,,45 to 54,10.65791297
2014,Homicide,,Male,55 to 64,8.468675311
2014,Homicide,,Female,55 to 64,5.770657664
2014,Homicide,,,55 to 64,7.097955958
2014,Homicide,,Male,65 to 74,7.920018374
2014,Homicide,,Female,65 to 74,3.158103061
2014,Homicide,,,65 to 74,5.453235686
2014,Homicide,,Male,75 and over,7.236327605
2014,Homicide,,Female,75 and over,10.30756675
2014,Homicide,,,75 and over,9.030055896
2014,Homicide,,Male,,11.55701189
2014,Homicide,,Female,,6.388647607
2014,Homicide,,,,8.953353966
2015,Homicide,,Male,Under 1,19.58693943
2015,Homicide,,Female,Under 1,23.58921737
2015,Homicide,,,Under 1,21.53566522
2015,Homicide,,Male,1 to 4,2.679016935
2015,Homicide,,Female,1 to 4,3.518653791
2015,Homicide,,,1 to 4,3.088450123
2015,Homicide,,Male,5 to 15,1.860157603
2015,Homicide,,Female,5 to 15,1.951666151
2015,Homicide,,,5 to 15,1.904813477
2015,Homicide,,Male,16 to 24,21.14751164
2015,Homicide,,Female,16 to 24,4.998289648
2015,Homicide,,,16 to 24,13.26530114
2015,Homicide,,Male,25 to 34,19.56652275
2015,Homicide,,Female,25 to 34,7.128812291
2015,Homicide,,,25 to 34,13.35365463
2015,Homicide,,Male,35 to 44,19.92706694
2015,Homicide,,Female,35 to 44,7.990652003
2015,Homicide,,,35 to 44,13.92621703
2015,Homicide,,Male,45 to 54,17.42391846
2015,Homicide,,Female,45 to 54,8.987890639
2015,Homicide,,,45 to 54,13.15447186
2015,Homicide,,Male,55 to 64,10.83255958
2015,Homicide,,Female,55 to 64,4.798838681
2015,Homicide,,,55 to 64,7.768303494
2015,Homicide,,Male,65 to 74,9.579359281
2015,Homicide,,Female,65 to 74,3.084639421
2015,Homicide,,,65 to 74,6.214651948
2015,Homicide,,Male,75 and over,12.16779388
2015,Homicide,,Female,75 and over,6.954426181
2015,Homicide,,,75 and over,9.140198529
2015,Homicide,,Male,,13.83302807
2015,Homicide,,Female,,5.966471973
2015,Homicide,,,,9.864315903
2007,Armed forces,,,,3.326859005
2008,Armed forces,,,,2.215975078
2009,Armed forces,,,,3.29261731
2010,Armed forces,,,,2.979628582
2011,Armed forces,,,,2.085799027
2012,Armed forces,,,,2.040656149
2013,Armed forces,,,,1.341534372
2014,Armed forces,,,,1.052683724
2015,Armed forces,,,,0.921517432
2016,Armed forces,,,,1.096756799
2007,Armed forces,Naval Service,,,0.440319574
2008,Armed forces,Naval Service,,,0.647000023
2009,Armed forces,Naval Service,,,0.369415601
2010,Armed forces,Naval Service,,,0.478015281
2011,Armed forces,Naval Service,,,0.300228648
2012,Armed forces,Naval Service,,,0.3139471
2013,Armed forces,Naval Service,,,0.20279008
2014,Armed forces,Naval Service,,,0.185767716
2015,Armed forces,Naval Service,,,0.168944863
2016,Armed forces,Naval Service,,,0.258956466
2007,Armed forces,Army,,,2.364679195
2008,Armed forces,Army,,,1.277825045
2009,Armed forces,Army,,,2.537724561
2010,Armed forces,Army,,,2.167002605
2011,Armed forces,Army,,,1.548547762
2012,Armed forces,Army,,,1.491248725
2013,Armed forces,Army,,,0.982751924
2014,Armed forces,Army,,,0.61922572
2015,Armed forces,Army,,,0.598986331
2016,Armed forces,Army,,,0.624542066
2007,Armed forces,Royal Air Force,,,0.521860236
2008,Armed forces,Royal Air Force,,,0.29115001
2009,Armed forces,Royal Air Force,,,0.385477148
2010,Armed forces,Royal Air Force,,,0.334610696
2011,Armed forces,Royal Air Force,,,0.237022617
2012,Armed forces,Royal Air Force,,,0.235460325
2013,Armed forces,Royal Air Force,,,0.155992369
2014,Armed forces,Royal Air Force,,,0.247690288
2015,Armed forces,Royal Air Force,,,0.153586239
2016,Armed forces,Royal Air Force,,,0.213258266
2007,,,,,15.21548751
2008,,,,,12.53562544
2009,,,,,12.84923828
2010,,,,,13.065751
2011,,,,,10.38159061
2012,,,,,10.56431991
2013,,,,,9.453137553
2014,,,,,8.994253585
2015,,,,,9.675933036
