Year,Units,Crop category,Crop,Livestock,Geography,Timber category,Ownership,Value,Value
2010,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1231.501,1231.501
2010,Land use (000s hectares),Permanent grassland,,,,,,9979.795,9979.795
2010,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,5925.203,5925.203
2010,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,4054.592,4054.592
2010,Land use (000s hectares),Common rough grazing,,,,,,1228.3595,1228.3595
2010,Land use (000s hectares),Other land on agricultural holdings,,,,,,1058.844,1058.844
2010,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,773.963,773.963
2010,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,10.47,10.47
2010,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,274.411,274.411
2011,Land use (000s hectares),,,,,,,18107.59097,18107.59097
2011,Land use (000s hectares),Arable crops,,,,,,4497.3176,4497.3176
2011,Land use (000s hectares),Arable crops,Wheat,,,,,1969.3834,1969.3834
2011,Land use (000s hectares),Arable crops,Barley,,,,,969.7557,969.7557
2011,Land use (000s hectares),Arable crops,Oats,,,,,108.6036,108.6036
2011,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,27.4971,27.4971
2011,Land use (000s hectares),Arable crops,Oilseed rape,,,,,704.5594,704.5594
2011,Land use (000s hectares),Arable crops,Linseed,,,,,36.453,36.453
2011,Land use (000s hectares),Arable crops,Potatoes,,,,,146.1226,146.1226
2011,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,112.715,112.715
2011,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,155.3178,155.3178
2011,Land use (000s hectares),Arable crops,Maize,,,,,164.4302,164.4302
2011,Land use (000s hectares),Horticultural crops,,,,,,175.30907,175.30907
2011,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,128.6789,128.6789
2011,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,23.6648,23.6648
2011,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,9.7295,9.7295
2011,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,11.2584,11.2584
2011,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,1.97747,1.97747
2011,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1277.8401,1277.8401
