Year,Geography,Energy group,Energy type,Value
2016,England,Low emission vehicles,Low emission vehicles and infrastructure,0.004674599
2016,England,Low emission vehicles,Fuels cells and energy storage,0.00132447
2014,Scotland,,,0.064835346
2014,Scotland,Low carbon electricity,,0.054837752
2014,Scotland,Low carbon electricity,Offshore wind,0.000541875
2014,Scotland,Low carbon electricity,Onshore wind,0.042022408
2014,Scotland,Low carbon electricity,Solar photovoltaic,0.000352219
2014,Scotland,Low carbon electricity,Hydropower,0.005066531
2014,Scotland,Low carbon electricity,Other renewable electricity,0.000243844
2014,Scotland,Low carbon heat,,0.000108375
2014,Scotland,Low carbon heat,Renewable heat,8.12813E-05
2014,Scotland,Low carbon heat,Renewable combined heat and power,5.41875E-05
2014,Scotland,Energy from waste & biomass,,0.00867
2014,Scotland,Energy from waste & biomass,Bioenergy,0.00867
2014,Scotland,Energy efficient products,,0.001110844
2014,Scotland,Energy efficient products,Energy efficient lighting,8.12813E-05
2014,Scotland,Energy efficient products,Other energy efficient products,0.000948281
2014,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",8.12813E-05
2014,Scotland,Low carbon services,,8.12813E-05
2014,Scotland,Low carbon services,Low carbon financial and advisory services,8.12813E-05
2014,Scotland,Low emission vehicles,,2.70938E-05
2015,Scotland,,,0.068643755
2015,Scotland,Low carbon electricity,,0.064328702
2015,Scotland,Low carbon electricity,Offshore wind,0.004950398
2015,Scotland,Low carbon electricity,Onshore wind,0.042938747
2015,Scotland,Low carbon electricity,Solar photovoltaic,0.000317673
2015,Scotland,Low carbon electricity,Hydropower,0.006326979
2015,Scotland,Low carbon heat,,5.29454E-05
2015,Scotland,Low carbon heat,Renewable heat,2.64727E-05
2015,Scotland,Low carbon heat,Renewable combined heat and power,2.64727E-05
2015,Scotland,Energy from waste & biomass,,0.002911999
2015,Scotland,Energy from waste & biomass,Bioenergy,0.002911999
2015,Scotland,Energy efficient products,,0.001244218
2015,Scotland,Energy efficient products,Energy efficient lighting,2.64727E-05
2015,Scotland,Energy efficient products,Other energy efficient products,0.001005963
2015,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",0.000211782
2015,Scotland,Low carbon services,,7.94182E-05
2015,Scotland,Low carbon services,Low carbon financial and advisory services,7.94182E-05
2015,Scotland,Low emission vehicles,,2.64727E-05
2015,Scotland,Low emission vehicles,Fuels cells and energy storage,2.64727E-05
2016,Scotland,,,0.090505423
2016,Scotland,Low carbon electricity,,0.087544844
2016,Scotland,Low carbon electricity,Offshore wind,0.00142835
2016,Scotland,Low carbon electricity,Onshore wind,0.071832998
2016,Scotland,Low carbon electricity,Solar photovoltaic,0.00010388
2016,Scotland,Low carbon electricity,Hydropower,0.004518779
2016,Scotland,Low carbon electricity,Carbon capture and storage,0
2016,Scotland,Low carbon electricity,Nuclear,0.009660837
2016,Scotland,Energy from waste & biomass,,0.00127253
2016,Scotland,Energy from waste & biomass,Bioenergy,0.00124656
2016,Scotland,Energy efficient products,,0.00163611
2016,Scotland,Energy efficient products,Energy efficient lighting,5.194E-05
2016,Scotland,Energy efficient products,Other energy efficient products,0.00119462
2016,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",0.00036358
2016,Scotland,Low carbon services,,5.194E-05
2016,Scotland,Low carbon services,Low carbon financial and advisory services,5.194E-05
2014,Wales,,,0.015037032
2014,Wales,Low carbon electricity,,0.011433563
2014,Wales,Low carbon electricity,Offshore wind,5.41875E-05
2014,Wales,Low carbon electricity,Onshore wind,0.004172438
2014,Wales,Low carbon electricity,Solar photovoltaic,0.006231563
2014,Wales,Low carbon electricity,Hydropower,0.000379313
2014,Wales,Low carbon electricity,Other renewable electricity,0.000568969
2014,Wales,Low carbon electricity,Carbon capture and storage,0
2014,Wales,Low carbon heat,,0.000839906
2014,Wales,Low carbon heat,Renewable heat,0.000812813
2014,Wales,Low carbon heat,Renewable combined heat and power,2.70938E-05
2014,Wales,Energy from waste & biomass,,0.001002469
2014,Wales,Energy from waste & biomass,Bioenergy,0.000975375
2014,Wales,Energy efficient products,,0.001490156
2014,Wales,Energy efficient products,Energy efficient lighting,5.41875E-05
2014,Wales,Energy efficient products,Other energy efficient products,0.001408875
2014,Wales,Energy efficient products,"Energy monitoring, saving or control systems",2.70938E-05
2014,Wales,Low emission vehicles,,0.000270938
2015,Wales,,,0.022819482
2015,Wales,Low carbon electricity,,0.017551411
2015,Wales,Low carbon electricity,Offshore wind,2.64727E-05
2015,Wales,Low carbon electricity,Onshore wind,0.000105891
2015,Wales,Low carbon electricity,Solar photovoltaic,0.017392575
2015,Wales,Low carbon electricity,Carbon capture and storage,0
2015,Wales,Low carbon heat,,2.64727E-05
2015,Wales,Low carbon heat,Renewable combined heat and power,2.64727E-05
2015,Wales,Energy from waste & biomass,,0.004235635
2015,Wales,Energy from waste & biomass,Bioenergy,0.004209162
2015,Wales,Energy from waste & biomass,Alternative fuels,2.64727E-05
2015,Wales,Energy efficient products,,0.000688291
2015,Wales,Energy efficient products,Energy efficient lighting,0.000105891
2015,Wales,Energy efficient products,Other energy efficient products,0.000555927
2015,Wales,Energy efficient products,"Energy monitoring, saving or control systems",2.64727E-05
2015,Wales,Low emission vehicles,,0.000317673
2015,Wales,Low emission vehicles,Low emission vehicles and infrastructure,0.000264727
2015,Wales,Low emission vehicles,Fuels cells and energy storage,7.94182E-05
2016,Wales,,,0.015062595
2016,Wales,Low carbon electricity,,0.013452456
2016,Wales,Low carbon electricity,Onshore wind,0.006466528
2016,Wales,Low carbon electricity,Solar photovoltaic,0.006778168
2016,Wales,Low carbon electricity,Hydropower,0.00020776
2016,Wales,Low carbon electricity,Carbon capture and storage,0
2016,Wales,Low carbon electricity,Nuclear,0
2016,Wales,Energy from waste & biomass,,0.0007791
2016,Wales,Energy from waste & biomass,Bioenergy,0.00075313
2016,Wales,Energy from waste & biomass,Alternative fuels,2.597E-05
2016,Wales,Energy efficient products,,0.00075313
2016,Wales,Energy efficient products,Energy efficient lighting,7.791E-05
2016,Wales,Energy efficient products,Other energy efficient products,0.00062328
2016,Wales,Energy efficient products,"Energy monitoring, saving or control systems",5.194E-05
2016,Wales,Low carbon services,,7.791E-05
2016,Wales,Low carbon services,Low carbon financial and advisory services,7.791E-05
2014,Northern Ireland,,,0.008101032
2014,Northern Ireland,Low carbon electricity,,0.005500031
2014,Northern Ireland,Low carbon electricity,Offshore wind,0
2014,Northern Ireland,Low carbon electricity,Onshore wind,0.004876875
2014,Northern Ireland,Low carbon electricity,Solar photovoltaic,0.000514781
2014,Northern Ireland,Low carbon electricity,Hydropower,5.41875E-05
2014,Northern Ireland,Low carbon electricity,Carbon capture and storage,0
2014,Northern Ireland,Low carbon heat,,0.000298031
2014,Northern Ireland,Low carbon heat,Renewable heat,2.70938E-05
2014,Northern Ireland,Low carbon heat,Renewable combined heat and power,0.000270938
2014,Northern Ireland,Energy from waste & biomass,,0.000677344
2014,Northern Ireland,Energy from waste & biomass,Bioenergy,0.00065025
2014,Northern Ireland,Energy from waste & biomass,Alternative fuels,2.70938E-05
2014,Northern Ireland,Energy efficient products,,0.00151725
2014,Northern Ireland,Energy efficient products,Energy efficient lighting,5.41875E-05
2014,Northern Ireland,Energy efficient products,Other energy efficient products,0.001408875
2014,Northern Ireland,Energy efficient products,"Energy monitoring, saving or control systems",5.41875E-05
2014,Northern Ireland,Low carbon services,,2.70938E-05
2014,Northern Ireland,Low carbon services,Low carbon financial and advisory services,2.70938E-05
2014,Northern Ireland,Low emission vehicles,,8.12813E-05
2014,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,8.12813E-05
2014,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,0
2015,Northern Ireland,,,0.005718107
2015,Northern Ireland,Low carbon electricity,,0.005029816
2015,Northern Ireland,Low carbon electricity,Offshore wind,0
2015,Northern Ireland,Low carbon electricity,Onshore wind,0.004182689
2015,Northern Ireland,Low carbon electricity,Solar photovoltaic,0.000794182
2015,Northern Ireland,Low carbon electricity,Carbon capture and storage,0
2015,Northern Ireland,Low carbon electricity,Nuclear,0
2015,Northern Ireland,Low carbon heat,,5.29454E-05
2015,Northern Ireland,Low carbon heat,Renewable heat,2.64727E-05
2015,Northern Ireland,Low carbon heat,Renewable combined heat and power,2.64727E-05
2015,Northern Ireland,Energy from waste & biomass,,0.000264727
2015,Northern Ireland,Energy from waste & biomass,Bioenergy,0.000264727
2015,Northern Ireland,Energy from waste & biomass,Alternative fuels,0
2015,Northern Ireland,Energy efficient products,,0.000370618
2015,Northern Ireland,Energy efficient products,Energy efficient lighting,2.64727E-05
2015,Northern Ireland,Energy efficient products,Other energy efficient products,0.000344145
2015,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,0
2016,Northern Ireland,,,0.023476873
2016,Northern Ireland,Low carbon electricity,,0.017763475
2016,Northern Ireland,Low carbon electricity,Onshore wind,0.017659595
2016,Northern Ireland,Low carbon electricity,Solar photovoltaic,7.791E-05
2016,Northern Ireland,Low carbon electricity,Carbon capture and storage,0
2016,Northern Ireland,Low carbon electricity,Nuclear,0
2016,Northern Ireland,Low carbon heat,,0.00041552
2016,Northern Ireland,Low carbon heat,Renewable heat,0.00041552
2016,Northern Ireland,Low carbon heat,Renewable combined heat and power,2.597E-05
2016,Northern Ireland,Energy from waste & biomass,,0.004882359
2016,Northern Ireland,Energy from waste & biomass,Bioenergy,0.004882359
2016,Northern Ireland,Energy from waste & biomass,Alternative fuels,0
2016,Northern Ireland,Energy efficient products,,0.00023373
2016,Northern Ireland,Energy efficient products,Energy efficient lighting,0.00010388
2016,Northern Ireland,Energy efficient products,Other energy efficient products,0.00010388
2016,Northern Ireland,Low carbon services,,0.00015582
2016,Northern Ireland,Low carbon services,Low carbon financial and advisory services,0.00015582
2016,Northern Ireland,Low emission vehicles,,2.597E-05
2016,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,2.597E-05
