Year,Geography,Sex,Cause of death,Value
2013,England,,,1.689383083
2013,England,,Exposure to excessive natural heat,0.018564649
2013,England,,Exposure to excessive natural cold,1.559430538
2013,England,,Exposure to sunlight,0
2013,England,,Victim of lightning,0.018564649
2013,England,,Victim of earthquake,0
2013,England,,Victim of volcanic eruption,0
2013,England,,"Victim of avalanche, landslide and other earth movements",0
2013,England,,Victim of cataclysmic storm,0
2013,England,,Victim of flood,0
2013,England,,Exposure to other and unspecified forces of nature,0.092823246
2013,England,Male,,1.997439584
2013,England,Male,Exposure to excessive natural heat,0.037687539
2013,England,Male,Exposure to excessive natural cold,1.771314348
2013,England,Male,Exposure to sunlight,0
2013,England,Male,Victim of lightning,0
2013,England,Male,Victim of earthquake,0
2013,England,Male,Victim of volcanic eruption,0
2013,England,Male,"Victim of avalanche, landslide and other earth movements",0
2013,England,Male,Victim of cataclysmic storm,0
2013,England,Male,Victim of flood,0
2013,England,Male,Exposure to other and unspecified forces of nature,0.188437697
2013,England,Female,,1.390319454
2013,England,Female,Exposure to excessive natural heat,0
2013,England,Female,Exposure to excessive natural cold,1.3537321
2013,England,Female,Exposure to sunlight,0
2013,England,Female,Victim of lightning,0.036587354
2013,England,Female,Victim of earthquake,0
2013,England,Female,Victim of volcanic eruption,0
2013,England,Female,"Victim of avalanche, landslide and other earth movements",0
2013,England,Female,Victim of cataclysmic storm,0
2013,England,Female,Victim of flood,0
2013,England,Female,Exposure to other and unspecified forces of nature,0
2013,Wales,,,1.946527589
2013,Wales,,Exposure to excessive natural heat,0
2013,Wales,,Exposure to excessive natural cold,1.946527589
2013,Wales,,Exposure to sunlight,0
2013,Wales,,Victim of lightning,0
2013,Wales,,Victim of earthquake,0
2013,Wales,,Victim of volcanic eruption,0
2013,Wales,,"Victim of avalanche, landslide and other earth movements",0
2013,Wales,,Victim of cataclysmic storm,0
2013,Wales,,Victim of flood,0
2013,Wales,,Exposure to other and unspecified forces of nature,0
2013,Wales,Male,,1.979901361
2013,Wales,Male,Exposure to excessive natural heat,0
2013,Wales,Male,Exposure to excessive natural cold,1.979901361
2013,Wales,Male,Exposure to sunlight,0
2013,Wales,Male,Victim of lightning,0
2013,Wales,Male,Victim of earthquake,0
2013,Wales,Male,Victim of volcanic eruption,0
2013,Wales,Male,"Victim of avalanche, landslide and other earth movements",0
2013,Wales,Male,Victim of cataclysmic storm,0
2013,Wales,Male,Victim of flood,0
2013,Wales,Male,Exposure to other and unspecified forces of nature,0
2013,Wales,Female,,1.914260282
2013,Wales,Female,Exposure to excessive natural heat,0
2013,Wales,Female,Exposure to excessive natural cold,1.914260282
2013,Wales,Female,Exposure to sunlight,0
2013,Wales,Female,Victim of lightning,0
2013,Wales,Female,Victim of earthquake,0
2013,Wales,Female,Victim of volcanic eruption,0
2013,Wales,Female,"Victim of avalanche, landslide and other earth movements",0
2013,Wales,Female,Victim of cataclysmic storm,0
2013,Wales,Female,Victim of flood,0
2013,Wales,Female,Exposure to other and unspecified forces of nature,0
2013,,,Exposure to excessive natural heat,0.017559809
2013,,,Exposure to excessive natural cold,1.47502392
2013,,,Exposure to sunlight,0
2013,,,Victim of lightning,0.017559809
2013,,,Victim of earthquake,0
2013,,,Victim of volcanic eruption,0
2013,,,"Victim of avalanche, landslide and other earth movements",0
2013,,,Victim of cataclysmic storm,0
2013,,,Victim of flood,0
2013,,,Exposure to other and unspecified forces of nature,0.087799043
2013,,Male,,1.889537226
2013,,Male,Exposure to excessive natural heat,0.035651646
2013,,Male,Exposure to excessive natural cold,1.675627351
2013,,Male,Exposure to sunlight,0
2013,,Male,Victim of lightning,0
2013,,Male,Victim of earthquake,0
2013,,Male,Victim of volcanic eruption,0
2013,,Male,"Victim of avalanche, landslide and other earth movements",0
2013,,Male,Victim of cataclysmic storm,0
2013,,Male,Victim of flood,0
2013,,Male,Exposure to other and unspecified forces of nature,0.178258229
2013,,Female,,1.31492289
2013,,Female,Exposure to excessive natural heat,0
2013,,Female,Exposure to excessive natural cold,1.280319656
2013,,Female,Exposure to sunlight,0
2013,,Female,Victim of lightning,0.034603234
2013,,Female,Victim of earthquake,0
2013,,Female,Victim of volcanic eruption,0
2013,,Female,"Victim of avalanche, landslide and other earth movements",0
2013,,Female,Victim of cataclysmic storm,0
2013,,Female,Victim of flood,0
2013,,Female,Exposure to other and unspecified forces of nature,0
2013,,,,1.59794258
2014,England,,,1.1782766
2014,England,,Exposure to excessive natural heat,0
2014,England,,Exposure to excessive natural cold,1.067813169
2014,England,,Exposure to sunlight,0
2014,England,,Victim of lightning,0.036821144
2014,England,,Victim of earthquake,0
2014,England,,Victim of volcanic eruption,0
2014,England,,"Victim of avalanche, landslide and other earth movements",0.036821144
2014,England,,Victim of cataclysmic storm,0
2014,England,,Victim of flood,0
2014,England,,Exposure to other and unspecified forces of nature,0.036821144
2014,England,Male,,1.269926833
2014,England,Male,Exposure to excessive natural heat,0
2014,England,Male,Exposure to excessive natural cold,1.120523676
2014,England,Male,Exposure to sunlight,0
2014,England,Male,Victim of lightning,0.074701578
2014,England,Male,Victim of earthquake,0
2014,England,Male,Victim of volcanic eruption,0
2014,England,Male,"Victim of avalanche, landslide and other earth movements",0.037350789
2014,England,Male,Victim of cataclysmic storm,0
2014,England,Male,Victim of flood,0
2014,England,Male,Exposure to other and unspecified forces of nature,0.037350789
2014,England,Female,,1.089189281
2014,England,Female,Exposure to excessive natural heat,0
2014,England,Female,Exposure to excessive natural cold,1.016576662
2014,England,Female,Exposure to sunlight,0
2014,England,Female,Victim of lightning,0
2014,England,Female,Victim of earthquake,0
2014,England,Female,Victim of volcanic eruption,0
2014,England,Female,"Victim of avalanche, landslide and other earth movements",0.036306309
2014,England,Female,Victim of cataclysmic storm,0
2014,England,Female,Victim of flood,0
2014,England,Female,Exposure to other and unspecified forces of nature,0.036306309
2014,Wales,,,2.263880498
2014,Wales,,Exposure to excessive natural heat,0
2014,Wales,,Exposure to excessive natural cold,1.940468998
2014,Wales,,Exposure to sunlight,0
2014,Wales,,Victim of lightning,0
2014,Wales,,Victim of earthquake,0
2014,Wales,,Victim of volcanic eruption,0
2014,Wales,,"Victim of avalanche, landslide and other earth movements",0
2014,Wales,,Victim of cataclysmic storm,0
2014,Wales,,Victim of flood,0
2014,Wales,,Exposure to other and unspecified forces of nature,0.3234115
2014,Wales,Male,,1.97197819
2014,Wales,Male,Exposure to excessive natural heat,0
2014,Wales,Male,Exposure to excessive natural cold,1.314652127
2014,Wales,Male,Exposure to sunlight,0
2014,Wales,Male,Victim of lightning,0
2014,Wales,Male,Victim of earthquake,0
2014,Wales,Male,Victim of volcanic eruption,0
2014,Wales,Male,"Victim of avalanche, landslide and other earth movements",0
2014,Wales,Male,Victim of cataclysmic storm,0
2014,Wales,Male,Victim of flood,0
2014,Wales,Male,Exposure to other and unspecified forces of nature,0.657326063
2014,Wales,Female,,2.546601211
2014,Wales,Female,Exposure to excessive natural heat,0
2014,Wales,Female,Exposure to excessive natural cold,2.546601211
2014,Wales,Female,Exposure to sunlight,0
2014,Wales,Female,Victim of lightning,0
2014,Wales,Female,Victim of earthquake,0
2014,Wales,Female,Victim of volcanic eruption,0
2014,Wales,Female,"Victim of avalanche, landslide and other earth movements",0
2014,Wales,Female,Victim of cataclysmic storm,0
2014,Wales,Female,Victim of flood,0
2014,Wales,Female,Exposure to other and unspecified forces of nature,0
2014,,,Exposure to excessive natural heat,0
2014,,,Exposure to excessive natural cold,1.010300642
2014,,,Exposure to sunlight,0
2014,,,Victim of lightning,0.034837953
2014,,,Victim of earthquake,0
2014,,,Victim of volcanic eruption,0
2014,,,"Victim of avalanche, landslide and other earth movements",0.034837953
2014,,,Victim of cataclysmic storm,0
2014,,,Victim of flood,0
2014,,,Exposure to other and unspecified forces of nature,0.034837953
2014,,Male,,1.201646496
2014,,Male,Exposure to excessive natural heat,0
2014,,Male,Exposure to excessive natural cold,1.06027632
2014,,Male,Exposure to sunlight,0
2014,,Male,Victim of lightning,0.070685088
2014,,Male,Victim of earthquake,0
2014,,Male,Victim of volcanic eruption,0
2014,,Male,"Victim of avalanche, landslide and other earth movements",0.035342544
2014,,Male,Victim of cataclysmic storm,0
2014,,Male,Victim of flood,0
2014,,Male,Exposure to other and unspecified forces of nature,0.035342544
2014,,Female,,1.030427033
2014,,Female,Exposure to excessive natural heat,0
2014,,Female,Exposure to excessive natural cold,0.961731898
2014,,Female,Exposure to sunlight,0
2014,,Female,Victim of lightning,0
2014,,Female,Victim of earthquake,0
2014,,Female,Victim of volcanic eruption,0
2014,,Female,"Victim of avalanche, landslide and other earth movements",0.034347568
2014,,Female,Victim of cataclysmic storm,0
2014,,Female,Victim of flood,0
2014,,Female,Exposure to other and unspecified forces of nature,0.034347568
2014,,,,1.114814502
2015,England,,,0.657098257
2015,England,,Exposure to excessive natural heat,0.054758188
2015,England,,Exposure to excessive natural cold,0.529329152
2015,England,,Exposure to sunlight,0
2015,England,,Victim of lightning,0.036505459
2015,England,,Victim of earthquake,0
2015,England,,Victim of volcanic eruption,0
2015,England,,"Victim of avalanche, landslide and other earth movements",0
2015,England,,Victim of cataclysmic storm,0
2015,England,,Victim of flood,0
2015,England,,Exposure to other and unspecified forces of nature,0.036505459
2015,England,Male,,0.591950524
2015,England,Male,Exposure to excessive natural heat,0.036996908
2015,England,Male,Exposure to excessive natural cold,0.4809598
2015,England,Male,Exposure to sunlight,0
2015,England,Male,Victim of lightning,0.073993815
2015,England,Male,Victim of earthquake,0
2015,England,Male,Victim of volcanic eruption,0
2015,England,Male,"Victim of avalanche, landslide and other earth movements",0
2015,England,Male,Victim of cataclysmic storm,0
2015,England,Male,Victim of flood,0
2015,England,Male,Exposure to other and unspecified forces of nature,0
2015,England,Female,,0.720537899
2015,England,Female,Exposure to excessive natural heat,0.07205379
2015,England,Female,Exposure to excessive natural cold,0.576430319
2015,England,Female,Exposure to sunlight,0
2015,England,Female,Victim of lightning,0
2015,England,Female,Victim of earthquake,0
2015,England,Female,Victim of volcanic eruption,0
2015,England,Female,"Victim of avalanche, landslide and other earth movements",0
2015,England,Female,Victim of cataclysmic storm,0
2015,England,Female,Victim of flood,0
2015,England,Female,Exposure to other and unspecified forces of nature,0.07205379
2015,Wales,,,0.968027347
2015,Wales,,Exposure to excessive natural heat,0
2015,Wales,,Exposure to excessive natural cold,0.968027347
2015,Wales,,Exposure to sunlight,0
2015,Wales,,Victim of lightning,0
2015,Wales,,Victim of earthquake,0
2015,Wales,,Victim of volcanic eruption,0
2015,Wales,,"Victim of avalanche, landslide and other earth movements",0
2015,Wales,,Victim of cataclysmic storm,0
2015,Wales,,Victim of flood,0
2015,Wales,,Exposure to other and unspecified forces of nature,0
2015,Wales,Male,,1.310993136
2015,Wales,Male,Exposure to excessive natural heat,0
2015,Wales,Male,Exposure to excessive natural cold,1.310993136
2015,Wales,Male,Exposure to sunlight,0
2015,Wales,Male,Victim of lightning,0
2015,Wales,Male,Victim of earthquake,0
2015,Wales,Male,Victim of volcanic eruption,0
2015,Wales,Male,"Victim of avalanche, landslide and other earth movements",0
2015,Wales,Male,Victim of cataclysmic storm,0
2015,Wales,Male,Victim of flood,0
2015,Wales,Male,Exposure to other and unspecified forces of nature,0
2015,Wales,Female,,0.635515801
2015,Wales,Female,Exposure to excessive natural heat,0
2015,Wales,Female,Exposure to excessive natural cold,0.635515801
2015,Wales,Female,Exposure to sunlight,0
2015,Wales,Female,Victim of lightning,0
2015,Wales,Female,Victim of earthquake,0
2015,Wales,Female,Victim of volcanic eruption,0
2015,Wales,Female,"Victim of avalanche, landslide and other earth movements",0
2015,Wales,Female,Victim of cataclysmic storm,0
2015,Wales,Female,Victim of flood,0
