Year,Risk category,Species,Breed,Value
2000,Critical,Cattle,Groningen Blaarkop,30
2000,Endangered,Cattle,Gloucester,389
2000,Endangered,Sheep,Lacaune,420
2000,Endangered,Horse,Highland Pony,658
2000,Endangered,Sheep,Cotswold,712
2000,Endangered,Horse,Welsh,900
2000,Not-at-risk,Sheep,Lincoln Longwool,1345
2000,Not-at-risk,Sheep,Shropshire,1453
2000,Not-at-risk,Sheep,Pink-nosed Somerset,1529
2000,Not-at-risk,Sheep,Herdwick,1539
2000,Not-at-risk,Sheep,Greyface Dartmoor,1685
2000,Not-at-risk,Sheep,Llanwenog,1944
2000,Not-at-risk,Sheep,Beltex,2000
2000,Not-at-risk,Sheep,Dorset Down,2034
2000,Not-at-risk,Sheep,Hartline,2298
2000,Not-at-risk,Sheep,Ryeland,3000
2001,Endangered,Cattle,Luing,150
2001,Endangered,Cattle,"Hereford, Traditional",350
2001,Endangered,Sheep,Whitefaced Woodland,656
2001,Endangered,Sheep,North Ronaldsay,665
2001,Endangered,Sheep,Castlemilk Moorit,688
2001,Not-at-risk,Sheep,Morfe Common,1061
2001,Not-at-risk,Sheep,South Devon,1107
2001,Not-at-risk,Sheep,Oldenburg,1253
2001,Not-at-risk,Sheep,Oxford Down,1339
2001,Not-at-risk,Deer,Red Deer,22500
2002,Critical,Chicken,Burmese,2
2002,Critical,Duck (domestic),Penguin,2
2002,Critical,Cattle,Dairy Shorthorn (Original Population),4
2002,Critical,Chicken,Booted,4
2002,Critical,Cattle,Polled,5
2002,Critical,Goose (domestic),African,5
2002,Critical,Goose (domestic),Czechoslovakian,5
2002,Critical,Goose (domestic),Elsasser,5
2002,Critical,Goose (domestic),Embden,5
2002,Critical,Cattle,Swiss Grey,7
2002,Critical,Cattle,Brahman,10
2002,Critical,Cattle,Northern Dairy Shorthorn,10
2002,Critical,Cattle,Swona,10
2002,Critical,Chicken,Cobar,10
2002,Critical,Goose (domestic),Diepholzer,10
2002,Critical,Goose (domestic),Faroese,10
2002,Critical,Turkey,Norfolk Black,10
2002,Critical,Cattle,Chianina,13
2002,Critical,Cattle,Vaynol,14
2002,Critical,Cattle,Aubrac,15
2002,Critical,Goose (domestic),Shetland,15
2002,Critical,Chicken,Canadian Game,20
2002,Critical,Chicken,Dominique,20
2002,Critical,Chicken,Wybar,20
2002,Critical,Turkey,Cambridge Bronze,20
2002,Critical,Pig,Hampshire,21
2002,Critical,Cattle,Ankole,25
2002,Critical,Cattle,Galloway,25
2002,Critical,Cattle,Norwegian,25
2002,Critical,Turkey,Narragansett,25
2002,Critical,Cattle,Groningen Blaarkop,30
2002,Critical,Chicken,Brazilian Shamo,30
2002,Critical,Chicken,Crested Legbar,30
2002,Critical,Chicken,Thai Game,30
2002,Critical,Duck (domestic),Saxony,30
2002,Critical,Cattle,Breton Black Pied,35
2002,Critical,Turkey,Bourbon Red,35
2002,Critical,Turkey,Buff,35
2002,Critical,Cattle,Ancient Cattle of Wales (Coloured Welsh Cattle),40
2002,Critical,Chicken,Ameraucana,40
2002,Critical,Chicken,Ancona (miniature),40
2002,Critical,Chicken,Barbu D'Anvers,40
2002,Critical,Chicken,Barbu De Watermael,40
2002,Critical,Chicken,Belgian Game,40
2002,Critical,Chicken,Brahma (miniature),40
2002,Critical,Chicken,German Langshan (miniature),40
2002,Critical,Chicken,Modern Langshan,40
2002,Critical,Chicken,Old English Game,40
2002,Critical,Chicken,Old English Game (miniature),40
2002,Critical,Chicken,Orloff,40
2002,Critical,Chicken,Penedesencas,40
2002,Critical,Chicken,Rumpless Game,40
2002,Critical,Chicken,Sulmtaler,40
2002,Critical,Chicken,Tuzo,40
2002,Critical,Duck (domestic),Crested,40
2002,Critical,Goose (domestic),Pilgrim,40
2002,Critical,Cattle,Bison,45
2002,Critical,Cattle,Romangnola,45
2002,Critical,Cattle,Armoricaine,50
2002,Critical,Cattle,Sussex,50
2002,Critical,Chicken,Dominique (miniature),50
2002,Critical,Chicken,Houdan,50
2002,Critical,Chicken,Legbar,50
2002,Critical,Chicken,Modern Langshan (miniature),50
2002,Critical,Chicken,Rhodebar,50
2002,Critical,Chicken,Sussex (miniature),50
2002,Critical,Chicken,Wybar (miniature),50
2002,Critical,Duck (domestic),Duclair,50
2002,Critical,Duck (domestic),Silver Bantam Duck,50
2002,Critical,Goose (domestic),Brecon Buff,50
2002,Critical,Goose (domestic),Celler,50
2002,Critical,Horse,Alpine,50
2002,Critical,Cattle,Luing,60
2002,Critical,Chicken,Frizzle (miniature),60
2002,Critical,Chicken,Kraienkoppe,60
2002,Critical,Chicken,Kraienkoppe (miniature),60
2002,Critical,Chicken,La Fleche,60
2002,Critical,Chicken,Lakenvelder (miniature),60
2002,Critical,Chicken,Marans (miniature),60
2002,Critical,Chicken,Minorca (miniature),60
2002,Critical,Chicken,North Holland Blue,60
2002,Critical,Chicken,Sabelpoot,60
2002,Critical,Chicken,Sicilian Buttercup,60
2002,Critical,Chicken,Spanish (miniature),60
2002,Critical,Chicken,Transylvanian,60
2002,Critical,Duck (domestic),Appleyard Bantam,60
2002,Critical,Duck (domestic),Magpie,60
2002,Critical,Goose (domestic),Pomeranian,60
2002,Critical,Goose (domestic),Sebastopol (smooth),60
2002,Critical,Cattle,Marchigiana,70
2002,Critical,Cattle,Parthenaise,70
2002,Critical,Chicken,Friesian (miniature),70
2002,Critical,Chicken,Houdan (miniature),70
2002,Critical,Chicken,Norfolk Grey,70
2002,Critical,Chicken,Orloff (miniature),70
2002,Critical,Chicken,Sumatra Game,70
2002,Critical,Chicken,Vorwerk,70
2002,Critical,Chicken,Yokohama (British type),70
2002,Critical,Goose (domestic),Roman,70
2002,Critical,Cattle,Devon,75
2002,Critical,Chicken,Appenzeller Barthuhn,80
2002,Critical,Chicken,Friesian,80
2002,Critical,Chicken,Lakenvelder,80
2002,Critical,Duck (domestic),Welsh Harlequin,80
2002,Critical,Goat,Arapawa British Arapawa,80
2002,Critical,Goose (domestic),Steinbacher,80
2002,Critical,Sheep,Brecknock Hill Cheviot,93
2002,Critical,Cattle,Blue Albion,95
2002,Critical,Cattle,Kerry,100
2002,Critical,Chicken,Araucana (Rumpless),100
2002,Critical,Chicken,Aseel (miniature),100
2002,Critical,Chicken,Coveney White,100
2002,Critical,Chicken,Fayoumi,100
2002,Critical,Chicken,Frizzle,100
2002,Critical,Chicken,Onagadori,100
2002,Critical,Chicken,Satsumadori,100
2002,Critical,Chicken,Scots Dumpy (miniature),100
2002,Critical,Chicken,Shamo,100
