Year,Risk category,Species,Breed,Value
2002,Critical,Chicken,Spanish,100
2002,Critical,Chicken,Sultan,100
2002,Critical,Chicken,Yamato,100
2002,Critical,Chicken,Yamato (miniature),100
2002,Critical,Chicken,"Yokohama (English type, miniature)",100
2002,Critical,Duck (domestic),Abacot Ranger,100
2002,Critical,Duck (domestic),Aylesbury,100
2002,Critical,Duck (domestic),Cayuga,100
2002,Critical,Goose (domestic),Toulouse,100
2002,Critical,Turkey,British Blue,100
2002,Critical,Turkey,British White,100
2002,Endangered,Chicken,Campine,110
2002,Endangered,Cattle,Normande,120
2002,Endangered,Cattle,Yak,120
2002,Endangered,Chicken,Lincolnshire Buff,120
2002,Endangered,Chicken,Transylvanian (miniature),120
2002,Endangered,Chicken,Yokohama (German type),120
2002,Endangered,Goose (domestic),Greyback,120
2002,Endangered,Pig,Oxford Sandy and Black,129
2002,Endangered,Duck (domestic),Appleyard,130
2002,Endangered,Turkey,Cornish Palm,130
2002,Endangered,Chicken,"Yokohama (German type, miniature)",140
2002,Endangered,Chicken,Thuringian Bearded (miniature),150
2002,Endangered,Chicken,Vorwerk (miniature),150
2002,Endangered,Duck (domestic),Pommern,150
2002,Endangered,Horse,Eriskay,150
2002,Endangered,Sheep,Galway,150
2002,Endangered,Pig,British Landrace,162
2002,Endangered,Chicken,Andalusian,200
2002,Endangered,Chicken,Braekel,200
2002,Endangered,Chicken,Malay (miniature),200
2002,Endangered,Chicken,Minorca,200
2002,Endangered,Chicken,Plymouth Rock,200
2002,Endangered,Chicken,Taiwanese Shamo,200
2002,Endangered,Chicken,Venezuelan Game,200
2002,Endangered,Chicken,Welbar,200
2002,Endangered,Duck (domestic),Campbell,200
2002,Endangered,Duck (domestic),Crested Bantam,200
2002,Endangered,Pig,Tamworth,214
2002,Endangered,Chicken,Derbyshire Redcap,220
2002,Endangered,Cattle,Irish Moiled,225
2002,Endangered,Pig,Middle White,233
2002,Endangered,Cattle,Bazadaise,242
2002,Endangered,Chicken,Dorking (miniature),250
2002,Endangered,Chicken,Malay,250
2002,Endangered,Chicken,Scots Grey,250
2002,Endangered,Chicken,Nankin,280
2002,Endangered,Cattle,"Hereford, Traditional",285
2002,Endangered,Chicken,Barnevelder (miniature),300
2002,Endangered,Chicken,Croad Langshan,300
2002,Endangered,Chicken,New Hampshire Red (miniature),300
2002,Endangered,Horse,Cleveland Bay,300
2002,Endangered,Turkey,Holland,300
2002,Endangered,Cattle,Glamorgan,350
2002,Endangered,Cattle,Piemontese,350
2002,Endangered,Chicken,Faverolle,350
2002,Endangered,Chicken,Hamburgh,350
2002,Endangered,Chicken,Shamo (miniature),350
2002,Endangered,Turkey,Standard Bronze,350
2002,Endangered,Sheep,British Friesland,360
2002,Endangered,Pig,Pietrain,363
2002,Endangered,Sheep,Charmoise,370
2002,Endangered,Pig,Large Black,377
2002,Endangered,Chicken,Barbu De Grubbe,380
2002,Endangered,Cattle,Gloucester,389
2002,Endangered,Pig,Berkshire,391
2002,Endangered,Chicken,Croad Langshan (miniature),400
2002,Endangered,Chicken,Polish (miniature),400
2002,Endangered,Sheep,Roussin,400
2002,Endangered,Pig,British Saddleback,414
2002,Endangered,Chicken,Scots Dumpy,420
2002,Endangered,Sheep,Teeswater,429
2002,Endangered,Chicken,Barnevelder,450
2002,Endangered,Sheep,Gotland,450
2002,Endangered,Cattle,White Park,475
2002,Endangered,Chicken,Appenzeller Spitzhauben,500
2002,Endangered,Chicken,Australorp (miniature),500
2002,Endangered,Chicken,Cochin,500
2002,Endangered,Chicken,Indian Game,500
2002,Endangered,Chicken,Marans,500
2002,Endangered,Chicken,Marsh Daisy,500
2002,Endangered,Chicken,Rumpless Game (miniature),500
2002,Endangered,Duck (domestic),Black East Indian,500
2002,Endangered,Sheep,Llandovery Whiteface Hill,500
2002,Endangered,Turkey,Broad Breasted Bronz,500
2002,Endangered,Rabbit,All Grey,548
2002,Endangered,Chicken,Brahma,560
2002,Endangered,Horse,Exmoor Pony,575
2002,Endangered,Cattle,Norfolk Horned,600
2002,Endangered,Chicken,Araucana (miniature),600
2002,Endangered,Chicken,Dorking,600
2002,Endangered,Chicken,Ko Shamo (Bantam),600
2002,Endangered,Chicken,Scots Grey (miniature),600
2002,Endangered,Pig,Gloucestershire Old Spots,628
2002,Endangered,Chicken,Aseel,640
2002,Endangered,Chicken,Ancona,750
2002,Endangered,Chicken,Silkie,750
2002,Endangered,Chicken,Cornish Game (miniature),800
2002,Endangered,Chicken,Leghorn (miniature),800
2002,Endangered,Cattle,Reggiana,814
2002,Endangered,Horse,Dales Pony,850
2002,Endangered,Chicken,Faverolle (miniature),900
2002,Endangered,Chicken,Hamburgh (miniature),900
2002,Endangered,Chicken,German Langshan,1000
2002,Endangered,Chicken,Rhode Island Red (miniature),1000
2002,Endangered,Duck (domestic),Huttegem,1000
2002,Endangered,Sheep,Manx Loaghtan,1000
2002,Not-at-risk,Cattle,Brown Swiss,1200
2002,Not-at-risk,Pig,Duroc,1203
2002,Not-at-risk,Sheep,British Milksheep,1232
2002,Not-at-risk,Cattle,Belted Galloway,1250
2002,Not-at-risk,Cattle,Miniature Zebu,1300
2002,Not-at-risk,Chicken,Barbu D'Uccle,1500
2002,Not-at-risk,Chicken,Leghorn,1500
2002,Not-at-risk,Chicken,Orpington,1500
2002,Not-at-risk,Chicken,Pekin,1500
2002,Not-at-risk,Chicken,Rhode Island Red,1500
2002,Not-at-risk,Cattle,Lowline,1521
2002,Not-at-risk,Cattle,Danish Red,1534
2002,Not-at-risk,Cattle,"Guernsey, Island",1569
2002,Not-at-risk,Chicken,Plymouth Rock (miniature),1600
2002,Not-at-risk,Chicken,Wyandotte,1600
2002,Not-at-risk,Cattle,Longhorn,1700
2002,Not-at-risk,Chicken,Sebright Bantams,1700
2002,Not-at-risk,Cattle,Maine-Anjou,1800
2002,Not-at-risk,Chicken,Jersey Giant,1800
2002,Not-at-risk,Chicken,Polish,1800
2002,Not-at-risk,Horse,Skewbald Piebald,1800
2002,Not-at-risk,Chicken,Sussex,2000
2002,Not-at-risk,Sheep,Berkshire Knot,2000
2002,Not-at-risk,Sheep,Derbyshire Gritstone,2250
2002,Not-at-risk,Cattle,Holderness,2500
2002,Not-at-risk,Cattle,Rotbunt Rotbunte,2500
2002,Not-at-risk,Sheep,Shetland,2500
2002,Not-at-risk,Sheep,Kent Halfbred,2550
2002,Not-at-risk,Sheep,Devon & Cornwall Longwool,2750
2002,Not-at-risk,Cattle,Meuse-Rhine-Issel,2800
2002,Not-at-risk,Cattle,Beef Shorthorn,3000
2002,Not-at-risk,Cattle,Dexter,3000
2002,Not-at-risk,Chicken,Barbu D'Everberg,3000
2002,Not-at-risk,Chicken,Dutch,3000
2002,Not-at-risk,Chicken,Modern Game,3000
2002,Not-at-risk,Chicken,Ohiki,3000
2002,Not-at-risk,Chicken,Welsummer,3000
2002,Not-at-risk,Chicken,Welsummer (miniature),3000
2002,Not-at-risk,Cattle,Chillingham,3500
2002,Not-at-risk,Cattle,Gasconne,3500
2002,Not-at-risk,Sheep,Badger Faced Welsh Mountain,3500
2002,Not-at-risk,Sheep,Bluefaced Leicester,3500
2002,Not-at-risk,Sheep,Lonk,3500
2002,Not-at-risk,Chicken,Silkie (miniature),4000
2002,Not-at-risk,Chicken,Wyandotte (miniature),4000
2002,Not-at-risk,Sheep,Hampshire Down,4050
2002,Not-at-risk,Cattle,Guernsey,4500
2002,Not-at-risk,Cattle,"Jersey, Island",4588
2002,Not-at-risk,Sheep,Cheviot,4886
2002,Not-at-risk,Muscovy duck,Muscovy,5000
2002,Not-at-risk,Turkey,Broad Breasted White,5000
2002,Not-at-risk,Pig,British Lop,5538
2002,Not-at-risk,Pig,Large White,6432
2002,Not-at-risk,Cattle,Hereford,6500
2002,Not-at-risk,Cattle,Baltata Romaneasca,7000
2002,Not-at-risk,Sheep,Black Welsh Mountain,7200
2002,Not-at-risk,Cattle,Blonde d'Aquitaine,8500
2002,Not-at-risk,Cattle,Simmental,8900
2002,Not-at-risk,Cattle,Welsh Black,9000
2002,Not-at-risk,Cattle,Belted Dutch,10000
2002,Not-at-risk,Chicken,Old English Pheasant Fowl,10000
2002,Not-at-risk,Duck (domestic),Call (Decoy),10000
2002,Not-at-risk,Cattle,Jersey,11000
2002,Not-at-risk,Cattle,Aberdeen-Angus (original population),11500
2002,Not-at-risk,Cattle,British,12000
2002,Not-at-risk,Cattle,British Friesian,12000
2002,Not-at-risk,Sheep,Rough Fell,12000
2002,Not-at-risk,Sheep,Blue Texel,13189
2002,Not-at-risk,Cattle,Charolais,15000
2002,Not-at-risk,Cattle,Limousin,17000
2002,Not-at-risk,Sheep,Exmoor Horn,20000
2002,Not-at-risk,Sheep,Ouessant,21470
2002,Not-at-risk,Sheep,Clun Forest,22500
2002,Not-at-risk,Sheep,Dalesbred,37500
2002,Not-at-risk,Sheep,Charollais,43000
2002,Not-at-risk,Sheep,Hebridean,45000
2002,Not-at-risk,Sheep,Sussex,56600
2002,Not-at-risk,Sheep,North Country Cheviot,86000
2002,Not-at-risk,Cattle,Holstein Friesian,100000
2002,Not-at-risk,Sheep,British Texel,115000
2002,Not-at-risk,Sheep,Longmynd,129643
2002,Not-at-risk,Sheep,Welsh Mountain,250000
2002,Not-at-risk,Sheep,Swaledale,750000
2003,Not-at-risk,Cattle,Aberdeen-Angus (original population),11500
2004,Endangered,Rabbit,All Grey,405
2006,Critical,Cattle,Swona,10
2006,Critical,Cattle,Vaynol,16
2006,Critical,Cattle,Chianina,24
2006,Critical,Cattle,Norwegian,37
2006,Critical,Cattle,American Brown Swiss,60
2006,Critical,Cattle,Blue Albion,78
2006,Critical,Cattle,Galloway,81
2006,Endangered,Cattle,Kerry,111
2006,Endangered,Cattle,Yak,190
2006,Endangered,Cattle,Luing,212
2006,Endangered,Cattle,Irish Moiled,308
2006,Endangered,Cattle,Bazadaise,333
2006,Endangered,Cattle,Norfolk Horned,450
2006,Endangered,Cattle,Gloucester,500
2006,Endangered,Cattle,"Hereford, Traditional",616
2006,Endangered,Cattle,White Park,727
2006,Not-at-risk,Cattle,"Guernsey, Island",1569
2006,Not-at-risk,Cattle,Reggiana,1804
2006,Not-at-risk,Cattle,Rotbunt Rotbunte,1880
2006,Not-at-risk,Cattle,Lowline,2038
2006,Not-at-risk,Cattle,Miniature Zebu,2079
2006,Not-at-risk,Cattle,Meuse-Rhine-Issel,2415
2006,Not-at-risk,Cattle,Maine-Anjou,2593
2006,Not-at-risk,Cattle,Belted Galloway,2608
2006,Not-at-risk,Cattle,Longhorn,3081
2006,Not-at-risk,Cattle,Holderness,3163
2006,Not-at-risk,Cattle,Gasconne,3270
2006,Not-at-risk,Cattle,Danish Red,3332
2006,Not-at-risk,Cattle,Belted Dutch,3460
2006,Not-at-risk,Cattle,Guernsey,4217
2006,Not-at-risk,Cattle,Beef Shorthorn,4520
2006,Not-at-risk,Cattle,"Jersey, Island",4588
2006,Not-at-risk,Cattle,Baltata Romaneasca,5600
2006,Not-at-risk,Cattle,Dexter,6155
2006,Not-at-risk,Cattle,Blonde d'Aquitaine,6500
2006,Not-at-risk,Cattle,Hereford,7020
2006,Not-at-risk,Cattle,British,9000
2006,Not-at-risk,Cattle,British Friesian,9000
2006,Not-at-risk,Cattle,Welsh Black,9412
2006,Not-at-risk,Cattle,Charolais,11886
2006,Not-at-risk,Cattle,Simmental,13835
2006,Not-at-risk,Cattle,Aberdeen-Angus (original population),20500
2006,Not-at-risk,Cattle,Jersey,22750
2006,Not-at-risk,Cattle,Limousin,22827
2006,Not-at-risk,Cattle,Holstein Friesian,750000
2007,Critical,Pig,Hampshire,54
2007,Critical,Pig,Pietrain,58
2007,Critical,Pig,Duroc,70
2007,Critical,Pig,Kune-Kune,75
2007,Endangered,Pig,British Landrace,211
2007,Endangered,Pig,Middle White,216
2007,Endangered,Pig,Large Black,222
2007,Endangered,Pig,Oxford Sandy and Black,226
2007,Endangered,Rabbit,All Grey,229
2007,Endangered,Pig,Tamworth,273
2007,Endangered,Pig,Berkshire,286
2007,Endangered,Pig,British Saddleback,529
2007,Endangered,Pig,Gloucestershire Old Spots,947
2007,Not-at-risk,Pig,British Lop,1540
2007,Not-at-risk,Pig,Large White,2293
2008,Critical,Pig,Hampshire,41
2008,Critical,Pig,Mangalitza,48
2008,Critical,Pig,Duroc,73
2008,Critical,Pig,Pietrain,77
2008,Endangered,Pig,British Landrace,292
2008,Endangered,Pig,Large Black,295
2008,Endangered,Pig,Oxford Sandy and Black,303
2008,Endangered,Pig,Middle White,335
2008,Endangered,Rabbit,All Grey,367
2008,Endangered,Pig,Tamworth,397
2008,Endangered,Pig,British Lop,523
2008,Endangered,Pig,Berkshire,567
2008,Endangered,Pig,Large White,667
2008,Endangered,Pig,British Saddleback,732
2008,Not-at-risk,Pig,Gloucestershire Old Spots,1043
2012,Critical,Cattle,Heck,11
2012,Critical,Cattle,Norwegian,11
2012,Critical,Cattle,Kerry,13
2012,Critical,Cattle,Vaynol,22
2012,Critical,Horse,Eriskay,27
2012,Critical,Cattle,Chianina,31
2012,Critical,Horse,Palomino,46
2012,Critical,Cattle,Lincoln Red (Original),50
2012,Critical,Pig,Hampshire,50
2012,Critical,Goat,Cashmere,63
2012,Critical,Pig,Pietrain,71
2012,Critical,Sheep,British Milksheep,74
2012,Critical,Cattle,Angler Rotvieh,92
2012,Critical,Pig,Duroc,92
2012,Endangered,Sheep,Galway,108
2012,Endangered,Cattle,Piemontese,111
2012,Endangered,Sheep,INRA 401,113
2012,Endangered,Pig,Mangalitza,115
2012,Endangered,Horse,Friesian,116
2012,Endangered,Cattle,Galloway,128
2012,Endangered,Horse,Cleveland Bay,133
2012,Endangered,Cattle,Normande,140
2012,Endangered,Cattle,American Brown Swiss,144
2012,Endangered,Horse,Hackney,152
2012,Endangered,Cattle,Yak,154
2012,Endangered,Goat,Bagot,155
2012,Endangered,Cattle,Blue Albion,163
2012,Endangered,Goat,British Goat,182
2012,Endangered,Sheep,Brecknock Hill Cheviot,204
2012,Endangered,Goat,Saanen,205
2012,Endangered,Sheep,Charmoise,240
2012,Endangered,Sheep,Llandovery Whiteface Hill,240
2012,Endangered,Goat,Toggenburg,243
2012,Endangered,Sheep,Gotland,262
2012,Endangered,Horse,Dales Pony,266
2012,Endangered,Goat,Arapawa British Arapawa,277
2012,Endangered,Sheep,Cambridge,302
2012,Endangered,Cattle,Luing,325
2012,Endangered,Pig,Large Black,362
2012,Endangered,Pig,Middle White,391
2012,Endangered,Sheep,North Ronaldsay,394
2012,Endangered,Sheep,Dorper,401
2012,Endangered,Cattle,Norfolk Horned,415
2012,Endangered,Sheep,Vendeen,418
2012,Endangered,Cattle,Gloucester,442
2012,Endangered,Pig,British Landrace,450
2012,Endangered,Horse,Exmoor Pony,456
2012,Endangered,Horse,Connemara,468
2012,Endangered,Sheep,Lacaune,470
2012,Endangered,Goat,British Alpine,483
2012,Endangered,Sheep,Whitefaced Woodland,494
2012,Endangered,Pig,Tamworth,502
2012,Endangered,Sheep,Castlemilk Moorit,538
2012,Endangered,Sheep,Blackface,547
2012,Endangered,Cattle,Bazadaise,560
2012,Endangered,Cattle,Irish Moiled,584
2012,Endangered,Pig,Large White,619
2012,Endangered,Horse,Devon Pack Horse,646
2012,Endangered,Sheep,Teeswater,655
2012,Endangered,Pig,Berkshire,680
2012,Endangered,Pig,Oxford Sandy and Black,684
2012,Endangered,Pig,British Lop,693
2012,Endangered,Sheep,Roussin,720
2012,Endangered,Horse,Highland Pony,722
2012,Endangered,Sheep,Devon & Cornwall Longwool,772
2012,Endangered,Goat,Cheviot (Feral),784
2012,Endangered,Rabbit,All Grey,793
2012,Endangered,Sheep,Oxford Down,802
2012,Endangered,Sheep,Dorset Down,811
2012,Endangered,Horse,Fell Pony,836
2012,Endangered,Sheep,Oldenburg,869
2012,Endangered,Pig,British Saddleback,882
2012,Endangered,Cattle,"Hereford, Traditional",888
2012,Endangered,Cattle,White Park,906
2012,Endangered,Sheep,Cotswold,914
2012,Endangered,Goat,British Toggenburg,927
2012,Endangered,Sheep,Dorset Horn Poll,938
2012,Endangered,Goat,Golden Guernsey,955
2012,Endangered,Sheep,Beltex,964
2012,Endangered,Sheep,British Charolais,966
2012,Endangered,Sheep,Lincoln Longwool,991
2012,Endangered,Sheep,Wensleydale,991
2012,Not-at-risk,Sheep,Pink-nosed Somerset,1006
2012,Not-at-risk,Horse,Dartmoor Hill Pony,1018
2012,Not-at-risk,Sheep,Morfe Common,1025
2012,Not-at-risk,Sheep,Bluefaced Leicester,1082
2012,Not-at-risk,Sheep,South Devon,1142
2012,Not-at-risk,Sheep,Black Welsh Mountain,1159
2012,Not-at-risk,Sheep,Herdwick,1200
2012,Not-at-risk,Goat,Pygmy,1275
2012,Not-at-risk,Sheep,Greyface Dartmoor,1325
2012,Not-at-risk,Sheep,White Face Dartmoor,1476
2012,Not-at-risk,Pig,Gloucestershire Old Spots,1627
2012,Not-at-risk,Cattle,"Guernsey, Island",1724
2012,Not-at-risk,Goat,Boer,1782
2012,Not-at-risk,Pig,Kune-Kune,1782
2012,Not-at-risk,Goat,Nubian & Anglo-Nubian,1849
2012,Not-at-risk,Sheep,Llanwenog,1930
2012,Not-at-risk,Sheep,Devon Closewool,1970
2012,Not-at-risk,Sheep,Derbyshire Gritstone,2000
2012,Not-at-risk,Cattle,Rotbunt Rotbunte,2067
2012,Not-at-risk,Sheep,Shropshire,2280
2012,Not-at-risk,Sheep,Lonk,2448
2012,Not-at-risk,Cattle,Lowline,2499
2012,Not-at-risk,Horse,New Forest Pony,2508
2012,Not-at-risk,Sheep,Welsh Hill Speckled Face,2700
2012,Not-at-risk,Sheep,Romney,2900
2012,Not-at-risk,Sheep,Cheviot,2971
2012,Not-at-risk,Sheep,Kent Halfbred,3079
2012,Not-at-risk,Cattle,"Jersey, Island",3098
2012,Not-at-risk,Sheep,Hampshire Down,3139
2012,Not-at-risk,Cattle,Reggiana,3242
2012,Not-at-risk,Sheep,Ryeland,3406
2012,Not-at-risk,Sheep,Southdown,3437
2012,Not-at-risk,Cattle,Belted Galloway,3520
2012,Not-at-risk,Cattle,Belted Dutch,3769
2012,Not-at-risk,Cattle,Brown Swiss,3791
2012,Not-at-risk,Sheep,Dalesbred,3835
2012,Not-at-risk,Cattle,Blonde d'Aquitaine,3847
2012,Not-at-risk,Cattle,Gasconne,3914
2012,Not-at-risk,Sheep,Epynt Hardy Speckled,3967
2012,Not-at-risk,Sheep,Shetland,4010
2012,Not-at-risk,Cattle,Guernsey,4116
2012,Not-at-risk,Sheep,Hartline,4483
2012,Not-at-risk,Sheep,Badger Faced Welsh Mountain,4855
2012,Not-at-risk,Sheep,Exlana,5040
2012,Not-at-risk,Sheep,Ile-de-France,5638
2012,Not-at-risk,Cattle,Maine-Anjou,5766
2012,Not-at-risk,Cattle,Holderness,6081
2012,Not-at-risk,Cattle,Danish Red,6267
2012,Not-at-risk,Cattle,Dexter,6361
2012,Not-at-risk,Sheep,Wiltshire Horn,6528
2012,Not-at-risk,Cattle,Longhorn,7194
2012,Not-at-risk,Cattle,Beef Shorthorn,7207
2012,Not-at-risk,Sheep,Exmoor Horn,7260
2012,Not-at-risk,Cattle,Welsh Black,7884
2012,Not-at-risk,Sheep,Hebridean,8000
2012,Not-at-risk,Sheep,Leicester Longwool,8000
2012,Not-at-risk,Cattle,British,8501
2012,Not-at-risk,Cattle,British Friesian,8501
2012,Not-at-risk,Sheep,Berkshire Knot,8878
2012,Not-at-risk,Horse,Thoroughbred,9317
2012,Not-at-risk,Sheep,Shetland Island,9532
2012,Not-at-risk,Sheep,Ouessant,11057
2012,Not-at-risk,Cattle,Baltata Romaneasca,11264
2012,Not-at-risk,Sheep,South Wales Mountain (Nelson type),11520
2012,Not-at-risk,Cattle,Hereford,12199
2012,Not-at-risk,Cattle,Charolais,13153
2012,Not-at-risk,Cattle,Stabiliser,13506
2012,Not-at-risk,Cattle,Simmental,14599
2012,Not-at-risk,Sheep,Rough Fell,14807
2012,Not-at-risk,Sheep,Blue Texel,15634
2012,Not-at-risk,Sheep,Beulah Speckled Face,19447
2012,Not-at-risk,Sheep,Border Leicester,20000
2012,Not-at-risk,Sheep,Clun Forest,20921
2012,Not-at-risk,Sheep,Sussex,22255
2012,Not-at-risk,Cattle,Aberdeen-Angus (original population),29486
2012,Not-at-risk,Cattle,Jersey,30576
2012,Not-at-risk,Cattle,Limousin,37706
2012,Not-at-risk,Sheep,British Texel,51631
2012,Not-at-risk,Sheep,Longmynd,83508
2012,Not-at-risk,Sheep,Easy Care,150000
2012,Not-at-risk,Sheep,Swaledale,162900
2012,Not-at-risk,Cattle,Holstein Friesian,741658
2013,Critical,Cattle,Vaynol,13
2013,Critical,Cattle,Chianina,33
2013,Critical,Cattle,Dairy Shorthorn,42
2013,Critical,Pig,Hampshire,65
2013,Critical,Cattle,Galloway,83
2013,Critical,Cattle,Angler Rotvieh,88
2013,Critical,Pig,Mangalitza,93
2013,Critical,Pig,Duroc,96
2013,Endangered,Pig,Pietrain,129
2013,Endangered,Sheep,Galway,134
2013,Endangered,Goat,Toggenburg,167
2013,Endangered,Goat,Cashmere,177
2013,Endangered,Sheep,Pembroke Hill,179
2013,Endangered,Goat,Saanen,194
2013,Endangered,Goat,British Goat,201
