Year,Value
2013 Q1,7.96
2013 Q2,7.69
2013 Q3,8.4
2013 Q4,8.38
2014 Q1,7.86
2014 Q2,7.8
2014 Q3,7.56
2014 Q4,7.55
2015 Q1,7.49
2015 Q2,7.2
2015 Q3,7.41
2015 Q4,7.25
2016 Q1,7.29
2016 Q2,7.25
2016 Q3,7.35
2016 Q4,7.43
2017 Q1,7.86
2017 Q2,7.55
2017 Q3,7.01
2017 Q4,7.29
2018 Q1,7.11
