Year,Endangered species seizure,Value
2013,,569
2013,Caviar and caviar extract,24
2013,Live coral and coral derivatives,18
2013,Ivory and items containing ivory,43
2013,Live animals and birds,14
2013,Live plants,6
2013,Parts or derivatives of animals or birds,128
2013,Parts or derivatives of plants,15
2013,Timber or wood products,142
2013,Preparations of oriental medicine which include parts and derivatives of endangered species,187
2013,Butterflies,0
2014,,512
2014,Caviar and caviar extract,22
2014,Live coral and coral derivatives,14
2014,Ivory and items containing ivory,40
2014,Live animals and birds,23
2014,Live plants,6
2014,Parts or derivatives of animals or birds,140
2014,Parts or derivatives of plants,35
2014,Timber or wood products,33
2014,Preparations of oriental medicine which include parts and derivatives of endangered species,210
2014,Butterflies,0
2015,,854
2015,Caviar and caviar extract,31
2015,Live coral and coral derivatives,22
2015,Ivory and items containing ivory,182
2015,Live animals and birds,13
2015,Live plants,45
2015,Parts or derivatives of animals or birds,179
2015,Parts or derivatives of plants,27
2015,Timber or wood products,26
2015,Preparations of oriental medicine which include parts and derivatives of endangered species,332
2015,Butterflies,0
2016,,689
2016,Caviar and caviar extract,20
2016,Live coral and coral derivatives,16
2016,Ivory and items containing ivory,161
2016,Live animals and birds,12
2016,Live plants,36
2016,Parts or derivatives of animals or birds,220
2016,Parts or derivatives of plants,69
2016,Timber or wood products,18
2016,Preparations of oriental medicine which include parts and derivatives of endangered species,141
2016,Butterflies,0
2017,,1076
2017,Caviar and caviar extract,28
2017,Live coral and coral derivatives,21
2017,Ivory and items containing ivory,176
2017,Live animals and birds,13
2017,Live plants,37
2017,Parts or derivatives of animals or birds,168
2017,Parts or derivatives of plants,171
2017,Timber or wood products,401
2017,Preparations of oriental medicine which include parts and derivatives of endangered species,69
2017,Butterflies,1
