Year,Units,Value
2000,Tonnes per capita,14.43294767
2000,Tonnes per GDP (million £s),599.2909202000001
2001,Tonnes per capita,15.05252652
2001,Tonnes per GDP (million £s),610.7752617000001
2002,Tonnes per capita,13.87838432
2002,Tonnes per GDP (million £s),552.3002679
2003,Tonnes per capita,13.57385637
2003,Tonnes per GDP (million £s),524.4682753000001
2004,Tonnes per capita,13.72634711
2004,Tonnes per GDP (million £s),520.0046004
2005,Tonnes per capita,13.68738341
2005,Tonnes per GDP (million £s),507.4503581
2006,Tonnes per capita,13.10106844
2006,Tonnes per GDP (million £s),477.0982084
2007,Tonnes per capita,12.98290418
2007,Tonnes per GDP (million £s),464.741307
2008,Tonnes per capita,11.95494292
2008,Tonnes per GDP (million £s),434.18953250000004
2009,Tonnes per capita,10.51228307
2009,Tonnes per GDP (million £s),401.88310939999997
2010,Tonnes per capita,10.36974482
2010,Tonnes per GDP (million £s),392.10204780000004
2011,Tonnes per capita,10.14298784
2011,Tonnes per GDP (million £s),380.9902542
2012,Tonnes per capita,10.09339926
2012,Tonnes per GDP (million £s),376.69704069999995
2013,Tonnes per capita,10.28145703
2013,Tonnes per GDP (million £s),378.888261
