Year,Units,Value
2000,Tonnes per capita,14.4
2001,Tonnes per capita,15.1
2002,Tonnes per capita,13.9
2003,Tonnes per capita,13.6
2004,Tonnes per capita,13.7
2005,Tonnes per capita,13.7
2006,Tonnes per capita,13.1
2007,Tonnes per capita,13.0
2008,Tonnes per capita,12.0
2009,Tonnes per capita,10.5
2010,Tonnes per capita,10.4
2011,Tonnes per capita,10.1
2012,Tonnes per capita,10.1
2013,Tonnes per capita,10.3
2000,Tonnes per gross domestic product (£m),599.2909202000001
2001,Tonnes per gross domestic product (£m),610.8439036
2002,Tonnes per gross domestic product (£m),552.3002679
2003,Tonnes per gross domestic product (£m),524.4682753000001
2004,Tonnes per gross domestic product (£m),520.0677921
2005,Tonnes per gross domestic product (£m),507.4503581
2006,Tonnes per gross domestic product (£m),477.0982084
2007,Tonnes per gross domestic product (£m),464.741307
2008,Tonnes per gross domestic product (£m),434.18953250000004
2009,Tonnes per gross domestic product (£m),401.88310939999997
2010,Tonnes per gross domestic product (£m),392.162297
2011,Tonnes per gross domestic product (£m),380.9902542
2012,Tonnes per gross domestic product (£m),376.69704069999995
2013,Tonnes per gross domestic product (£m),378.8307753
