Year,Units,Value
2000,Tonnes per capita,12.54356291
2001,Tonnes per capita,12.57532522
2002,Tonnes per capita,12.16273538
2003,Tonnes per capita,12.12291089
2004,Tonnes per capita,12.54444674
2005,Tonnes per capita,12.12691742
2006,Tonnes per capita,11.90200749
2007,Tonnes per capita,11.72258073
2008,Tonnes per capita,10.91887105
2009,Tonnes per capita,9.52343942
2010,Tonnes per capita,9.192942901
2011,Tonnes per capita,9.198323144
2012,Tonnes per capita,8.844401538
2013,Tonnes per capita,8.894198176
2014,Tonnes per capita,9.155023159
2015,Tonnes per capita,8.850832437000001
2000,Tonnes per gross domestic product (£m),520.8390919
2001,Tonnes per gross domestic product (£m),510.2596927
2002,Tonnes per gross domestic product (£m),484.02478679999996
2003,Tonnes per gross domestic product (£m),468.4064717
2004,Tonnes per gross domestic product (£m),475.22985989999995
2005,Tonnes per gross domestic product (£m),449.5971511
2006,Tonnes per gross domestic product (£m),433.4323172
2007,Tonnes per gross domestic product (£m),419.6262572
2008,Tonnes per gross domestic product (£m),396.560615
2009,Tonnes per gross domestic product (£m),364.07975519999997
2010,Tonnes per gross domestic product (£m),347.604671
2011,Tonnes per gross domestic product (£m),345.5068197
2012,Tonnes per gross domestic product (£m),330.08303739999997
2013,Tonnes per gross domestic product (£m),327.7655365
2014,Tonnes per gross domestic product (£m),329.8344205
2015,Tonnes per gross domestic product (£m),314.5074709
