Year,Value
2002,103.19820990000001
2003,103.09378459999999
2004,95.01775128
2005,92.38101986
2006,89.37353887
2007,80.41548332
2008,75.22386806
2009,68.56799896
2010,65.14218374
2011,62.03635636
2012,56.08864173
2013,54.940553099999995
2014,55.67161711
2015,60.04373487
2016,65.36669258
