Year,Units,Value
2000,Tonnes per capita,14.4
2001,Tonnes per capita,15.1
2002,Tonnes per capita,13.9
2003,Tonnes per capita,13.6
2004,Tonnes per capita,13.7
2005,Tonnes per capita,13.7
2006,Tonnes per capita,13.1
2007,Tonnes per capita,13.0
2008,Tonnes per capita,12.0
2009,Tonnes per capita,10.5
2010,Tonnes per capita,10.4
2011,Tonnes per capita,10.1
2012,Tonnes per capita,10.1
2013,Tonnes per capita,10.3
2000,Tonnes per GDP (million £s),599.2204071000001
2001,Tonnes per GDP (million £s),610.8439036
2002,Tonnes per GDP (million £s),552.3002679
2003,Tonnes per GDP (million £s),524.4682753000001
2004,Tonnes per GDP (million £s),520.0677921
2005,Tonnes per GDP (million £s),507.4503581
2006,Tonnes per GDP (million £s),477.0982084
2007,Tonnes per GDP (million £s),464.741307
2008,Tonnes per GDP (million £s),434.18953250000004
2009,Tonnes per GDP (million £s),401.88310939999997
2010,Tonnes per GDP (million £s),392.162297
2011,Tonnes per GDP (million £s),381.0496077
2012,Tonnes per GDP (million £s),376.69704069999995
2013,Tonnes per GDP (million £s),378.888261
